sample_type,solver_family,config,n,median,p95,max,mean,frac_gt_1e4,frac_gt_1e3
stratified,mstab17,mstab_L120,24,1.5686096936664423e-05,2.4807092505626895e-05,3.130064837403301e-05,1.4396356132459097e-05,0.0,0.0
stratified,mstab17,mstab_L40,24,1.498616817172116e-05,4.647301043035622e-05,5.020672298394757e-05,1.9770681731241455e-05,0.0,0.0
stratified,mstab17,mstab_L80,24,1.749043401355621e-05,3.856689183198701e-05,4.055842243222418e-05,1.9324852082472468e-05,0.0,0.0
stratified,mstab17,mstab_match_05,24,2.6926962642025154e-05,8.281337317858625e-05,9.178869835207992e-05,3.399428145627677e-05,0.0,0.0
stratified,mstab17,mstab_match_15,24,1.9635979721124158e-05,4.805991349664216e-05,5.7767720712170734e-05,2.251053196506824e-05,0.0,0.0
stratified,mstab17,mstab_nominal,24,1.9590700436999953e-05,3.8951616019714054e-05,4.055842243222418e-05,2.0505212931724354e-05,0.0,0.0
stratified,mstab17,mstab_scan_dense,24,1.5087864751624908e-05,3.8374397733342825e-05,4.781239155091446e-05,1.6784238605024855e-05,0.0,0.0
stratified,mstab17,mstab_strict_ref,24,0.0,0.0,0.0,0.0,0.0,0.0
stratified,mstab17,mstab_tol_strict,24,1.959089838232675e-05,3.8951647981785755e-05,4.055846000472485e-05,2.050527373711047e-05,0.0,0.0
stratified,primary,primary_L120,24,1.492933773794558e-05,2.4317515425870124e-05,4.053489382588316e-05,1.3850337135160505e-05,0.0,0.0
stratified,primary,primary_L40,24,1.4929115309425534e-05,2.431724949517044e-05,4.053463936676272e-05,1.384965422776263e-05,0.0,0.0
stratified,primary,primary_L80,24,1.4929720890732856e-05,2.4316925246670166e-05,4.053471905102191e-05,1.3849551903665372e-05,0.0,0.0
stratified,primary,primary_match_m05,24,1.786046060231472e-05,2.4661564790290355e-05,2.743963074691713e-05,1.3533803036043512e-05,0.0,0.0
stratified,primary,primary_match_p05,24,1.786046060231472e-05,2.4661564790290355e-05,2.743963074691713e-05,1.3533803036043512e-05,0.0,0.0
stratified,primary,primary_nominal,24,1.4929720890732856e-05,2.4316925246670166e-05,4.053471905102191e-05,1.3850640784620392e-05,0.0,0.0
stratified,primary,primary_scan_dense,24,1.0429815344714655e-09,7.307405910234038e-09,8.591771627486366e-09,1.9392188786484152e-09,0.0,0.0
stratified,primary,primary_strict_ref,24,0.0,0.0,0.0,0.0,0.0,0.0
stratified,primary,primary_tol_strict,24,1.4929954466114115e-05,2.4316941565580277e-05,4.0552876762300905e-05,1.3848550433928948e-05,0.0,0.0
stress,mstab17,mstab_L120,4,9.350370061453686e-06,1.6361264886247117e-05,1.70343672363793e-05,9.948664213267795e-06,0.0,0.0
stress,mstab17,mstab_L40,4,1.8733370410195516e-05,3.429464253522917e-05,3.654614769604825e-05,2.0442360966554246e-05,0.0,0.0
stress,mstab17,mstab_L80,4,6.062127656525362e-06,1.1149201435391165e-05,1.1383911475731924e-05,6.277014895498742e-06,0.0,0.0
stress,mstab17,mstab_match_05,4,1.584759651097889e-05,3.625984498702091e-05,3.961177209969857e-05,2.056485398051547e-05,0.0,0.0
stress,mstab17,mstab_match_15,4,2.0400069336182908e-05,3.168760982304279e-05,3.3631361068542365e-05,2.256776915478438e-05,0.0,0.0
stress,mstab17,mstab_nominal,4,2.2854864106205963e-05,5.565744327381306e-05,5.914571849761213e-05,2.6790131037403644e-05,0.0,0.0
stress,mstab17,mstab_scan_dense,4,2.7526143021344707e-05,5.2687072095395665e-05,5.6018128604690826e-05,3.143547630700839e-05,0.0,0.0
stress,mstab17,mstab_strict_ref,4,0.0,0.0,0.0,0.0,0.0,0.0
stress,mstab17,mstab_tol_strict,4,2.2854843635095046e-05,5.5657540793730726e-05,5.914583549961397e-05,2.6790153915563948e-05,0.0,0.0
stress,primary,primary_L120,4,1.2360370222258554e-05,1.7838988199996544e-05,1.850583759908584e-05,1.3450600132229424e-05,0.0,0.0
stress,primary,primary_L40,4,1.236009681371275e-05,1.7839032600837882e-05,1.850583759908584e-05,1.3450446073227757e-05,0.0,0.0
stress,primary,primary_L80,4,1.2360821930165744e-05,1.7839049762655683e-05,1.850583759908584e-05,1.3450830286382104e-05,0.0,0.0
stress,primary,primary_match_m05,4,1.516563476166265e-05,1.9840041958385686e-05,2.0075489786497425e-05,1.499604414110633e-05,0.0,0.0
stress,primary,primary_match_p05,4,1.516563476166265e-05,1.9840041958385686e-05,2.0075489786497425e-05,1.499604414110633e-05,0.0,0.0
stress,primary,primary_nominal,4,1.2360821930165744e-05,1.7839049762655683e-05,1.850583759908584e-05,1.3450830286382104e-05,0.0,0.0
stress,primary,primary_scan_dense,4,2.7051183515425233e-09,4.670425471364758e-09,4.898847827394803e-09,2.5772711326199627e-09,0.0,0.0
stress,primary,primary_strict_ref,4,0.0,0.0,0.0,0.0,0.0,0.0
stress,primary,primary_tol_strict,4,1.235633967577865e-05,1.78383699536008e-05,1.850583759908584e-05,1.3448437558401078e-05,0.0,0.0
