chart,global_visible.n,global_visible.n_mach,global_visible.cr_mae,global_visible.cr_max_abs,global_visible.ci_mae,global_visible.ci_max_abs,global_visible.omega_i_mae,global_visible.spectral_error_mean,global_visible.spectral_error_max,by_split.train.n,by_split.train.n_mach,by_split.train.cr_mae,by_split.train.cr_max_abs,by_split.train.ci_mae,by_split.train.ci_max_abs,by_split.train.omega_i_mae,by_split.train.spectral_error_mean,by_split.train.spectral_error_max,by_mach.1.00.split,by_mach.1.00.n,by_mach.1.00.n_mach,by_mach.1.00.cr_mae,by_mach.1.00.cr_max_abs,by_mach.1.00.ci_mae,by_mach.1.00.ci_max_abs,by_mach.1.00.omega_i_mae,by_mach.1.00.spectral_error_mean,by_mach.1.00.spectral_error_max,by_mach.1.05.split,by_mach.1.05.n,by_mach.1.05.n_mach,by_mach.1.05.cr_mae,by_mach.1.05.cr_max_abs,by_mach.1.05.ci_mae,by_mach.1.05.ci_max_abs,by_mach.1.05.omega_i_mae,by_mach.1.05.spectral_error_mean,by_mach.1.05.spectral_error_max,by_mach.1.10.split,by_mach.1.10.n,by_mach.1.10.n_mach,by_mach.1.10.cr_mae,by_mach.1.10.cr_max_abs,by_mach.1.10.ci_mae,by_mach.1.10.ci_max_abs,by_mach.1.10.omega_i_mae,by_mach.1.10.spectral_error_mean,by_mach.1.10.spectral_error_max,by_mach.1.15.split,by_mach.1.15.n,by_mach.1.15.n_mach,by_mach.1.15.cr_mae,by_mach.1.15.cr_max_abs,by_mach.1.15.ci_mae,by_mach.1.15.ci_max_abs,by_mach.1.15.omega_i_mae,by_mach.1.15.spectral_error_mean,by_mach.1.15.spectral_error_max,by_mach.1.20.split,by_mach.1.20.n,by_mach.1.20.n_mach,by_mach.1.20.cr_mae,by_mach.1.20.cr_max_abs,by_mach.1.20.ci_mae,by_mach.1.20.ci_max_abs,by_mach.1.20.omega_i_mae,by_mach.1.20.spectral_error_mean,by_mach.1.20.spectral_error_max,by_mach.1.25.split,by_mach.1.25.n,by_mach.1.25.n_mach,by_mach.1.25.cr_mae,by_mach.1.25.cr_max_abs,by_mach.1.25.ci_mae,by_mach.1.25.ci_max_abs,by_mach.1.25.omega_i_mae,by_mach.1.25.spectral_error_mean,by_mach.1.25.spectral_error_max,by_mach.1.35.split,by_mach.1.35.n,by_mach.1.35.n_mach,by_mach.1.35.cr_mae,by_mach.1.35.cr_max_abs,by_mach.1.35.ci_mae,by_mach.1.35.ci_max_abs,by_mach.1.35.omega_i_mae,by_mach.1.35.spectral_error_mean,by_mach.1.35.spectral_error_max,by_mach.1.40.split,by_mach.1.40.n,by_mach.1.40.n_mach,by_mach.1.40.cr_mae,by_mach.1.40.cr_max_abs,by_mach.1.40.ci_mae,by_mach.1.40.ci_max_abs,by_mach.1.40.omega_i_mae,by_mach.1.40.spectral_error_mean,by_mach.1.40.spectral_error_max,by_mach.1.45.split,by_mach.1.45.n,by_mach.1.45.n_mach,by_mach.1.45.cr_mae,by_mach.1.45.cr_max_abs,by_mach.1.45.ci_mae,by_mach.1.45.ci_max_abs,by_mach.1.45.omega_i_mae,by_mach.1.45.spectral_error_mean,by_mach.1.45.spectral_error_max,by_mach.1.30.split,by_mach.1.30.n,by_mach.1.30.n_mach,by_mach.1.30.cr_mae,by_mach.1.30.cr_max_abs,by_mach.1.30.ci_mae,by_mach.1.30.ci_max_abs,by_mach.1.30.omega_i_mae,by_mach.1.30.spectral_error_mean,by_mach.1.30.spectral_error_max,by_mach.1.55.split,by_mach.1.55.n,by_mach.1.55.n_mach,by_mach.1.55.cr_mae,by_mach.1.55.cr_max_abs,by_mach.1.55.ci_mae,by_mach.1.55.ci_max_abs,by_mach.1.55.omega_i_mae,by_mach.1.55.spectral_error_mean,by_mach.1.55.spectral_error_max,by_mach.1.60.split,by_mach.1.60.n,by_mach.1.60.n_mach,by_mach.1.60.cr_mae,by_mach.1.60.cr_max_abs,by_mach.1.60.ci_mae,by_mach.1.60.ci_max_abs,by_mach.1.60.omega_i_mae,by_mach.1.60.spectral_error_mean,by_mach.1.60.spectral_error_max,by_mach.1.65.split,by_mach.1.65.n,by_mach.1.65.n_mach,by_mach.1.65.cr_mae,by_mach.1.65.cr_max_abs,by_mach.1.65.ci_mae,by_mach.1.65.ci_max_abs,by_mach.1.65.omega_i_mae,by_mach.1.65.spectral_error_mean,by_mach.1.65.spectral_error_max,by_mach.1.50.split,by_mach.1.50.n,by_mach.1.50.n_mach,by_mach.1.50.cr_mae,by_mach.1.50.cr_max_abs,by_mach.1.50.ci_mae,by_mach.1.50.ci_max_abs,by_mach.1.50.omega_i_mae,by_mach.1.50.spectral_error_mean,by_mach.1.50.spectral_error_max,by_mach.1.70.split,by_mach.1.70.n,by_mach.1.70.n_mach,by_mach.1.70.cr_mae,by_mach.1.70.cr_max_abs,by_mach.1.70.ci_mae,by_mach.1.70.ci_max_abs,by_mach.1.70.omega_i_mae,by_mach.1.70.spectral_error_mean,by_mach.1.70.spectral_error_max,by_mach.1.75.split,by_mach.1.75.n,by_mach.1.75.n_mach,by_mach.1.75.cr_mae,by_mach.1.75.cr_max_abs,by_mach.1.75.ci_mae,by_mach.1.75.ci_max_abs,by_mach.1.75.omega_i_mae,by_mach.1.75.spectral_error_mean,by_mach.1.75.spectral_error_max,by_mach.1.80.split,by_mach.1.80.n,by_mach.1.80.n_mach,by_mach.1.80.cr_mae,by_mach.1.80.cr_max_abs,by_mach.1.80.ci_mae,by_mach.1.80.ci_max_abs,by_mach.1.80.omega_i_mae,by_mach.1.80.spectral_error_mean,by_mach.1.80.spectral_error_max,by_mach.1.90.split,by_mach.1.90.n,by_mach.1.90.n_mach,by_mach.1.90.cr_mae,by_mach.1.90.cr_max_abs,by_mach.1.90.ci_mae,by_mach.1.90.ci_max_abs,by_mach.1.90.omega_i_mae,by_mach.1.90.spectral_error_mean,by_mach.1.90.spectral_error_max,by_mach.1.85.split,by_mach.1.85.n,by_mach.1.85.n_mach,by_mach.1.85.cr_mae,by_mach.1.85.cr_max_abs,by_mach.1.85.ci_mae,by_mach.1.85.ci_max_abs,by_mach.1.85.omega_i_mae,by_mach.1.85.spectral_error_mean,by_mach.1.85.spectral_error_max
C00,10,6,6.04891670453129e-06,1.571389351401331e-05,4.9540165995752125e-06,1.1876122951212653e-05,4.0224175519220575e-07,8.539048211437142e-06,1.9696922239834057e-05,10,6,6.04891670453129e-06,1.571389351401331e-05,4.9540165995752125e-06,1.1876122951212653e-05,4.0224175519220575e-07,8.539048211437142e-06,1.9696922239834057e-05,train,2.0,1.0,2.6646850889288396e-06,5.18555240856455e-06,5.097626451171016e-06,9.906611894583677e-06,2.664269628687609e-07,7.55061760374001e-06,9.907655766157362e-06,train,1.0,1.0,1.1621341775105545e-06,1.1621341775105545e-06,7.410549456646209e-07,7.410549456646209e-07,6.669494511009344e-08,1.3783026804849969e-06,1.3783026804849969e-06,train,1.0,1.0,6.578178872257423e-06,6.578178872257423e-06,3.6558288835919495e-06,3.6558288835919495e-06,4.569786104489937e-07,7.525790463567206e-06,7.525790463567206e-06,train,2.0,1.0,3.2253625127931507e-06,6.24069949721473e-06,3.700765795949801e-06,5.637796310076215e-06,3.436205503670395e-07,5.093186597825097e-06,8.41017701647505e-06,train,1.0,1.0,6.928295823160902e-08,6.928295823160902e-08,3.551580664548637e-06,3.551580664548637e-06,4.261896797454201e-07,3.552256373785127e-06,3.552256373785127e-06,train,3.0,1.0,1.3633158611289775e-05,1.571389351401331e-05,7.998305669235095e-06,1.1876122951212653e-05,6.174864300486499e-07,1.5882174731134626e-05,1.9696922239834057e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01,15,6,0.00048148128698353743,0.0016206063757736033,0.0024939278525943306,0.00964110337749324,0.000418853068949691,0.0025930396666490048,0.00975288164051684,15,6,0.00048148128698353743,0.0016206063757736033,0.0024939278525943306,0.00964110337749324,0.000418853068949691,0.0025930396666490048,0.00975288164051684,train,3.0,1.0,0.0009082862912533363,0.0014723538835548049,0.004664425695433339,0.00964110337749324,0.0007147367806454834,0.004796728367091256,0.00975288164051684,train,1.0,1.0,3.4912162802241964e-06,3.4912162802241964e-06,4.968644409727996e-05,4.968644409727996e-05,7.452966614591994e-06,4.980894817347008e-05,4.980894817347008e-05,train,3.0,1.0,0.0006098048449219388,0.0016206063757736033,0.0036147124228937864,0.008153283017470467,0.0006457281786955334,0.0037061604507967216,0.008312784671105728,train,2.0,1.0,0.00024280905070255682,0.0003565413561009978,0.00024406945275345926,0.0003051578034252711,3.2035890360977357e-05,0.000346613324916081,0.0004693005685077261,train,3.0,1.0,0.0004653677051970617,0.0009895485819809147,0.003153117668720023,0.008333062736685964,0.0005511158474044211,0.003223718918419714,0.008391611345245001,train,3.0,1.0,0.0002609111543169044,0.00041889262331495924,0.0008581083593897712,0.0015931570228458827,0.00015884295555750166,0.0009909120642687887,0.0015931680605079115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C02,15,6,0.00017224517963898103,0.0005042870749238926,0.0013669835865492445,0.00795268324476043,0.00039270071486092697,0.0014071666105373022,0.007953401389295057,15,6,0.00017224517963898103,0.0005042870749238926,0.0013669835865492445,0.00795268324476043,0.00039270071486092697,0.0014071666105373022,0.007953401389295057,train,4.0,1.0,0.00028244244258608317,0.0005042870749238926,0.003110386676356517,0.00795268324476043,0.0009168117145406406,0.00317620834107692,0.007953401389295057,train,1.0,1.0,7.143383572166817e-05,7.143383572166817e-05,1.710313739240049e-05,1.710313739240049e-05,4.959909843794616e-06,7.34527752680156e-05,7.34527752680156e-05,train,3.0,1.0,0.00017925249205504498,0.0002506921819566965,0.0013439582458159964,0.0017190396285820808,0.0003619559657525918,0.0013615226380518399,0.0017212039360313114,train,2.0,1.0,3.24234233267523e-05,6.202464632334981e-05,0.0003629914257217894,0.000573698551956759,0.00010585174172680076,0.0003690682632886957,0.0005737054935522107,train,2.0,1.0,9.108341978346368e-05,0.00015252735606943735,2.80732927521489e-05,2.9853031970013266e-05,6.364427360890622e-06,9.752134388297298e-05,0.00015542135589208955,train,3.0,1.0,0.0001992343087110493,0.00035318975378639816,0.0010773665936747768,0.002136836149387533,0.000302667906491463,0.001103821963328329,0.0021472591746212375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10,12,6,1.773559946153964e-05,0.0001340589157155514,1.6826421029136202e-06,4.8672814494388206e-06,1.4573670047818808e-07,1.7967109670585712e-05,0.0001341339234736408,12,6,1.773559946153964e-05,0.0001340589157155514,1.6826421029136202e-06,4.8672814494388206e-06,1.4573670047818808e-07,1.7967109670585712e-05,0.0001341339234736408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train,2.0,1.0,1.3651611810897024e-05,2.0162680366933583e-05,4.738448818569774e-06,4.8672814494388206e-06,4.0083566011598487e-07,1.4620508033752678e-05,2.0741844380073345e-05,train,1.0,1.0,9.392954399861653e-06,9.392954399861653e-06,2.4610378771688923e-06,2.4610378771688923e-06,2.953245452613079e-07,9.710010287880254e-06,9.710010287880254e-06,train,3.0,1.0,5.076510570485582e-05,0.0001340589157155514,1.9380318598503457e-06,4.485146999064216e-06,1.4851787296718313e-07,5.0806364267522336e-05,0.0001341339234736408,train,2.0,1.0,2.3379150865809883e-06,3.94172231782397e-06,5.443379721692398e-07,5.845903879447834e-07,3.477818195408988e-08,2.4561294976466582e-06,3.973823986916924e-06,train,1.0,1.0,4.446485593057048e-07,4.446485593057048e-07,2.813841483845225e-07,2.813841483845225e-07,3.3766097806697815e-08,5.262027938492173e-07,5.262027938492173e-07,train,3.0,1.0,6.238406556594948e-06,9.571969062593944e-06,3.565380161269875e-07,6.098976431043179e-07,3.432281987618413e-08,6.265578366644469e-06,9.577592192079562e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C11,17,7,7.944627208415767e-05,0.0002312359517895879,0.00029575393658802437,0.0010282016217766504,4.7788686206099955e-05,0.00031599180554981224,0.0010342336275484967,17,7,7.944627208415767e-05,0.0002312359517895879,0.00029575393658802437,0.0010282016217766504,4.7788686206099955e-05,0.00031599180554981224,0.0010342336275484967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train,2.0,1.0,3.271012844990179e-05,3.476729610825402e-05,8.216976847080781e-05,0.00011349240103114555,9.488155244841492e-06,8.903516105769786e-05,0.00011869831494378251,train,3.0,1.0,0.00010429915346417869,0.00014767143734181754,0.00025082190586125697,0.00038940271585771735,3.992558800000254e-05,0.00028958166204369197,0.0004008876451750514,train,3.0,1.0,0.000162594205817157,0.0002312359517895879,0.0005302579270621393,0.0008159060247172334,7.746849106627166e-05,0.0005755947249846493,0.0008378141031800686,train,1.0,1.0,1.4988738409993374e-05,1.4988738409993374e-05,1.584928086777876e-05,1.584928086777876e-05,2.6151313431838075e-06,2.1814261003961345e-05,2.1814261003961345e-05,train,3.0,1.0,7.638134223096153e-05,0.00011153753327014515,0.00041227893796119686,0.0010282016217766504,7.488811366460964e-05,0.00042461125829916274,0.0010342336275484967,train,3.0,1.0,5.8968205776388505e-05,8.979715127871435e-05,0.0002740229606588637,0.0005077843566954621,4.785599190542932e-05,0.000283667467040876,0.0005156631471051588,train,2.0,1.0,3.172445412741309e-05,5.351299176475921e-05,0.00022274145477832463,0.0002402533701217624,3.520083488094648e-05,0.00022580538706115617,0.0002461408583361969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12,14,7,5.379390824643877e-05,0.00015177908491614822,0.00026842122765325874,0.001512224175625021,6.866315994362893e-05,0.00028587049780030534,0.0015135403350520227,14,7,5.379390824643877e-05,0.00015177908491614822,0.00026842122765325874,0.001512224175625021,6.866315994362893e-05,0.00028587049780030534,0.0015135403350520227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train,2.0,1.0,3.9184106790282613e-05,6.608076903019677e-05,1.5435810713912076e-05,1.7179296914682923e-05,4.356896723910469e-06,4.333732949615619e-05,6.827734820645165e-05,train,2.0,1.0,9.479273503780472e-05,0.00013226177684580454,0.00011603112198913315,0.0001885373966128978,2.7303408685325388e-05,0.0001681492978751432,0.0001970592695791647,train,3.0,1.0,4.72505994503584e-05,6.696555078861133e-05,0.0005981392736941157,0.001512224175625021,0.0001634373213000638,0.0006043602040221549,0.0015135403350520227,train,1.0,1.0,1.1717031599078886e-05,1.1717031599078886e-05,7.602165876372533e-05,7.602165876372533e-05,2.2046281041480302e-05,7.691931766911424e-05,7.691931766911424e-05,train,2.0,1.0,9.142852618992947e-05,0.00015177908491614822,0.0003993456445309639,0.0005921613791259293,9.474173426104624e-05,0.00042463992961153866,0.0005929763393171755,train,2.0,1.0,1.8822513927402307e-05,2.3600685406466315e-05,9.798644172183337e-05,0.00011558523275251309,2.2900788327166283e-05,9.978766545100349e-05,0.00011797007409554178,train,2.0,1.0,5.5595060804575214e-05,7.649445757867968e-05,0.0003149298346939323,0.0003440765064786806,7.516016913711827e-05,0.00032017929730050634,0.0003524770125140503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C20,12,6,9.843527502077325e-05,0.0002618798924480803,0.00011400049339440586,0.0005071290572503037,6.92004019696912e-06,0.00017031542003438334,0.0005357792227675959,12,6,9.843527502077325e-05,0.0002618798924480803,0.00011400049339440586,0.0005071290572503037,6.92004019696912e-06,0.00017031542003438334,0.0005357792227675959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train,2.0,1.0,7.539435746317658e-05,9.27259751524745e-05,4.89656612715772e-05,5.1539111090306844e-05,3.144166235371452e-06,9.02035370247254e-05,0.00010608669303902496,train,1.0,1.0,3.212451725742582e-05,3.212451725742582e-05,1.7622361026023436e-05,1.7622361026023436e-05,2.114683323122153e-06,3.664058156135297e-05,3.664058156135297e-05,train,3.0,1.0,7.195942689911898e-05,0.0002077915021138077,4.6645449679566985e-05,7.559836599253106e-05,4.34253937823817e-06,0.0001076623051775967,0.00020955223367479498,,,,,,,,,,,train,2.0,1.0,0.00018712911984866687,0.0002618798924480803,4.223625070762238e-05,4.877489222601672e-05,2.736520696192688e-06,0.00019214759698216817,0.0002663833106263935,train,1.0,1.0,2.5195684028589405e-05,2.5195684028589405e-05,6.9778237788420405e-06,6.9778237788420405e-06,8.722279723552551e-07,2.614407233690055e-05,2.614407233690055e-05,train,3.0,1.0,0.00012765928788073996,0.00021965976887622363,0.0003403551876436349,0.0005071290572503037,1.842152635676975e-05,0.0003644370676559232,0.0005357792227675959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C21,14,7,0.00016239779283735593,0.0003869791189732852,0.0003806481410692693,0.0013271971357629708,6.610417908185625e-05,0.00045197197533361103,0.0013294820214950296,14,7,0.00016239779283735593,0.0003869791189732852,0.0003806481410692693,0.0013271971357629708,6.610417908185625e-05,0.00045197197533361103,0.0013294820214950296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train,1.0,1.0,4.144352562907017e-06,4.144352562907017e-06,2.974677596294384e-06,2.974677596294384e-06,4.908218033880529e-07,5.101408135757194e-06,5.101408135757194e-06,train,3.0,1.0,9.738045455581767e-05,0.00011030253816124436,0.0002313850498850504,0.0004576018059577469,4.323678689899304e-05,0.0002640521099670957,0.00047070804405767723,train,3.0,1.0,0.00012187965347471019,0.00023512157182037363,0.0005387351804731743,0.0007507198602315912,8.640445173202099e-05,0.0005542341373034375,0.0007866781184712226,,,,,,,,,,,train,1.0,1.0,0.00020558112009894103,0.00020558112009894103,0.0004998694506293325,0.0004998694506293325,9.497519561957324e-05,0.0005404933529781896,0.0005404933529781896,train,3.0,1.0,0.00027537911058648595,0.0003869791189732852,0.0006136134668071296,0.0013271971357629708,0.00011463474049572221,0.000775740346002829,0.0013294820214950296,train,2.0,1.0,0.00026925080608355967,0.0002955159208017366,0.0001595558339642679,0.00025496439391966413,2.0108909185845118e-05,0.0003208067465255458,0.00039030308942425743,train,1.0,1.0,4.1424359042974146e-05,4.1424359042974146e-05,0.0003559170873195447,0.0003559170873195447,5.694673397112736e-05,0.0003583196206854289,0.0003583196206854289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C22,9,7,0.00022476287471356882,0.0009788035289657326,0.0004385091528892847,0.001035131923225737,0.00010623894534563697,0.0005381331027582288,0.0014246243177753162,9,7,0.00022476287471356882,0.0009788035289657326,0.0004385091528892847,0.001035131923225737,0.00010623894534563697,0.0005381331027582288,0.0014246243177753162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train,1.0,1.0,0.0003213035565624578,0.0003213035565624578,0.0001736766514782496,0.0001736766514782496,5.036622892869234e-05,0.00036523903779358234,0.00036523903779358234,train,2.0,1.0,0.0005249282042711911,0.0009788035289657326,0.0009430107853981972,0.001035131923225737,0.00021827429770899858,0.0011392377097858947,0.0014246243177753162,train,2.0,1.0,0.00012155387312237642,0.00022521890420840185,0.0005204402405411667,0.0009328482744099518,0.00013933993891528722,0.0005914043589796375,0.0009330197820727202,,,,,,,,,,,train,1.0,1.0,6.199353083502501e-05,6.199353083502501e-05,6.262840300855915e-05,6.262840300855915e-05,1.1899396571626343e-05,8.81221579898932e-05,8.81221579898932e-05,train,1.0,1.0,0.0002092801785988918,0.0002092801785988918,0.0003135447142289093,0.0003135447142289093,6.584438998807072e-05,0.0003769727854570837,0.0003769727854570837,train,1.0,1.0,8.914588179581573e-05,8.914588179581573e-05,1.0537215116696074e-05,1.0537215116696074e-05,2.5816177035905695e-06,8.97664811807229e-05,8.97664811807229e-05,train,1.0,1.0,4.8178569842793895e-05,4.8178569842793895e-05,0.0004592933402924205,0.0004592933402924205,0.00011023040167018128,0.0004618133248717128,0.0004618133248717128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C30,13,7,7.980880190822958e-05,0.0002463034729233149,4.999054309084956e-05,0.00022488558144497656,3.6691868843090576e-06,0.00010445698039012435,0.00024783148821301717,13,7,7.980880190822958e-05,0.0002463034729233149,4.999054309084956e-05,0.00022488558144497656,3.6691868843090576e-06,0.00010445698039012435,0.00024783148821301717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train,2.0,1.0,0.00010091901671485659,0.00014048193726085012,6.3914925516050936e-06,1.0160714384838121e-05,4.973871293148437e-07,0.0001011305071885113,0.00014084890774646315,train,1.0,1.0,0.0002463034729233149,0.0002463034729233149,2.7478096291277954e-05,2.7478096291277954e-05,3.434762036409744e-06,0.00024783148821301717,0.00024783148821301717,train,3.0,1.0,8.81428459126125e-05,9.529117411694044e-05,0.0001412061353415923,0.00022488558144497656,8.627402885986419e-06,0.00017036935380115,0.0002442415456191478,,,,,,,,,,,train,1.0,1.0,2.288775160408374e-05,2.288775160408374e-05,2.509336600763773e-05,2.509336600763773e-05,2.2584029406871008e-06,3.396360097344665e-05,3.396360097344665e-05,train,2.0,1.0,5.175436811008516e-05,9.449124611782267e-05,4.4880790238406576e-05,5.178265784777647e-05,4.375783794357147e-06,7.339233375614854e-05,0.00010774989209590339,train,1.0,1.0,2.2032768501323297e-05,2.2032768501323297e-05,1.8447527845476958e-05,1.8447527845476958e-05,1.6602775060928741e-06,2.873593867341994e-05,2.873593867341994e-05,train,3.0,1.0,5.8838374796847205e-05,9.94926937006313e-05,1.7565032810617127e-05,3.4792071794135376e-05,1.5724788358415967e-06,6.241865797298775e-05,0.00010023822824779417,,,,,,,,,,
