step,ci_anchor_loss
1,0.10115865493960771
100,0.00022745390825426834
200,7.986293326640276e-05
300,7.063991735998046e-05
400,6.53812936729309e-05
500,6.00082966208556e-05
600,5.461024785570583e-05
700,4.9290848770852834e-05
800,4.411829267867268e-05
900,3.913961269757337e-05
1000,3.4391079864512623e-05
1100,2.9905180606610517e-05
1200,2.5714617385145067e-05
1300,2.1853481611152376e-05
1400,1.8355654127638546e-05
1500,1.5250710565790796e-05
1600,1.2558161954401246e-05
1700,1.0281558192548534e-05
1800,8.404429914525884e-06
1900,6.889798716472609e-06
2000,5.6838768972747125e-06
2100,4.723028849748457e-06
2200,3.942005280337333e-06
2300,3.2816577086680614e-06
2400,2.695526493250999e-06
2500,2.155148918238807e-06
2600,1.6527317397220718e-06
2700,1.1996845082030946e-06
2800,8.194665765038954e-07
2900,5.331763033099024e-07
3000,3.444387346137541e-07
