article_label,filename,canonical_source,plot_script,source_data,sha256,notes
Main 1,Fig_supersonic_branch_tracking_cr_ci.png,assets/article_sources/Fig_supersonic_branch_tracking_cr_ci.png,code/scripts/data_preparation/prepare_build_supersonic_spectral_article_assets.py,experiments/pinn_seeded_shooting,bb0e87256a0dadcb4b67de2823ae782c5f47cf6a777e1089bac5624102296e99,Supersonic branch tracking in c_r and c_i.
Main 2,Fig_supersonic_blumen_isolines.png,assets/article_sources/Fig_supersonic_blumen_isolines.png,plots/scripts/pinn_supersonic/plot_supersonic_blumen_pointwise_2panel.py,assets/classic_supersonic/csv/blumen_validation,60e7c58181d194b9f344058fd9e5234ca85803c4631ac767708e7f2155ce876e,Blumen isolines and the classical reference.
Main 3,Fig_blumen_cr_independent_validation.png,assets/article_sources/Fig_blumen_cr_independent_validation.png,scripts/article/build_blumen_cr_independent_validation.py,assets/complementary/blumen_cr,6011c2c3da24e20cc4877748519c749de50a7ad90a3089eb75b63f1a9eb6ef7f,Independent Blumen c_r validation.
Main 4,Fig_supersonic_representative_mode_M140_a018.png,assets/article_sources/Fig_supersonic_representative_mode_M140_a018.png,code/scripts/data_preparation/prepare_build_supersonic_article_assets_final.py,article/tables/table_Tab_supersonic_asymptotic_decay_M140_a018.csv,4b13629b2375ae254278e175c60c6c0c3e3fc93438377cba304ff9ba1c4ccf24,"Representative M=1.40, alpha=0.18 mode."
Main 5,Fig_supersonic_farfield_validation_M140_a018.png,assets/article_sources/Fig_supersonic_farfield_validation_M140_a018.png,plots/scripts/pinn_supersonic/plot_supersonic_farfield_validation_M140_a018.py,article/tables/table_Tab_supersonic_asymptotic_decay_M140_a018.csv,4e67f2de7d9d39bd85a4fd03b237c2caf507588f6c345dd4c4b288fce99f82d1,"Far-field validation at M=1.40, alpha=0.18."
Main 6,Fig_supersonic_atlas_geometry.png,assets/article_sources/Fig_supersonic_atlas_geometry.png,code/scripts/data_preparation/prepare_build_supersonic_article_png_assets.py,experiments/atlas_12charts,1446a1329f5cd3aabfdc669bff0ce3ed1cc9611e8da174b0834b65045d422229,Piecewise-local atlas geometry.
Main 7,Fig_supersonic_anchor_budget_N76.png,assets/article_sources/Fig_supersonic_anchor_budget_N76.png,code/scripts/data_preparation/prepare_build_supersonic_article_png_assets.py,experiments/anchor_budget,1219e96a876f2311eb0b2d083508da46b0f8042e55e62c11d2f9f9a7ad45e528,N76 sparse complex-anchor budget.
Main 8,Fig_supersonic_budget_branch_recovery.png,assets/article_sources/Fig_supersonic_budget_branch_recovery.png,code/scripts/evaluation/make_supersonic_article_result_figures_N76.py,experiments/anchor_budget,4200e3d45e3cfeceaf29ce5a8f1b8e2956ac391ebcb9d59dd80c9b80d2d84de0,Branch recovery across the anchor budget.
Main 9,Fig_supersonic_T401_raw_vs_corrected.png,assets/article_sources/Fig_supersonic_T401_raw_vs_corrected.png,code/scripts/evaluation/make_supersonic_article_result_figures_N76.py,experiments/pinn_direct,ed024804cac7b3d86174b1089f019230566076e6b27dc8d2788997d303945437,T401 raw and corrected diagnostics.
Main 10,Fig_T401_matched_seeded_vs_generic.png,assets/article_sources/Fig_T401_matched_seeded_vs_generic.png,scripts/article/build_T401_matched_seeded_vs_generic.py,results/matched_branch_localization,6cd7f9b5751dac16e79e6e9b614309194fdd4338f5251c411ef0d3ff8d13b0c2,Matched PINN-informed versus generic control.
Main 11,Fig_T401_failure_basin_map.png,assets/article_sources/Fig_T401_failure_basin_map.png,scripts/article/build_T401_failure_basin_map.py,results/failure_basin,f0fe80d819f2dec5abbc60ecfc075dff30a2862fe65a9831fc65250935502747,T401 failure-basin reviewer control.
Main 12,Fig_supersonic_modal_overlay_M140_a018_real.png,assets/article_sources/Fig_supersonic_modal_overlay_M140_a018_real.png,NO_SCRIPT_FOUND,assets/pinn_supersonic/png/modal_reconstruction/p3-supersonic-results,441f7a0f3f6d85bf4a0a607fec34210d03cda051e3e2a0cf30c4e6ec23169aae,"Real modal overlay at M=1.40, alpha=0.18."
