convergence_regime,N,n_points,ci_delta_median,ci_delta_max,omega_delta_median,omega_delta_max,p_overlap_min,modal_rel_max
extreme_longwave_map20,201,1,0.003422842011548466,0.003422842011548466,5.8783014155100455e-05,5.8783014155100455e-05,0.9999999643829466,0.007614021322552081
extreme_longwave_map20,301,1,0.0011340307571712782,0.0011340307571712782,1.9475554473799908e-05,1.9475554473799908e-05,0.999999996366062,0.0026954331136141746
extreme_longwave_map20,401,1,0.0003563060705603083,0.0003563060705603083,6.119109417999577e-06,6.119109417999577e-06,0.9999999996434662,0.001073988555147018
extreme_longwave_map20,501,1,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
longwave_map10,201,5,0.00047026694714757955,0.0006738665844698843,2.6857486504702766e-05,4.4059057240697364e-05,0.999999994585099,0.0019366398949642654
longwave_map10,301,5,0.00015862023112955814,0.00022710202192477436,9.063620045997312e-06,1.4852408654994487e-05,0.9999999993734813,0.0006923666577866003
longwave_map10,401,5,5.012011512894876e-05,7.173732283971557e-05,2.8643860508006935e-06,4.692053701793597e-06,0.9999999999294067,0.0002765268678096299
longwave_map10,501,5,0.0,0.0,0.0,0.0,1.0,1.587727043894817e-16
near_neutral_map5,301,7,0.0001424496589281024,0.0009489953353634013,0.00013102997471660036,0.00036373202045549956,0.9999971654140514,0.004257343474085151
near_neutral_map5,401,7,5.4166009151007666e-05,0.0002159727097131997,1.5297446010399673e-05,8.277826785860025e-05,0.9999998526600815,0.0010226763525275355
near_neutral_map5,501,7,1.8375710384488375e-05,4.361307180790128e-05,3.603945082197857e-06,1.6716068178500125e-05,0.9999999938827403,0.0003823623288546043
near_neutral_map5,601,7,0.0,0.0,0.0,0.0,0.9999999999999998,1.6616500493730238e-16
standard_map5,201,7,0.00013426458351661896,0.00020148226923649704,3.234906697810458e-05,5.107481318350482e-05,0.9999999803185773,0.0018341913201237107
standard_map5,301,7,4.5410272975998645e-05,6.896383036908427e-05,1.0940934113204404e-05,1.7276077080907726e-05,0.9999999986526519,0.0006471025559405172
standard_map5,401,7,1.4362024176595156e-05,2.2000754910489473e-05,3.460317455808437e-06,5.464150388989619e-06,0.9999999996066317,0.00024327492102137112
standard_map5,501,7,0.0,0.0,0.0,0.0,0.9999999999999998,1.737638587362752e-16
