task_id,convergence_point_id,selection_stratum,chart_id,checkpoint,Mach,eta,alpha,N,mapping_kind,mapping_scale,xi_max,convergence_regime,technical_success,reference_success,selection_source,error,field_family,ci_pinn,ci_classic,selected_raw_index,selected_cr,selected_ci,selected_omega_i,selected_p_overlap_pinn,selected_q_overlap_pinn,selected_combined_overlap_pinn,ci_abs_err_classic,profile_path,p_rel_classic,rho_rel_classic,u_rel_classic,v_rel_classic,p_overlap_classic,N_finest,ci_finest,omega_finest,ci_delta_to_finest,omega_delta_to_finest,p_rel_to_finest,p_overlap_to_finest,rho_rel_to_finest,rho_overlap_to_finest,u_rel_to_finest,u_overlap_to_finest,v_rel_to_finest,v_overlap_to_finest,modal_rel_max_to_finest
0,CONV_00,ultralow,ULTRALOW_M002_006_eta002_006,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ULTRALOW_M002_006_eta002_006/model_state.pt,0.0399999999999999,0.055,0.0549559823859059,201,pin,10.0,0.99,longwave_map10,True,True,central_max_ci,,pQscaled,0.9048571239877452,0.9052230427309496,401,3.641704282492341e-14,0.9057326757960849,0.049775428977389,0.9924316904601572,0.8833059830653316,0.9651502636114508,0.0005096330651351,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_00__N201.npz,3.960148267375477e-05,3.960148267373916e-05,0.0018776889209286,0.0003984177585397,0.9999999992158616,501,0.9052757486187504,0.0497503180954798,0.0004569271773344763,2.5110881909200244e-05,3.3712906899146694e-05,0.9999999994317201,3.3712906899134584e-05,0.99999999943172,0.0016427954048095247,0.9999988421399827,0.00035802371609614355,0.9999999504762129,0.0016427954048095247
1,CONV_00,ultralow,ULTRALOW_M002_006_eta002_006,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ULTRALOW_M002_006_eta002_006/model_state.pt,0.0399999999999999,0.055,0.0549559823859059,301,pin,10.0,0.99,longwave_map10,True,True,central_max_ci,,pQscaled,0.9048571239877452,0.9052230427309496,601,2.6394067831171313e-14,0.9054299512265264,0.0497587924512766,0.992291600754706,0.8830452444191027,0.9649800116708052,0.0002069084955769,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_00__N301.npz,1.7779532125909603e-05,1.7779532125896813e-05,0.0008172725718742,0.0001639650516988,0.999999999841944,501,0.9052757486187504,0.0497503180954798,0.00015420260777598838,8.474355796803112e-06,1.1961057772827612e-05,0.9999999999284667,1.196105777282156e-05,0.9999999999284666,0.0005934700627052616,0.9999998459001466,0.00012396212948718484,0.9999999939702235,0.0005934700627052616
2,CONV_00,ultralow,ULTRALOW_M002_006_eta002_006,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ULTRALOW_M002_006_eta002_006/model_state.pt,0.0399999999999999,0.055,0.0549559823859059,401,pin,10.0,0.99,longwave_map10,True,True,central_max_ci,,pQscaled,0.9048571239877452,0.9052230427309496,801,4.5855187597470895e-14,0.9053244817666812,0.0497529962734991,0.9924322846801048,0.8833665903158296,0.965165861089036,0.0001014390357315,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_00__N401.npz,1.007285014935718e-05,1.0072850149356416e-05,0.0004473577855805,8.221611722058388e-05,0.999999999949269,501,0.9052757486187504,0.0497503180954798,4.873314793085726e-05,2.678178019299704e-06,4.598188655067484e-06,0.9999999999894285,4.598188655068643e-06,0.9999999999894283,0.00024403714936269407,0.9999999725296211,4.4412394535683306e-05,0.9999999991793852,0.00024403714936269407
3,CONV_00,ultralow,ULTRALOW_M002_006_eta002_006,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ULTRALOW_M002_006_eta002_006/model_state.pt,0.0399999999999999,0.055,0.0549559823859059,501,pin,10.0,0.99,longwave_map10,True,True,central_max_ci,,pQscaled,0.9048571239877452,0.9052230427309496,1001,9.225590702255208e-14,0.9052757486187504,0.0497503180954798,0.992348379048614,0.8831903561459459,0.965058873322947,5.270588780070806e-05,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_00__N501.npz,6.532812363688896e-06,6.532812363688041e-06,0.000275732812922,4.488309349686873e-05,0.9999999999786612,501,0.9052757486187504,0.0497503180954798,0.0,0.0,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,0.9999999999999997,0.0
4,CONV_01,low_Mach_edge,LOWM_EXT_VLOW_EXTREME,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_VLOW_EXTREME/model_state.pt,0.1,0.05875,0.0584555119300139,201,pin,10.0,0.99,longwave_map10,True,True,central_max_ci,,pQscaled,0.8932450306118057,0.8922327378454297,401,5.5240378726770334e-14,0.892750425680921,0.052186183158916,0.9999702573421624,0.9998358350325264,0.9999366517647532,0.0005176878354913,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_01__N201.npz,4.113658131743943e-05,4.113658131744059e-05,0.0019001808415105,0.0004081159924596,0.9999999991538908,501,0.8922909739437277,0.0521593256724113,0.000459451737193306,2.6857486504702766e-05,3.504200797376955e-05,0.9999999993860291,3.5042007973762534e-05,0.9999999993860288,0.0016441918063714073,0.999998838319568,0.0003631002620661357,0.999999947957319,0.0016441918063714073
5,CONV_01,low_Mach_edge,LOWM_EXT_VLOW_EXTREME,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_VLOW_EXTREME/model_state.pt,0.1,0.05875,0.0584555119300139,301,pin,10.0,0.99,longwave_map10,True,True,central_max_ci,,pQscaled,0.8932450306118057,0.8922327378454297,601,6.208456271912873e-14,0.8924460255333345,0.0521683892924573,0.9999695748173628,0.9998356353738472,0.999936089956484,0.0002132876879048,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_01__N301.npz,1.8426202635126848e-05,1.8426202635128044e-05,0.0008307429266027,0.0001700936723206,0.9999999998302372,501,0.8922909739437277,0.0521593256724113,0.00015505158960682497,9.063620045997312e-06,1.2477463872331052e-05,0.9999999999221566,1.247746387232324e-05,0.9999999999221565,0.0005931991927287212,0.9999998459981664,0.00012585698987947294,0.9999999936582172,0.0005931991927287212
6,CONV_01,low_Mach_edge,LOWM_EXT_VLOW_EXTREME,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_VLOW_EXTREME/model_state.pt,0.1,0.05875,0.0584555119300139,401,pin,10.0,0.99,longwave_map10,True,True,central_max_ci,,pQscaled,0.8932450306118057,0.8922327378454297,801,7.827902869938973e-14,0.8923399750722147,0.0521621900584621,0.9999703012747262,0.9998351351293704,0.9999365097383872,0.000107237226785,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_01__N401.npz,1.0382831136032918e-05,1.0382831136035758e-05,0.0004564525064776,8.689549834297492e-05,0.999999999946098,501,0.8922909739437277,0.0521593256724113,4.9001128487047296e-05,2.8643860508006935e-06,4.866442048132206e-06,0.999999999988159,4.866442048125573e-06,0.999999999988159,0.000242269396912996,0.9999999727992641,4.513056298337655e-05,0.9999999991405862,0.000242269396912996
7,CONV_01,low_Mach_edge,LOWM_EXT_VLOW_EXTREME,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_VLOW_EXTREME/model_state.pt,0.1,0.05875,0.0584555119300139,501,pin,10.0,0.99,longwave_map10,True,True,central_max_ci,,pQscaled,0.8932450306118057,0.8922327378454297,1001,4.951941952959376e-14,0.8922909739437277,0.0521593256724113,0.9999698790671292,0.9998352412864792,0.9999362196219668,5.823609829802568e-05,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_01__N501.npz,6.642493338206069e-06,6.642493338216126e-06,0.0002831721468358,4.9094254908553136e-05,0.9999999999779386,501,0.8922909739437277,0.0521593256724113,0.0,0.0,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,1.0,0.0,1.0000000000000002,0.0
8,CONV_02,longwave_mid_Mach,ETAEDGE_MM,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_MM/model_state.pt,0.5,0.055,0.0476313972081441,201,pin,10.0,0.99,longwave_map10,True,True,central_max_ci,,pQscaled,0.7407277389672948,0.7406473035854076,389,1.0548410883679262e-13,0.7411960129350128,0.0353042017012003,0.9914872035768956,0.8310415548970636,0.9513757914069376,0.0005487093496051,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_02__N201.npz,4.288414317355196e-05,4.288414317355196e-05,0.0019400718306608,0.0004829465720469,0.9999999990804752,501,0.7407257459878652,0.0352818022294468,0.00047026694714757955,2.2399471753496714e-05,3.660734706329032e-05,0.9999999993299511,3.660734706329032e-05,0.9999999993299511,0.0016809622426757897,0.9999986477868674,0.00041566481188092913,0.9999999143153119,0.0016809622426757897
9,CONV_02,longwave_mid_Mach,ETAEDGE_MM,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_MM/model_state.pt,0.5,0.055,0.0476313972081441,301,pin,10.0,0.99,longwave_map10,True,True,central_max_ci,,pQscaled,0.7407277389672948,0.7406473035854076,587,6.563162560439795e-14,0.7408843662189948,0.035289357532681,0.9912982019860732,0.8304960255217222,0.9510976578699852,0.0002370626335871,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_02__N301.npz,1.896612032676752e-05,1.896612032676752e-05,0.0008512874440107,0.000209167355918,0.9999999998201432,501,0.7407257459878652,0.0352818022294468,0.00015862023112955814,7.555303234194066e-06,1.273637145586981e-05,0.9999999999188923,1.273637145586981e-05,0.9999999999188923,0.0006111725934110691,0.9999998177318068,0.00014269160954892606,0.9999999899009031,0.0006111725934110691
