benchmark_id,n_boxes,n_completed_boxes,n_failed_boxes,n_technical_boxes,total_box_solves,total_seconds
0,12,12,0,12,13.0,418.04070779972244
1,12,12,0,12,13.0,408.3553054999793
2,12,12,0,12,13.0,420.1038516940316
3,12,12,0,12,13.0,427.6968486920232
4,12,12,0,12,13.0,403.8964359627571
5,12,12,0,12,13.0,429.5411097316537
6,12,12,0,12,14.0,471.51699055486824
7,12,12,0,12,13.0,445.5652813378256
8,12,12,0,12,13.0,433.1388461579336
9,12,12,0,12,14.0,500.99049474368803
10,12,12,0,12,14.0,511.5470858338522
11,12,12,0,12,13.0,474.27872983622365
12,12,12,0,12,15.0,577.0473120468669
13,12,12,0,12,18.0,728.1774126716191
14,12,12,0,12,15.0,562.569739074097
15,12,12,0,12,15.0,564.0670935211238
16,12,12,0,12,20.0,840.9661683181766
17,12,12,0,12,15.0,564.1830572411418
18,12,12,0,12,15.0,587.6824500511866
19,12,12,0,12,15.0,567.8508583612274
20,12,12,0,12,19.0,722.4653428018792
21,12,12,0,12,21.0,828.7690292650368
22,12,12,0,12,13.0,418.14212529803626
23,12,12,0,12,12.0,352.5315344580449
24,12,12,0,12,13.0,427.0731801808579
25,12,12,0,12,13.0,410.8017142369645
26,12,12,0,12,13.0,457.5329956227215
27,12,12,0,12,13.0,462.99381263705436
28,12,12,0,12,14.0,509.20319324498996
29,12,12,0,12,13.0,460.26558607572224
30,12,12,0,12,14.0,519.1434002931928
31,12,12,0,12,17.0,618.5355316529749
32,12,12,0,12,21.0,807.2827652338892
33,12,12,0,12,21.0,808.6605662057409
34,12,12,0,12,21.0,756.7934580580331
35,12,12,0,11,21.0,799.1360913768876
36,12,12,0,12,13.0,458.73008897399995
37,12,12,0,12,13.0,523.5555478079477
38,12,12,0,12,12.0,440.2404820888769
39,12,12,0,12,12.0,491.5975633520866
40,12,12,0,12,13.0,548.2417937730206
41,12,12,0,12,20.0,824.7582960408181
42,12,12,0,12,13.0,544.5052239240613
43,12,12,0,11,20.0,912.2452293720562
44,12,12,0,12,13.0,521.9686910103774
45,12,12,0,11,22.0,833.8954848571448
46,12,12,0,11,23.0,904.1921187491389
47,12,12,0,11,24.0,1041.692992108874
48,12,12,0,12,12.0,380.7477437539492
49,12,12,0,12,13.0,427.3543672427768
50,12,12,0,12,12.0,366.7138313931646
51,12,12,0,12,13.0,453.7268697080435
52,12,12,0,12,13.0,456.8413376706885
53,12,12,0,12,13.0,429.0556323531782
54,12,12,0,12,13.0,466.45774382387754
55,12,12,0,12,13.0,516.7048491159221
56,12,12,0,12,13.0,517.9910572899971
57,12,12,0,12,12.0,420.67411584581714
58,12,12,0,12,13.0,471.44030424265657
59,12,12,0,11,21.0,835.7346421779366
60,12,12,0,11,21.0,844.0062832200201
61,12,12,0,12,17.0,633.8396105560241
62,12,12,0,11,23.0,942.4710700022988
63,12,12,0,11,23.0,984.8412353690946
