condition,benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,ambiguous,status,technical_success,target_error,target_recovery,best_candidate_index,best_center_kind,best_center_index,best_cr_center,best_ci_center,best_cr,best_ci,best_stage1_mismatch,best_stage2_mismatch,best_total_mismatch,best_retry_index,best_cr_half_window,best_ci_half_window,n_boxes,n_completed_boxes,n_technical_boxes,total_box_solves,total_seconds,source_file,ambiguous_recomputed,target_recovery_recomputed
seeded,10,C01,1.15,0.2,0.2086070430962784,0.0722196863696432,0.20869216,0.064648345,False,COMPLETED,True,4.072569432451751e-06,True,1,PINN,0,0.20869216,0.064648345,0.208604269375,0.072216704375,1.2493211643717208e-06,1.861992943343409e-21,1.249321164371723e-06,0,0.015,0.015,12,12,12,12,335.9676228869939,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,11,C01,1.2,0.19,0.2345470619404851,0.0685917338335152,0.24428776,0.06646624,False,COMPLETED,True,5.544448929315373e-06,True,2,PINN,0,0.24428776,0.06646624,0.2345514318749999,0.0685951462499999,1.640982259575357e-06,7.235347735684171e-23,1.640982259575357e-06,0,0.015,0.03,12,12,12,12,339.9543558349833,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,12,C02,1.0,0.25,0.111546652099929,0.0638826719697617,0.11011088,0.06385911,False,COMPLETED,True,2.489904216874943e-06,True,0,PINN,0,0.11011088,0.06385911,0.1115464268749999,0.0638851516666666,7.985854401892227e-07,4.853766683731485e-20,7.985854401892712e-07,0,0.015,0.008,12,12,12,12,320.3429480328923,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,13,C02,1.0,0.315,0.1527202937243574,0.0259287963122211,0.15882558,0.02823904,False,COMPLETED,True,3.4423294939909915e-06,True,0,PINN,0,0.15882558,0.02823904,0.152722064375,0.0259317483333333,1.6978643224461007e-06,5.691990793283986e-20,1.6978643224461575e-06,0,0.015,0.008,12,12,12,12,354.36014731402975,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,14,C02,1.05,0.22,0.1435406899321354,0.0776899506702274,0.12625547,0.0781236,False,COMPLETED,True,1.3591558128773617e-06,True,3,PINN,0,0.12625547,0.0781236,0.1435406262499999,0.0776913083333333,4.189547294174514e-07,1.8737671307830022e-20,4.189547294174701e-07,0,0.03,0.008,12,12,12,12,321.8506177160889,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,15,C02,1.05,0.225,0.1469792621771554,0.0747033476696535,0.1288271,0.0745805,False,COMPLETED,True,3.727745852825343e-06,True,0,PINN,0,0.1288271,0.0745805,0.1469813968749999,0.0747002916666666,1.1931232584928291e-06,2.031112642187398e-20,1.1931232584928497e-06,0,0.015,0.008,12,12,12,12,322.5222371388227,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,16,C02,1.05,0.35,0.2055430635370356,0.0033487427887457,0.20462894,0.0017850369,False,COMPLETED,True,3.917021505235842e-06,True,5,PINN,0,0.20462894,0.0017850369,0.20554690875,0.0033479962000162,2.360790331314364e-06,4.746818341991584e-20,2.3607903313144115e-06,0,0.03,0.03,12,12,12,12,392.01276182499714,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,17,C02,1.1,0.215,0.1820716357575376,0.0726387709774911,0.18080717,0.07141138,False,COMPLETED,True,5.6181784848296266e-06,True,2,PINN,0,0.18080717,0.07141138,0.182066935625,0.0726418487499999,1.8206124672452035e-06,8.411330060570545e-21,1.820612467245212e-06,0,0.015,0.03,12,12,12,12,329.6921954964055,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,18,C02,1.1,0.265,0.2071896831590645,0.0445687947481188,0.20841847,0.046392817,False,COMPLETED,True,2.729413426735468e-06,True,4,PINN,0,0.20841847,0.046392817,0.20718800125,0.044566645125,1.1775340993433775e-06,2.0545084377004995e-20,1.1775340993433985e-06,0,0.03,0.015,12,12,12,12,351.68726245395374,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,19,C02,1.15,0.23,0.2240340200598721,0.0560742848095208,0.23034637,0.055443585,False,COMPLETED,True,2.7977334880096425e-06,True,9,PINN,0,0.23034637,0.055443585,0.2240312658333333,0.0560737933333333,1.034960907339903e-06,5.9954145573564744e-21,1.034960907339909e-06,0,0.1,0.008,12,12,12,12,344.6286276060855,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,20,C02,1.2,0.285,0.2745150983935676,0.0207082606481318,0.27288508,0.014161268,False,COMPLETED,True,8.491706852095436e-07,True,0,PINN,0,0.27288508,0.014161268,0.274515939375,0.020708143,4.153742219543394e-07,1.0499561489265016e-20,4.1537422195434986e-07,0,0.015,0.008,12,12,12,12,389.0826944062719,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,21,C02,1.2,0.315,0.283776640858734,0.0058299567246247,0.27371174,0.005834017,False,COMPLETED,True,3.467200174225083e-06,True,1,PINN,0,0.27371174,0.005834017,0.283780099375,0.0058302019638671,1.9019366302101265e-06,1.5129286544373546e-20,1.9019366302101413e-06,0,0.015,0.015,12,12,12,12,412.1218352688011,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,22,C10,1.3,0.085,0.2134213938242283,0.0967386008453398,0.22815315,0.09804351,False,COMPLETED,True,5.155490588395752e-06,True,0,PINN,0,0.22815315,0.09804351,0.213416821875,0.0967362183333333,4.97249376718277e-07,5.150316340973251e-21,4.972493767182822e-07,0,0.015,0.008,12,12,12,12,288.616665870999,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,23,C10,1.35,0.055,0.2048051278829152,0.0932814022118254,0.19728044,0.09156128,False,COMPLETED,True,5.996552031073366e-06,True,0,PINN,0,0.19728044,0.09156128,0.204809736875,0.0932852383333333,3.0224158527870975e-07,2.3930774642901044e-21,3.0224158527871213e-07,0,0.015,0.008,12,12,12,12,276.8899709112011,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,24,C10,1.35,0.09,0.2484573310607619,0.0834671719506741,0.2564376,0.08527956,False,COMPLETED,True,4.3840674578103e-06,True,2,PINN,0,0.2564376,0.08527956,0.2484590843749999,0.08346315375,4.829013634793204e-07,5.348638625485038e-21,4.829013634793258e-07,0,0.015,0.03,12,12,12,12,299.5115881320089,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,25,C10,1.4,0.075,0.2608331471465684,0.0767975321674059,0.24605283,0.07539043,False,COMPLETED,True,4.6657764109395205e-06,True,9,PINN,0,0.24605283,0.07539043,0.2608314758333333,0.0768018883333333,4.02829769007914e-07,3.947576405595554e-21,4.02829769007918e-07,0,0.1,0.008,12,12,12,12,296.92394387791865,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,26,C11,1.25,0.16,0.2464222279528879,0.0743731035158428,0.24575491,0.075478755,False,COMPLETED,True,3.893567495875566e-06,True,7,PINN,0,0.24575491,0.075478755,0.2464189724999999,0.074375239375,9.389806468038096e-07,1.6685402822111945e-21,9.389806468038112e-07,0,0.06,0.015,12,12,12,12,335.0113516058773,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,27,C11,1.25,0.17,0.2524134188561518,0.0696333329101972,0.2514455,0.07117982,False,COMPLETED,True,1.187146168756824e-06,True,0,PINN,0,0.2514455,0.07117982,0.252412296875,0.069632945,3.113268859720148e-07,9.47206156044749e-22,3.1132688597201573e-07,0,0.015,0.008,12,12,12,12,340.7250348721864,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,28,C11,1.25,0.195,0.2657063752620336,0.0577515784663902,0.26916006,0.05756781,False,COMPLETED,True,3.4915941846425954e-06,True,9,PINN,0,0.26916006,0.05756781,0.2657095391666666,0.0577501016666666,1.0980360308499552e-06,3.212017648448968e-23,1.0980360308499552e-06,0,0.1,0.008,12,12,12,12,347.4783318651607,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,29,C11,1.35,0.155,0.2967549899429557,0.0596339037531516,0.2958821,0.05954785,False,COMPLETED,True,4.175102791609293e-06,True,1,PINN,0,0.2958821,0.05954785,0.2967512406249999,0.059635740625,1.0212901181682383e-06,4.12138067012265e-21,1.0212901181682426e-06,0,0.015,0.015,12,12,12,12,337.0962434668327,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,30,C11,1.4,0.19,0.3372147010212746,0.0392805758273937,0.33646756,0.038047705,False,COMPLETED,True,5.041713745730237e-06,True,0,PINN,0,0.33646756,0.038047705,0.337219513125,0.0392820799999999,1.630619664701126e-06,2.3315203925023808e-21,1.6306196647011282e-06,0,0.015,0.008,12,12,12,12,374.9242048459128,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,31,C12,1.25,0.235,0.283159755764521,0.0387025891520861,0.28292152,0.041625187,False,COMPLETED,True,5.948939937727994e-06,True,0,PINN,0,0.28292152,0.041625187,0.283165660625,0.038703312,2.354606236909442e-06,1.299782346928524e-21,2.3546062369094432e-06,0,0.015,0.008,12,12,12,12,369.9971655901754,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_00_32.csv,False,True
seeded,32,C12,1.25,0.285,0.3004516982633556,0.0149416772739879,0.29988387,0.011790725,False,COMPLETED,True,1.4248203516338008e-06,True,3,PINN,0,0.29988387,0.011790725,0.30045027625,0.0149417666666666,7.028283382387254e-07,6.162927341803364e-21,7.028283382387315e-07,0,0.03,0.008,12,12,12,12,420.3789946278557,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_32_64.csv,False,True
seeded,33,C12,1.25,0.315,0.3091557589953352,0.0007606930795383,0.31015742,0.0026502407,False,COMPLETED,True,4.329236236403794e-06,True,0,PINN,0,0.31015742,0.0026502407,0.309151560625,0.0007617494757324,2.397500237286133e-06,6.118582674597842e-22,2.397500237286134e-06,0,0.015,0.008,12,12,12,12,454.78949955978896,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_32_64.csv,False,True
