condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds,source_file,status_completed,actual_box_solves
generic,1,C00,1.1,0.09,0,generic,1,0.5,0.0001,0.015,0.008,COMPLETED,,0,0.015,0.008,0.5299707031249998,0.0120921875,0.0176246015793482,2.2663903599167962e-20,0.0176246015793482,True,True,True,0.0322808860913394,32.37437442096416,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,1,generic,2,0.9,0.0001,0.015,0.015,COMPLETED,,1,0.02625,0.02625,0.8475512695312502,0.0006406948242187,0.0285526731135134,4.691636310304458e-19,0.0285526731135134,True,True,True,0.0524515174106193,76.86667897191364,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,2.0
generic,1,C00,1.1,0.09,2,generic,3,0.1,0.002,0.015,0.03,COMPLETED,,0,0.015,0.03,0.070029296875,0.0479188476562499,0.0072724248819003,2.8278897421376146e-21,0.0072724248819003,True,True,True,0.0548341464407423,24.17708427505568,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,3,generic,4,0.5,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.5599414062499999,0.0149403320312499,0.0157398583169445,1.920362643430072e-20,0.0157398583169445,True,True,True,0.0613222991766169,32.249421903979965,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,4,generic,5,0.9,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.8479882812499999,1e-06,0.0052349384647219,2.8723413603920726e-06,0.0052378108060823,True,True,True,0.052050119003986,41.328206025995314,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,5,generic,0,0.1,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.04005859375,0.0450707031249999,0.0058649251100935,1.6833389544530745e-21,0.0058649251100935,True,True,True,0.0749355477913147,24.09671041800175,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,6,generic,1,0.5,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.6198828124999999,0.0081078124999999,0.011033573466733,4.672840030078888e-20,0.011033573466733,True,True,True,0.1201499637700539,33.196428772993386,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,7,generic,2,0.9,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.7801171875000003,4.4504503038194446e-05,0.000622387495972,2.9803807520225127e-19,0.000622387495972,True,True,True,0.1198828253448353,39.50494641799014,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,8,generic,3,0.1,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.0076497395833333,0.0479188476562499,0.0048073152256909,1.2927791961798857e-21,0.0048073152256909,True,True,True,0.1031363717080644,23.68869010906201,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,9,generic,4,0.5,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.6998046874999995,0.00505966796875,0.0035786231846625,1.207875991802731e-19,0.0035786231846625,True,True,True,0.1998281129247119,33.92451780301053,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,10,generic,5,0.9,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.7614583333333332,6.355787037037038e-05,3.436761145452941e-08,4.893636415368028e-19,3.4367611455018786e-08,True,True,True,0.1385551991478458,23.24667780706659,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,11,generic,0,0.1,0.0001,0.1,0.03,COMPLETED,,0,0.1,0.03,0.0081705729166666,0.0450707031249999,0.005139129634398,1.1654048013971834e-21,0.005139129634398,True,True,True,0.1022497326060568,23.701568573946133,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,2,C00,1.1,0.105,0,generic,2,0.9,0.0001,0.015,0.008,COMPLETED,,1,0.02625,0.014,0.8475512695312502,0.0005656868489583,0.03340554143207,3.9894281555891625e-19,0.03340554143207,True,True,True,0.0524507978206706,80.8727422170341,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,2.0
generic,2,C00,1.1,0.105,1,generic,3,0.1,0.002,0.015,0.015,COMPLETED,,0,0.015,0.015,0.070029296875,0.0254334960937499,0.0125798460464535,1.5710006177107885e-21,0.0125798460464535,True,True,True,0.0380443397233107,25.31306572502945,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,2,C00,1.1,0.105,2,generic,4,0.5,0.002,0.015,0.03,COMPLETED,,0,0.015,0.03,0.5299707031249998,0.0251153320312499,0.0203121570666555,6.437857752389098e-21,0.0203121570666555,True,True,True,0.0378491957737784,31.685029156971723,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,2,C00,1.1,0.105,3,generic,5,0.9,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.8400585937499998,0.0004853007812499,0.0252422832997111,4.006354326007208e-19,0.0252422832997111,True,True,True,0.0599605411662607,40.22865093697328,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,2,C00,1.1,0.105,4,generic,0,0.1,0.0001,0.03,0.015,COMPLETED,,0,0.03,0.015,0.04005859375,0.0225853515624999,0.0117597079389551,6.423720352070135e-22,0.0117597079389551,True,True,True,0.0640200220096553,25.45594865304884,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,2,C00,1.1,0.105,5,generic,1,0.5,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.5599414062499999,0.016379296875,0.0182261078310886,1.0306967095387048e-20,0.0182261078310886,True,True,True,0.0621127015188673,32.30162530206144,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,2,C00,1.1,0.105,6,generic,2,0.9,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.7801171875000003,3.3455240885416666e-05,0.0007271361989557,9.643733517926011e-19,0.0007271361989557,True,True,True,0.1198828309688884,40.39956648205407,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,2,C00,1.1,0.105,7,generic,3,0.1,0.002,0.06,0.015,COMPLETED,,0,0.06,0.015,0.0241015625,0.0254334960937499,0.011137672323445,6.266665474358441e-22,0.011137672323445,True,True,True,0.0794336298686973,25.270140493987128,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,2,C00,1.1,0.105,8,generic,4,0.5,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.6198828124999999,0.0058008789062499,0.0128153397469803,4.865240125149319e-20,0.0128153397469803,True,True,True,0.1199430507089514,33.6051678248914,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,2,C00,1.1,0.105,9,generic,5,0.9,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.7614583333333332,3.823958333333333e-05,3.5523824367350286e-08,4.1513472489127055e-19,3.5523824367765425e-08,True,True,True,0.1385555553080071,23.738710641977377,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,2,C00,1.1,0.105,10,generic,0,0.1,0.0001,0.1,0.015,COMPLETED,,0,0.1,0.015,0.02373046875,0.0225853515624999,0.0115782821867997,4.915403691583596e-22,0.0115782821867997,True,True,True,0.0795149824371731,25.3842047030339,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,2,C00,1.1,0.105,11,generic,1,0.5,0.0001,0.1,0.03,COMPLETED,,0,0.1,0.03,0.6998046874999995,0.0006692432725694,0.0041509444778403,3.85954523222656e-19,0.0041509444778403,True,True,True,0.1998054983849939,35.84899955696892,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,3,C00,1.1,0.115,0,generic,3,0.1,0.002,0.015,0.008,COMPLETED,,0,0.015,0.008,0.070029296875,0.0149403320312499,0.016864325757616,7.660393517150288e-22,0.016864325757616,True,True,True,0.0326449879596528,26.212756025022827,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,3,C00,1.1,0.115,1,generic,4,0.5,0.002,0.015,0.015,COMPLETED,,0,0.015,0.015,0.5299707031249998,0.0246853190104166,0.0221134439451131,3.6397580493941306e-21,0.0221134439451131,True,True,True,0.037588119724339,32.141187511966564,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,3,C00,1.1,0.115,2,generic,5,0.9,0.002,0.015,0.03,COMPLETED,,1,0.02625,0.0525,0.8553442382812501,1e-06,0.0136927770737408,8.498453982820836e-10,0.0136927779235862,True,True,True,0.0447004816045842,82.78183100104798,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,2.0
generic,3,C00,1.1,0.115,3,generic,0,0.1,0.0001,0.03,0.008,COMPLETED,,0,0.03,0.008,0.04005859375,0.0120921875,0.0161012719521182,2.133379852076826e-22,0.0161012719521182,True,True,True,0.0611292462268486,26.5521025309572,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,3,C00,1.1,0.115,4,generic,1,0.5,0.0001,0.03,0.015,COMPLETED,,0,0.03,0.015,0.5599414062499999,0.0163646484375,0.0198677339783047,6.21337220175806e-21,0.0198677339783047,True,True,True,0.0621088638764467,32.78082522400655,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,3,C00,1.1,0.115,5,generic,2,0.9,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.85537109375,1e-06,0.0136795587912119,8.58334427835837e-10,0.0136795596495463,True,True,True,0.0446290160553791,42.247587351943366,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,3,C00,1.1,0.115,6,generic,3,0.1,0.002,0.06,0.008,COMPLETED,,0,0.06,0.008,0.0312890625,0.0149403320312499,0.0155221308296409,2.7964612956928083e-22,0.0155221308296409,True,True,True,0.0699188467096526,26.25880649103783,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,3,C00,1.1,0.115,7,generic,4,0.5,0.002,0.06,0.015,COMPLETED,,0,0.06,0.015,0.6198828124999999,0.00856650390625,0.014004026759476,1.872660926577563e-20,0.014004026759476,True,True,True,0.1200625158259684,33.70839032204822,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,3,C00,1.1,0.115,8,generic,5,0.9,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.7801171875000003,6.0699367444701655e-06,0.0007846782218838,7.539452152767786e-15,0.0007846782218913,True,True,True,0.1198993932011636,39.87947888905183,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,3,C00,1.1,0.115,9,generic,0,0.1,0.0001,0.1,0.008,COMPLETED,,0,0.1,0.008,0.0303710937499999,0.0120921875,0.0160250459858403,1.7468864130236748e-22,0.0160250459858403,True,True,True,0.0706540667379199,26.49199672206305,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,3,C00,1.1,0.115,10,generic,1,0.5,0.0001,0.1,0.015,COMPLETED,,0,0.1,0.015,0.6998046874999995,0.0026146484375,0.0045482866483121,1.5188810859264745e-19,0.0045482866483121,True,True,True,0.1998205109685606,35.244838511920534,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,3,C00,1.1,0.115,11,generic,2,0.9,0.0001,0.1,0.03,COMPLETED,,0,0.1,0.03,0.7614583333333332,3.3981770833333346e-05,3.83335671416518e-08,3.691941836810072e-19,3.833356714202099e-08,True,True,True,0.1385416823962535,23.397048110957257,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,4,C00,1.2,0.075,0,generic,4,0.5,0.002,0.015,0.008,COMPLETED,,0,0.015,0.008,0.5299707031249998,0.0149403320312499,0.0140975977921778,2.1791574129359082e-20,0.0140975977921778,True,True,True,0.0326449879596526,30.82389690401033,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,4,C00,1.2,0.075,1,generic,5,0.9,0.002,0.015,0.015,COMPLETED,,1,0.02625,0.02625,0.8475512695312502,0.0007869752061631,0.023640094983726,5.402779683973586e-19,0.023640094983726,True,True,True,0.0524627559029644,75.35770118492655,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,2.0
generic,4,C00,1.2,0.075,2,generic,0,0.1,0.0001,0.015,0.03,COMPLETED,,0,0.015,0.03,0.099306640625,0.0450707031249999,0.0057151972669383,1.0785500166637739e-21,0.0057151972669383,True,True,True,0.0449760479230866,24.99201865994837,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,4,C00,1.2,0.075,3,generic,1,0.5,0.0001,0.03,0.008,COMPLETED,,0,0.03,0.008,0.5599414062499999,0.0120921875,0.0126882767156984,2.8187846788039784e-20,0.0126882767156984,True,True,True,0.0611292462268485,31.458098878967576,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,4,C00,1.2,0.075,4,generic,2,0.9,0.0001,0.03,0.015,COMPLETED,,0,0.03,0.015,0.8400585937499998,0.0006450058593749,0.0178582783410376,5.456957181509291e-19,0.0178582783410376,True,True,True,0.0599438838799615,38.91663411201444,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,4,C00,1.2,0.075,5,generic,3,0.1,0.002,0.03,0.03,COMPLETED,,0,0.03,0.03,0.10154296875,0.0479188476562499,0.0055164674231917,1.229325001478666e-21,0.0055164674231917,True,True,True,0.0459447638218042,24.89351206296124,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,4,C00,1.2,0.075,6,generic,4,0.5,0.002,0.06,0.008,COMPLETED,,0,0.06,0.008,0.6198828124999999,0.01000966796875,0.0089807414256958,4.1117933455492924e-20,0.0089807414256958,True,True,True,0.1201500874484898,32.13735475298017,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,4,C00,1.2,0.075,7,generic,5,0.9,0.002,0.06,0.015,COMPLETED,,0,0.06,0.015,0.7801171875000003,6.942267071759262e-05,0.0005137918560684,6.5895644848320735e-19,0.0005137918560684,True,True,True,0.1198983563762841,38.85915432800539,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
