condition,benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,ambiguous,status,technical_success,target_error,target_recovery,best_candidate_index,best_center_kind,best_center_index,best_cr_center,best_ci_center,best_cr,best_ci,best_stage1_mismatch,best_stage2_mismatch,best_total_mismatch,best_retry_index,best_cr_half_window,best_ci_half_window,n_boxes,n_completed_boxes,n_technical_boxes,total_box_solves,total_seconds,source_file,ambiguous_recomputed,target_recovery_recomputed
generic,10,C01,1.15,0.2,0.2086070430962784,0.0722196863696432,0.20869216,0.064648345,False,COMPLETED,True,0.557547633770749,False,10,generic,2,0.9,0.0001,0.7614583333333332,6.01171875e-06,6.252110218332218e-08,9.695379133167476e-20,6.252110218341914e-08,0,0.1,0.015,12,12,12,14,511.5470858338522,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,11,C01,1.2,0.19,0.2345470619404851,0.0685917338335152,0.24428776,0.06646624,False,COMPLETED,True,0.5313530010791202,False,9,generic,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,6.255850843820287e-08,1.2046246737745158e-19,6.255850843832335e-08,0,0.1,0.008,12,12,12,13,474.2787298362237,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,12,C02,1.0,0.25,0.111546652099929,0.0638826719697617,0.11011088,0.06385911,False,COMPLETED,True,0.6533004793230386,False,11,generic,5,0.9,0.002,0.7617187499999999,2.53356963734568e-05,7.134762395536918e-08,1.839650775679148e-20,7.134762395538759e-08,0,0.1,0.03,12,12,12,15,577.0473120468669,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,13,C02,1.0,0.315,0.1527202937243574,0.0259287963122211,0.15882558,0.02823904,False,COMPLETED,True,0.6095498383807649,False,10,generic,5,0.9,0.002,0.7617187499999999,8.037760416666667e-06,8.827748515286069e-08,4.816797215179534e-21,8.82774851528655e-08,0,0.1,0.015,12,12,12,18,728.1774126716191,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,14,C02,1.05,0.22,0.1435406899321354,0.0776899506702274,0.12625547,0.0781236,False,COMPLETED,True,0.6227809015577229,False,9,generic,5,0.9,0.002,0.7614583333333332,1.2171875e-05,7.101754289148247e-08,5.638210901579027e-20,7.101754289153885e-08,0,0.1,0.008,12,12,12,15,562.569739074097,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,15,C02,1.05,0.225,0.1469792621771554,0.0747033476696535,0.1288271,0.0745805,False,COMPLETED,True,0.6190032064830657,False,11,generic,2,0.9,0.0001,0.7614583333333332,1e-06,2.4997720169171644e-08,7.001686602366623e-20,2.4997720169241663e-08,0,0.1,0.03,12,12,12,15,564.0670935211238,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,16,C02,1.05,0.35,0.2055430635370356,0.0033487427887457,0.20462894,0.0017850369,False,COMPLETED,True,0.55618576176879,False,10,generic,2,0.9,0.0001,0.7617187499999999,1e-06,9.296744946541157e-08,4.9507937974155365e-20,9.296744946546108e-08,0,0.1,0.015,12,12,12,20,840.9661683181766,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,17,C02,1.1,0.215,0.1820716357575376,0.0726387709774911,0.18080717,0.07141138,False,COMPLETED,True,0.583918470653987,False,9,generic,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,7.2065931053477e-08,6.598680139853984e-20,7.206593105354298e-08,0,0.1,0.008,12,12,12,15,564.1830572411418,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,18,C02,1.1,0.265,0.2071896831590645,0.0445687947481188,0.20841847,0.046392817,False,COMPLETED,True,0.5560575733633311,False,11,generic,5,0.9,0.002,0.7614583333333332,1e-06,8.051772347218048e-08,6.449407714971346e-21,8.051772347218693e-08,0,0.1,0.03,12,12,12,15,587.6824500511866,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,19,C02,1.15,0.23,0.2240340200598721,0.0560742848095208,0.23034637,0.055443585,False,COMPLETED,True,0.5403351682332951,False,10,generic,5,0.9,0.002,0.7614583333333332,6.355787037037038e-05,8.885312607402655e-08,4.418360671222496e-20,8.885312607407073e-08,0,0.1,0.015,12,12,12,15,567.8508583612274,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,20,C02,1.2,0.285,0.2745150983935676,0.0207082606481318,0.27288508,0.014161268,False,COMPLETED,True,0.4873833241886241,False,9,generic,5,0.9,0.002,0.7614583333333332,1e-06,1.265110912088176e-08,6.1218577481861414e-21,1.2651109120887882e-08,0,0.1,0.008,12,12,12,19,722.4653428018792,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,21,C02,1.2,0.315,0.283776640858734,0.0058299567246247,0.27371174,0.005834017,False,COMPLETED,True,0.4779776526438231,False,11,generic,2,0.9,0.0001,0.7617187499999999,1e-06,5.816544742140792e-08,9.739456784209442e-20,5.8165447421505325e-08,0,0.1,0.03,12,12,12,21,828.7690292650368,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,22,C10,1.3,0.085,0.2134213938242283,0.0967386008453398,0.22815315,0.09804351,False,COMPLETED,True,0.5564996673586815,False,10,generic,2,0.9,0.0001,0.7614583333333332,5.668576388888889e-05,3.059334048779678e-08,5.2298122618696375e-19,3.0593340488319765e-08,0,0.1,0.015,12,12,12,13,418.14212529803626,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,23,C10,1.35,0.055,0.2048051278829152,0.0932814022118254,0.19728044,0.09156128,False,COMPLETED,True,0.5644097448807021,False,9,generic,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,1.7660935401898162e-08,6.941204120461754e-19,1.7660935402592286e-08,0,0.1,0.008,12,12,12,12,352.5315344580449,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,24,C10,1.35,0.09,0.2484573310607619,0.0834671719506741,0.2564376,0.08527956,False,COMPLETED,True,0.5197410716341727,False,11,generic,5,0.9,0.002,0.7614583333333332,3.604340277777777e-05,2.9343316763870993e-08,4.994230519592837e-19,2.934331676437041e-08,0,0.1,0.03,12,12,12,13,427.0731801808579,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,25,C10,1.4,0.075,0.2608331471465684,0.0767975321674059,0.24605283,0.07539043,False,COMPLETED,True,0.5064784321303165,False,10,generic,5,0.9,0.002,0.7614583333333332,1.976736111111111e-05,2.3115155786103563e-08,5.813281280727702e-19,2.3115155786684892e-08,0,0.1,0.015,12,12,12,13,410.8017142369645,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,26,C11,1.25,0.16,0.2464222279528879,0.0743731035158428,0.24575491,0.075478755,False,COMPLETED,True,0.5203781313879633,False,9,generic,5,0.9,0.002,0.7614583333333332,1e-06,5.281975308701301e-08,1.7106260788419024e-19,5.281975308718407e-08,0,0.1,0.008,12,12,12,13,457.5329956227215,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,27,C11,1.25,0.17,0.2524134188561518,0.0696333329101972,0.2514455,0.07117982,False,COMPLETED,True,0.5137808819274042,False,11,generic,2,0.9,0.0001,0.7614583333333332,3.3981770833333326e-05,5.593374426409263e-08,1.750440517355885e-19,5.5933744264267676e-08,0,0.1,0.03,12,12,12,13,462.9938126370544,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,28,C11,1.25,0.195,0.2657063752620336,0.0577515784663902,0.26916006,0.05756781,False,COMPLETED,True,0.4990978907744259,False,10,generic,2,0.9,0.0001,0.7614583333333332,5.668576388888889e-05,7.109109137819069e-08,1.1081526721535784e-19,7.10910913783015e-08,0,0.1,0.015,12,12,12,14,509.20319324499,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,29,C11,1.35,0.155,0.2967549899429557,0.0596339037531516,0.2958821,0.05954785,False,COMPLETED,True,0.4685139064832844,False,9,generic,2,0.9,0.0001,0.7614583333333332,1e-06,4.4497208984790566e-08,2.804078738668232e-19,4.4497208985070967e-08,0,0.1,0.008,12,12,12,13,460.26558607572224,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,30,C11,1.4,0.19,0.3372147010212746,0.0392805758273937,0.33646756,0.038047705,False,COMPLETED,True,0.4260549176838074,False,11,generic,5,0.9,0.002,0.7614583333333332,3.604340277777777e-05,6.164478523853249e-08,1.2954439191637992e-19,6.164478523866205e-08,0,0.1,0.03,12,12,12,14,519.1434002931928,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,31,C12,1.25,0.235,0.283159755764521,0.0387025891520861,0.28292152,0.041625187,False,COMPLETED,True,0.4798567536700285,False,10,generic,5,0.9,0.002,0.7614583333333332,6.355787037037038e-05,8.951232471512309e-08,4.045247364752366e-20,8.951232471516353e-08,0,0.1,0.015,12,12,12,17,618.5355316529749,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_00_32.csv,False,False
generic,32,C12,1.25,0.285,0.3004516982633556,0.0149416772739879,0.29988387,0.011790725,False,COMPLETED,True,0.4612474715741461,False,9,generic,5,0.9,0.002,0.7614583333333332,3.823958333333333e-05,9.718086714993589e-08,2.042905450866153e-21,9.718086714993793e-08,0,0.1,0.008,12,12,12,21,807.2827652338892,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,33,C12,1.25,0.315,0.3091557589953352,0.0007606930795383,0.31015742,0.0026502407,False,COMPLETED,True,0.452563628632111,False,11,generic,2,0.9,0.0001,0.7617187499999999,1e-06,6.479020305218765e-08,2.519346697887424e-19,6.479020305243959e-08,0,0.1,0.03,12,12,12,21,808.6605662057409,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,34,C12,1.4,0.21,0.3451000202138525,0.031492731749407,0.34649885,0.030529922,False,COMPLETED,True,0.4175463114035069,False,10,generic,2,0.9,0.0001,0.7614583333333332,1.770572916666667e-05,6.485597991841298e-08,8.660603764178706e-20,6.485597991849959e-08,0,0.1,0.015,12,12,12,21,756.7934580580331,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,35,C12,1.4,0.255,0.360051802461027,0.0134816819704447,0.36073864,0.0100793205,False,COMPLETED,True,0.4016325264115767,False,9,generic,2,0.9,0.0001,0.7614583333333332,1.0110243055555556e-05,7.865863808870768e-08,2.2813907456670783e-20,7.86586380887305e-08,0,0.1,0.008,12,12,11,21,799.1360913768876,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,36,C20,1.45,0.105,0.3134370510761152,0.0607481498786416,0.30444336,0.06792568,False,COMPLETED,True,0.4521208749590976,False,11,generic,5,0.9,0.002,0.7614583333333332,1e-06,3.5133478959657903e-08,3.2723811162895725e-19,3.513347895998514e-08,0,0.1,0.03,12,12,12,13,458.730088974,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,37,C20,1.5,0.085,0.3218492869365933,0.0569978921594081,0.32013,0.05874354,False,COMPLETED,True,0.4432805343061963,False,10,generic,5,0.9,0.002,0.7614583333333332,6.355787037037038e-05,3.09650009836878e-08,5.313593788404535e-19,3.0965000984219164e-08,0,0.1,0.015,12,12,12,13,523.5555478079477,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,38,C20,1.55,0.06,0.3237921600955207,0.0505159341051575,0.33005154,0.046755057,False,COMPLETED,True,0.4405674486850675,False,9,generic,5,0.9,0.002,0.7614583333333332,3.823958333333333e-05,1.932132970693198e-08,6.715264276218842e-19,1.9321329707603503e-08,0,0.1,0.008,12,12,12,12,440.2404820888769,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,39,C20,1.6,0.11,0.3823053415294019,0.0409883410294948,0.38274667,0.039386265,False,COMPLETED,True,0.381358428169825,False,11,generic,2,0.9,0.0001,0.7614583333333332,3.3981770833333346e-05,3.4298773637287656e-08,4.162605538355736e-19,3.429877363770392e-08,0,0.1,0.03,12,12,12,12,491.5975633520866,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,40,C21,1.45,0.12,0.3237488512771395,0.0567621464549422,0.3238221,0.056237806,False,COMPLETED,True,0.441367307300944,False,10,generic,2,0.9,0.0001,0.7614583333333332,5.668576388888889e-05,4.2302029797303196e-08,3.633898301993181e-19,4.2302029797666586e-08,0,0.1,0.015,12,12,12,13,548.2417937730206,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,41,C21,1.5,0.205,0.3845145331817926,0.0238977814289654,0.38782793,0.02448477,False,COMPLETED,True,0.3776986023109144,False,9,generic,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,6.437326187293047e-08,1.0123295521486416e-19,6.437326187303172e-08,0,0.1,0.008,12,12,12,20,824.7582960408181,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,42,C21,1.55,0.12,0.3676123448280693,0.0442350462458262,0.35996458,0.045422435,False,COMPLETED,True,0.3963183247264858,False,11,generic,5,0.9,0.002,0.7614583333333332,3.604340277777778e-05,3.7986843559236544e-08,3.695698889864867e-19,3.7986843559606115e-08,0,0.1,0.03,12,12,12,13,544.5052239240613,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,43,C21,1.55,0.2,0.4017552663925157,0.0216202143809181,0.40326327,0.021394387,False,COMPLETED,True,0.3603521705180619,False,10,generic,5,0.9,0.002,0.7614583333333332,1e-06,2.001906472956645e-08,1.1108626189160237e-19,2.0019064729677538e-08,0,0.1,0.015,12,12,11,20,912.2452293720562,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,44,C21,1.6,0.12,0.3876599201926229,0.0391748932154282,0.38314873,0.039974157,False,COMPLETED,True,0.3758416306425244,False,9,generic,5,0.9,0.002,0.7614583333333332,3.823958333333333e-05,3.7982696272131283e-08,3.725249452774912e-19,3.7982696272503806e-08,0,0.1,0.008,12,12,12,13,521.9686910103774,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,45,C22,1.45,0.235,0.3745136540289731,0.0171237709666125,0.3672943,0.017903352,False,COMPLETED,True,0.3873218890492897,False,11,generic,2,0.9,0.0001,0.7614583333333332,3.398177083333332e-05,7.537937896364438e-08,4.7516960251630246e-20,7.53793789636919e-08,0,0.1,0.03,12,12,11,22,833.8954848571448,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,46,C22,1.55,0.26,0.4189715103041552,0.0011522371683095,0.42387515,0.003822559,False,COMPLETED,True,0.3424887021643282,False,10,generic,2,0.9,0.0001,0.7614583333333332,1.770572916666667e-05,7.849282137658174e-08,2.262140340156596e-20,7.849282137660436e-08,0,0.1,0.015,12,12,11,23,904.1921187491388,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,47,C22,1.6,0.22,0.4256110612063782,0.0118039423351638,0.43525052,0.009498814,False,COMPLETED,True,0.3360546081262451,False,9,generic,2,0.9,0.0001,0.7614583333333332,1e-06,6.65088912978075e-08,7.261300489222156e-20,6.65088912978801e-08,0,0.1,0.008,12,12,11,24,1041.692992108874,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,48,C30,1.7,0.06,0.3910915486397204,0.0336318199900653,0.39153728,0.03392075,False,COMPLETED,True,0.371880012880375,False,11,generic,5,0.9,0.002,0.7614583333333332,0.0001178113425925,3.0662291911950456e-08,6.73146103781569e-19,3.06622919126236e-08,0,0.1,0.03,12,12,12,12,380.7477437539492,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,49,C30,1.7,0.075,0.4008202608716605,0.0347139445851855,0.4007553,0.036494035,False,COMPLETED,True,0.362298866418813,False,10,generic,5,0.9,0.002,0.7614583333333332,6.355787037037038e-05,2.6564319247680743e-08,5.936307255276146e-19,2.656431924827437e-08,0,0.1,0.015,12,12,12,13,427.3543672427768,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,50,C30,1.75,0.055,0.4075496013880763,0.029060765945644,0.40652746,0.029275361,False,COMPLETED,True,0.355096743977681,False,9,generic,5,0.9,0.002,0.7614583333333332,3.823958333333333e-05,1.7223757573241082e-08,7.079686348923124e-19,1.7223757573949046e-08,0,0.1,0.008,12,12,12,12,366.7138313931646,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,51,C30,1.75,0.115,0.4390526505121892,0.028374825904752,0.44282287,0.026433159,False,COMPLETED,True,0.3236421968856748,False,11,generic,2,0.9,0.0001,0.7614583333333332,0.0001109392361111,5.476577953203206e-08,3.981544527160161e-19,5.476577953243021e-08,0,0.1,0.03,12,12,12,13,453.7268697080435,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,52,C30,1.8,0.115,0.4550520054455996,0.0254326671624637,0.46154898,0.023167498,False,COMPLETED,True,0.3074553271641039,False,10,generic,2,0.9,0.0001,0.7614583333333332,5.668576388888889e-05,3.820680318818309e-08,4.05958848489756e-19,3.820680318858905e-08,0,0.1,0.015,12,12,12,13,456.8413376706885,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,53,C30,1.9,0.075,0.4689092726029273,0.0226079949575224,0.48286277,0.021812832,False,COMPLETED,True,0.2934189105061971,False,9,generic,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,2.2218128304020452e-08,6.056819067539317e-19,2.221812830462613e-08,0,0.1,0.008,12,12,12,13,429.0556323531782,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
generic,54,C31,1.7,0.12,0.4243596505971577,0.0309763785020722,0.42487207,0.032059122,False,COMPLETED,True,0.3385188266194531,False,11,generic,5,0.9,0.002,0.7614583333333332,1e-06,3.2093066679180514e-08,3.9219260379357697e-19,3.20930666795727e-08,0,0.1,0.03,12,12,12,13,466.4577438238776,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_generic_32_64.csv,False,False
