Mach,alpha,n_success_settings,cr_min,cr_max,cr_range,ci_min,ci_max,ci_range,max_stage1,max_edge_frac,max_center_jump,max_modal_rel_l2,convergence_status,reject_reasons
1.8,0.07,4,0.434396576,0.434396576,0.0,0.027510992,0.027510992,0.0,6.652553652405743e-07,0.011138377829734578,0.0029919544793979846,0.0401501633613648,converged_requires_visual_confirmation,
1.8,0.0725,4,0.4356868639999999,0.4356868639999999,0.0,0.027642608,0.027642608,0.0,9.734389028336335e-07,0.009282713272529315,0.0029579088511789715,0.04029696223855424,converged_requires_visual_confirmation,
1.8,0.075,4,0.4369730559999999,0.4369730559999999,0.0,0.02773224,0.02773224,0.0,8.059275451195422e-07,0.007781724907613566,0.0029714039435515377,0.04053996927918877,converged_requires_visual_confirmation,
1.8,0.0775,4,0.4382428639999999,0.4382428639999999,0.0,0.0277911519999999,0.0277911519999999,0.0,2.387756868276131e-07,0.0065532133038914775,0.002975286468156252,0.04063066486520194,converged_requires_visual_confirmation,
1.8,0.08,4,0.439484,0.439484,0.0,0.027816272,0.027816272,0.0,9.187815366991816e-07,0.005549941108775053,0.002970268565590634,0.04054906371173542,converged_requires_visual_confirmation,
1.8,0.0825,4,0.440713576,0.440713576,0.0,0.0278117599999999,0.0278117599999999,0.0,6.025643075825798e-07,0.004725960579710684,0.0029684689179675207,0.040426336662833816,converged_requires_visual_confirmation,
1.8,0.085,4,0.441930864,0.441930864,0.0,0.0277765279999999,0.0277765279999999,0.0,7.137139471362719e-07,0.004049273311790723,0.0029773778517973087,0.04038660924331841,converged_requires_visual_confirmation,
1.8,0.0875,4,0.4431235759999999,0.4431235759999999,0.0,0.027708528,0.027708528,0.0,1.260201720784174e-06,0.003494294143270207,0.0029969345676871344,0.040424380765122774,converged_requires_visual_confirmation,
1.8,0.09,4,0.444279424,0.444279424,0.0,0.027618,0.027618,0.0,1.2413016969454157e-06,0.0030321224030661776,0.0029769249650856066,0.040462639992593016,converged_requires_visual_confirmation,
1.8,0.0925,4,0.44543619199999995,0.44543619199999995,0.0,0.027504384,0.027504384,0.0,7.774971963969906e-07,0.0026471138319437712,0.002962030033269668,0.04044911301620621,converged_requires_visual_confirmation,
1.8,0.095,4,0.4465765759999999,0.4465765759999999,0.0,0.027360048,0.027360048,0.0,2.0434221291705384e-07,0.00232991839087994,0.002973897049535083,0.04040843048363557,converged_requires_visual_confirmation,
1.8,0.0975,4,0.4477005759999999,0.4477005759999999,0.0,0.027195232,0.027195232,0.0,1.3219415866160025e-06,0.0020638174021933493,0.002969334840174853,0.0403715915906917,converged_requires_visual_confirmation,
1.8,0.1,4,0.4488,0.4488,0.0,0.027003792,0.027003792,0.0,1.083967100750551e-06,0.00184305485702731,0.0029766995818661965,0.04036464086910198,converged_requires_visual_confirmation,
1.8,0.1025,4,0.449885,0.449885,0.0,0.0267903199999999,0.0267903199999999,0.0,1.370406238695513e-06,0.0016583219445713245,0.0029860721568920777,0.04036590587412135,converged_requires_visual_confirmation,
1.8,0.105,4,0.450945424,0.450945424,0.0,0.0265604639999999,0.0265604639999999,0.0,4.4241073067102665e-07,0.0015018446039307793,0.002968418103611419,0.04033614512381246,converged_requires_visual_confirmation,
1.8,0.1075,4,0.45199356,0.45199356,0.0,0.0263080799999999,0.0263080799999999,0.0,6.355655465057275e-07,0.0013715219888466394,0.002964759160760451,0.04028816428023338,converged_requires_visual_confirmation,
1.8,0.11,4,0.453023264,0.453023264,0.0,0.0260311199999999,0.0260311199999999,0.0,1.3403978412513886e-06,0.0012641477923685215,0.002988192342883519,0.040270441631096124,converged_requires_visual_confirmation,
1.8,0.1125,4,0.45404784,0.45404784,0.0,0.0257398399999999,0.0257398399999999,0.0,4.0698587551061643e-07,0.0011733608868479577,0.002990659523701366,0.04032014673008103,converged_requires_visual_confirmation,
1.8,0.115,4,0.45504784,0.45504784,0.0,0.0254301279999999,0.0254301279999999,0.0,1.0312367519645744e-06,0.0010982057747207683,0.002995627514505775,0.04046576010365749,converged_requires_visual_confirmation,
1.8,0.1175,4,0.45604784,0.45604784,0.0,0.0251081279999999,0.0251081279999999,0.0,1.6594118076024629e-06,0.0010350719800042297,0.0029726617112330778,0.04068254943330985,converged_requires_visual_confirmation,
1.8,0.12,4,0.457010976,0.457010976,0.0,0.0247636,0.0247636,0.0,6.553134704250333e-07,0.0009854055129674016,0.0029850839973847108,0.04096130365673033,converged_requires_visual_confirmation,
1.8,0.1225,4,0.457979136,0.457979136,0.0,0.0244035599999999,0.0244035599999999,0.0,1.4294501079083628e-06,0.0009460878128875079,0.0029909152363611366,0.041276016954053404,converged_requires_visual_confirmation,
1.8,0.125,4,0.4589165759999999,0.4589165759999999,0.0,0.0240312319999999,0.0240312319999999,0.0,3.243143024250336e-07,0.0009154109998662706,0.0029863156122744306,0.04161274585583669,converged_requires_visual_confirmation,
1.8,0.1275,4,0.45984377600000004,0.45984377600000004,0.0,0.0236425199999999,0.0236425199999999,0.0,1.249288772526657e-06,0.0008939157647272412,0.0029908557466090243,0.04196476811226537,converged_requires_visual_confirmation,
1.8,0.13,4,0.460760736,0.460760736,0.0,0.0232415199999999,0.0232415199999999,0.0,1.445192259668841e-06,0.0008801513156028121,0.002983655275384422,0.0423182224769426,converged_requires_visual_confirmation,
1.8,0.1325,4,0.46166416,0.46166416,0.0,0.0228235199999999,0.0228235199999999,0.0,1.6405976936400878e-06,0.0008752272760334493,0.0029958934342362792,0.0426958399853326,converged_requires_visual_confirmation,
1.8,0.135,4,0.46256144,0.46256144,0.0,0.0223932319999999,0.0223932319999999,0.0,3.908179994259677e-07,0.0008779584306518572,0.002997669204193365,0.04311964797042979,converged_requires_visual_confirmation,
1.8,0.1375,4,0.46343619199999997,0.46343619199999997,0.0,0.0219547519999999,0.0219547519999999,0.0,1.2445496254806072e-06,0.0008874285920387042,0.0029835097521849836,0.04360447452234421,converged_requires_visual_confirmation,
1.8,0.14,4,0.46431094400000006,0.46431094400000006,0.0,0.0214998879999999,0.0214998879999999,0.0,1.1107730809847603e-06,0.000906417092441153,0.0029806681300753013,0.044162735028374304,converged_requires_visual_confirmation,
1.8,0.1425,4,0.46516838400000005,0.46516838400000005,0.0,0.021031852,0.021031852,0.0,2.029909239148208e-06,0.0009347857280356273,0.00299123360413199,0.04478634599647769,converged_requires_visual_confirmation,
1.8,0.145,4,0.46600944,0.46600944,0.0,0.020553576,0.020553576,0.0,1.8902072336830112e-06,0.0009726456478780712,0.0030009853120111117,0.04548796066128664,converged_requires_visual_confirmation,
1.8,0.1475,4,0.46683616,0.46683616,0.0,0.020067108,0.020067108,0.0,8.38504864869804e-07,0.0010205347595216069,0.002999433244757037,0.04628692508586576,converged_requires_visual_confirmation,
1.8,0.15,4,0.4676567360000001,0.4676567360000001,0.0,0.0195704,0.0195704,0.0,1.1375102365126855e-06,0.001080702134275724,0.002990204009284409,0.0471841915524161,converged_requires_visual_confirmation,
1.8,0.1525,4,0.468455776,0.468455776,0.0,0.019061828,0.019061828,0.0,1.3911329429304991e-06,0.0011558753310171093,0.0030070816615377556,0.0481491319019139,converged_requires_visual_confirmation,
1.8,0.155,4,0.4692568639999999,0.4692568639999999,0.0,0.0185471119999999,0.0185471119999999,0.0,8.25677946203664e-07,0.0012463602129467153,0.0029841520388247896,0.04914130092771577,converged_requires_visual_confirmation,
