step,ci_anchor_loss
1,0.012767779067249083
100,1.9151560826185876e-05
200,1.5712943927638135e-06
300,3.3148859224400765e-08
400,1.7150771480884256e-10
500,1.9322219408613092e-13
600,2.4709318630003968e-17
700,6.36155071713638e-23
800,2.0961726052373083e-28
900,1.1919111620649052e-28
1000,1.0151544968928966e-28
1100,8.743895538892175e-29
1200,7.433367550685002e-29
1300,6.377747278989716e-29
1400,5.650189886559172e-29
1500,4.949730231841666e-29
1600,4.4589626217978025e-29
1700,3.990117463695796e-29
1800,3.471972037990013e-29
1900,3.0631259436603944e-29
2000,2.75444807503072e-29
2100,2.3783629929279748e-29
2200,2.1712779971463017e-29
2300,1.915035876357352e-29
2400,1.732185581203483e-29
2500,1.4727072024401868e-29
2600,1.3613074632699443e-29
2700,1.2974037301185895e-29
2800,1.1597049854716436e-29
2900,9.891161559248903e-30
3000,9.156099880895474e-30
