interface_rank,selection_reason,boundary_id,interface_pair,side,Mach,eta,chart_id,samepoint_ci_abs_diff,samepoint_p_overlap,samepoint_p_rel
0,worst_p_overlap,ROUTE_0150,HM1_LOW__LOW,minus,0.6999499995052814,0.3976,LOW,0.0002405246272341,0.9631088272036938,0.2691122200167164
0,worst_p_overlap,ROUTE_0150,HM1_LOW__LOW,plus,0.7000499995052814,0.3976,HM1_LOW,0.0002405246272341,0.9631088272036938,0.2691122200167164
1,worst_p_overlap,ROUTE_0240,HM2_LOW__HM2_MID,minus,0.98,0.3999500004947186,HM2_LOW,0.0003925098824332,0.9649325491866656,0.2624979533636845
1,worst_p_overlap,ROUTE_0240,HM2_LOW__HM2_MID,plus,0.98,0.4000500004947186,HM2_MID,0.0003925098824332,0.9649325491866656,0.2624979533636845
2,worst_p_overlap,ROUTE_0145,HM1_LOW__HM2_LOW,minus,0.8499499995052815,0.3976,HM1_LOW,2.8116311058423715e-05,0.9726871948164292,0.2321198419785476
2,worst_p_overlap,ROUTE_0145,HM1_LOW__HM2_LOW,plus,0.8500499995052815,0.3976,HM2_LOW,2.8116311058423715e-05,0.9726871948164292,0.2321198419785476
3,worst_ci_jump,ROUTE_0292,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,minus,0.0499499995052814,0.1607999999999999,LMEDGE_LOW,0.0029857439097475,0.9998420368503907,0.0177736137817237
3,worst_ci_jump,ROUTE_0292,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,plus,0.0500499995052814,0.1607999999999999,LOWM_EXT_VLOW_MOD,0.0029857439097475,0.9998420368503907,0.0177736137817237
4,worst_ci_jump,ROUTE_0278,LMEDGE_LOW__LMEDGE_MID,minus,0.0327999999999999,0.3499499995052814,LMEDGE_LOW,0.0022605251407783,0.9998489179549286,0.0173822111469903
4,worst_ci_jump,ROUTE_0278,LMEDGE_LOW__LMEDGE_MID,plus,0.0327999999999999,0.3500499995052814,LMEDGE_MID,0.0022605251407783,0.9998489179549286,0.0173822111469903
