boundary_id,normal_axis,pair_id,idx_a,idx_b,Mach_minus_grid,Mach_plus_grid,eta_minus_grid,eta_plus_grid,Mach_mid,eta_mid,component,chart_minus,chart_plus,Mach_boundary,eta_boundary,clean_pair_switch,third_chart_seen,eps,Mach_minus,eta_minus,Mach_plus,eta_plus,routed_chart_minus,routed_chart_plus,family_minus,family_plus,ci_minus,ci_plus,samepoint_ci_abs_diff,samepoint_ci_rel_diff_reg,samepoint_p_overlap,samepoint_p_rel,samepoint_q_overlap,samepoint_q_rel,routed_ci_abs_diff,routed_ci_rel_diff_reg,routed_p_overlap,routed_p_rel,routed_q_overlap,routed_q_rel,success,error,source_shard
ROUTE_0000,Mach,ETAEDGE_HM1__ETAEDGE_HM2A,0,1,0.8392,0.8423999999999999,0.02,0.02,0.8408,0.02,0,ETAEDGE_HM1,ETAEDGE_HM2A,0.8399999995052815,0.02,True,,0.001,0.8389999995052815,0.02,0.8409999995052815,0.02,ETAEDGE_HM1,ETAEDGE_HM2A,pQscaled,pQscaled,0.5778185159040188,0.577110809739139,0.0004851954918615,0.0008399131218497,0.9999958684047334,0.0028745736141364,0.9998114071769862,0.4157487404190949,0.0007077061648798,0.0012247896967659,0.9999958104190216,0.002894675181187,0.9998112782888772,0.417953483271948,True,,shard_00000.csv
ROUTE_0000,Mach,ETAEDGE_HM1__ETAEDGE_HM2A,0,1,0.8392,0.8423999999999999,0.02,0.02,0.8408,0.02,0,ETAEDGE_HM1,ETAEDGE_HM2A,0.8399999995052815,0.02,True,,0.0002,0.8397999995052815,0.02,0.8401999995052815,0.02,ETAEDGE_HM1,ETAEDGE_HM2A,pQscaled,pQscaled,0.5773141266853082,0.5775617140248888,0.0004851954918615,0.0008399131218497,0.9999958684047334,0.0028745736141364,0.9998114071769862,0.4157487404190949,0.0002475873395805,0.0004286768557686,0.9999958568350806,0.0028785956078386,0.9998113814660332,0.4161904548708228,True,,shard_00000.csv
ROUTE_0000,Mach,ETAEDGE_HM1__ETAEDGE_HM2A,0,1,0.8392,0.8423999999999999,0.02,0.02,0.8408,0.02,0,ETAEDGE_HM1,ETAEDGE_HM2A,0.8399999995052815,0.02,True,,5e-05,0.8399499995052815,0.02,0.8400499995052815,0.02,ETAEDGE_HM1,ETAEDGE_HM2A,pQscaled,pQscaled,0.5772196978721135,0.5776455378558565,0.0004851954918615,0.0008399131218497,0.9999958684047334,0.0028745736141364,0.9998114071769862,0.4157487404190949,0.000425839983743,0.0007371994689402,0.9999958655136082,0.0028755791920008,0.9998114007524452,0.4158592051561148,True,,shard_00000.csv
ROUTE_0001,Mach,ETAEDGE_HM1__ETAEDGE_HM2A,0,1,0.8392,0.8423999999999999,0.0296,0.0296,0.8408,0.0296,0,ETAEDGE_HM1,ETAEDGE_HM2A,0.8399999995052815,0.0296,True,,0.001,0.8389999995052815,0.0296,0.8409999995052815,0.0296,ETAEDGE_HM1,ETAEDGE_HM2A,pQscaled,pQscaled,0.5698266208000979,0.5694362934909294,0.0007808444091235,0.0013699240368442,0.9999936131881108,0.0035740149673635,0.9998243068024032,0.4313790490829324,0.0003903273091685,0.0006849931100454,0.9999935276661176,0.0035978640710521,0.9998240519417312,0.4335346173497366,True,,shard_00000.csv
ROUTE_0001,Mach,ETAEDGE_HM1__ETAEDGE_HM2A,0,1,0.8392,0.8423999999999999,0.0296,0.0296,0.8408,0.0296,0,ETAEDGE_HM1,ETAEDGE_HM2A,0.8399999995052815,0.0296,True,,0.0002,0.8397999995052815,0.0296,0.8401999995052815,0.0296,ETAEDGE_HM1,ETAEDGE_HM2A,pQscaled,pQscaled,0.5693333227752678,0.5698808836978995,0.0007808444091235,0.0013699240368442,0.9999936131881108,0.0035740149673635,0.9998243068024032,0.4313790490829324,0.0005475609226316,0.0009608339888128,0.999993596122137,0.0035787867659782,0.999824255986118,0.4318108615325498,True,,shard_00000.csv
ROUTE_0001,Mach,ETAEDGE_HM1__ETAEDGE_HM2A,0,1,0.8392,0.8423999999999999,0.0296,0.0296,0.8408,0.0296,0,ETAEDGE_HM1,ETAEDGE_HM2A,0.8399999995052815,0.0296,True,,5e-05,0.8399499995052815,0.0296,0.8400499995052815,0.0296,ETAEDGE_HM1,ETAEDGE_HM2A,pQscaled,pQscaled,0.5692409607841034,0.5699635299422463,0.0007808444091235,0.0013699240368442,0.9999936131881108,0.0035740149673635,0.9998243068024032,0.4313790490829324,0.0007225691581429,0.0012677463033751,0.9999936089234176,0.0035752080105435,0.9998242941056515,0.4314870351272875,True,,shard_00000.csv
ROUTE_0002,Mach,ETAEDGE_HM1__ETAEDGE_HM2A,0,1,0.8392,0.8423999999999999,0.0392,0.0392,0.8408,0.0392,0,ETAEDGE_HM1,ETAEDGE_HM2A,0.8399999995052815,0.0392,True,,0.001,0.8389999995052815,0.0392,0.8409999995052815,0.0392,ETAEDGE_HM1,ETAEDGE_HM2A,pQscaled,pQscaled,0.562081917376749,0.5609661828566596,1.3013995551758306e-05,2.317709219073917e-05,0.9999912507370896,0.0041831147810932,0.9998294716119364,0.4402580021210719,0.0011157345200893,0.0019850034053693,0.9999911352600342,0.0042106295666941,0.9998290683556452,0.4424317009096189,True,,shard_00000.csv
ROUTE_0002,Mach,ETAEDGE_HM1__ETAEDGE_HM2A,0,1,0.8392,0.8423999999999999,0.0392,0.0392,0.8408,0.0392,0,ETAEDGE_HM1,ETAEDGE_HM2A,0.8399999995052815,0.0392,True,,0.0002,0.8397999995052815,0.0392,0.8401999995052815,0.0392,ETAEDGE_HM1,ETAEDGE_HM2A,pQscaled,pQscaled,0.5616078444274715,0.5613959022152331,1.3013995551758306e-05,2.317709219073917e-05,0.9999912507370896,0.0041831147810932,0.9998294716119364,0.4402580021210719,0.0002119422122384,0.0003773847077482,0.9999912276932624,0.0041886198827809,0.9998293910657567,0.4406934369175771,True,,shard_00000.csv
ROUTE_0002,Mach,ETAEDGE_HM1__ETAEDGE_HM2A,0,1,0.8392,0.8423999999999999,0.0392,0.0392,0.8408,0.0392,0,ETAEDGE_HM1,ETAEDGE_HM2A,0.8399999995052815,0.0392,True,,5e-05,0.8399499995052815,0.0392,0.8400499995052815,0.0392,ETAEDGE_HM1,ETAEDGE_HM2A,pQscaled,pQscaled,0.5615190800297933,0.5614758931237313,1.3013995551758306e-05,2.317709219073917e-05,0.9999912507370896,0.0041831147810932,0.9998294716119364,0.4402580021210719,4.318690606208708e-05,7.691084345663847e-05,0.9999912449785496,0.00418449115792,0.9998294514803412,0.4403668935741918,True,,shard_00000.csv
ROUTE_0003,Mach,ETAEDGE_HM1__ETAEDGE_HM2A,0,1,0.8392,0.8423999999999999,0.0487999999999999,0.0487999999999999,0.8408,0.0487999999999999,0,ETAEDGE_HM1,ETAEDGE_HM2A,0.8399999995052815,0.0487999999999999,True,,0.001,0.8389999995052815,0.0487999999999999,0.8409999995052815,0.0487999999999999,ETAEDGE_HM1,ETAEDGE_HM2A,pQscaled,pQscaled,0.5540453096569368,0.5535440823321771,0.0006125226262936,0.0011054802376536,0.9999887981896576,0.0047332330603907,0.9998306846705204,0.4472837365597087,0.0005012273247596,0.0009046684739015,0.999988650258224,0.0047643839828334,0.9998301837728376,0.4494570893778802,True,,shard_00000.csv
