tag	Mach	pilot_exists	checkpoint_ready	anchor_ready	n_checkpoint_candidates	n_anchor_candidates
115	1.15	False	False	False	0	0
120	1.2	False	False	False	0	0
125	1.25	False	False	False	0	0
130	1.3	False	False	False	0	0
135	1.35	False	False	False	0	0
140	1.4	False	False	False	0	0
145	1.45	False	False	False	0	0
155	1.55	False	False	False	0	0
160	1.6	False	False	False	0	0
165	1.65	False	False	False	0	0
170	1.7	False	False	False	0	0
175	1.75	False	False	False	0	0
180	1.8	False	False	False	0	0
185	1.85	False	False	False	0	0
195	1.95	False	False	False	0	0
200	2.0	False	False	False	0	0
