Mach,tag,checkpoint_ready,metrics_ready,cr_mae,cr_max_abs,ci_mae,ci_max_abs,omega_i_mae
1.0,100,True,True,0.010435441029341234,0.027071891394239447,0.004718936438504727,0.03563579796607898,0.0010511524190846748
1.05,105,True,True,0.009394506332254556,0.05616671163854309,0.008525526347870627,0.04227779852361291,0.0017231105348986125
1.1,110,True,True,0.005846505382960515,0.049267066692293984,0.00802953232488748,0.025253032201917408,0.0015537777444378537
1.15,115,True,True,0.007037381869984299,0.062458018692663334,0.008636795744046202,0.026443923081887366,0.001459061710405162
1.2,120,True,True,0.004842852637482019,0.041584237302987964,0.005698356903080793,0.016180291194865554,0.0009667135210283005
1.25,125,True,True,0.0033738307116581677,0.024419289642058903,0.005609547480404053,0.014362666478244454,0.0009049147048027599
1.3,130,True,True,0.0030638180490635556,0.01990221962322436,0.004800585661322712,0.01243793024495106,0.000779565840969878
1.35,135,True,True,0.002647657490079538,0.018225487095948678,0.0039502664545391,0.011512462329911585,0.0006182586569257988
1.4,140,True,True,0.002616979999197388,0.014625446998195263,0.00425093504792395,0.015703487812036537,0.000616223246807249
1.45,145,True,True,0.0024412141749892507,0.012076327974434364,0.0045337413286091225,0.020040812649243872,0.0006125677085912129
1.5,150,True,True,0.002155921536411154,0.008994827320332632,0.005237331143255926,0.020741379229088135,0.0006857884315615267
1.55,155,True,True,0.002105719536622575,0.006469733448127402,0.004878012908925913,0.021807056254014218,0.0006115205775020134
1.6,160,True,True,0.0021204722168434945,0.0063253265410621595,0.005309137282557571,0.023987057335709536,0.0006608245317589846
1.65,165,True,True,0.0017484093620807565,0.006053156835699014,0.004832091758782229,0.02507276989420442,0.0005560113575653653
1.7,170,True,True,0.0015300555436964073,0.005509983477325675,0.005086648248608789,0.0262528333196489,0.000585154888199687
1.75,175,True,True,0.001257300414872257,0.005070093996756231,0.004844442784126366,0.027064127379650593,0.0005340714040029082
1.8,180,True,True,0.0011745842420209558,0.005497505159083482,0.004094051701853629,0.024426937004831607,0.00043334978451210467
1.85,185,True,True,0.001025173286264772,0.00319241657525271,0.004186599509192299,0.0184954076144206,0.0004560280363252134
1.9,190,True,True,0.0009692346410499454,0.0034835823829472146,0.0038485217293118194,0.017334233095589156,0.0004189143935193146
