step,ci_anchor_loss
1,0.02832877149811574
100,0.00015017444652941738
200,1.162762787559497e-06
300,1.7751760013738186e-07
400,1.3881391385654038e-07
500,1.1082764274690111e-07
600,8.97331803318205e-08
700,7.426023232178538e-08
800,6.285162884331824e-08
900,5.413278609777235e-08
1000,4.709482466267156e-08
1100,4.109485747942361e-08
1200,3.577276938593365e-08
1300,3.095238741241177e-08
1400,2.656057053737531e-08
1500,2.2573069889498933e-08
1600,1.898342324571811e-08
1700,1.578745087805976e-08
1800,1.2976753806585756e-08
1900,1.0536789689302726e-08
2000,8.447037470224416e-09
2100,6.682020227970355e-09
2200,5.212628962033065e-09
2300,4.0075006204723585e-09
2400,3.034331799888798e-09
2500,2.261060618223486e-09
2600,1.656873085707477e-09
2700,1.1930064317094577e-09
2800,8.43336382393994e-10
2900,5.847493436792022e-10
3000,3.9731323222202655e-10
