status,error,source,alpha_set,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_used,ci_used,cr_abs_error,ci_abs_error,complex_spectral_error,ln_p_start_right,stage1_mismatch,stage2_mismatch,stage1_seconds,stage2_seconds,reconstruction_seconds,fixed_c_total_seconds,alignment_real,alignment_imag,shooting_y_min,shooting_y_max,n_shooting_points,n_core20,n_core40,p_rel_l2_core20,p_rel_l2_core40,rho_rel_l2_core20,rho_rel_l2_core40,u_rel_l2_core20,u_rel_l2_core40,v_rel_l2_core20,v_rel_l2_core40,p_overlap_error_core20,p_overlap_error_core40
COMPLETED,,oracle,all,1.6,0.05,False,0.3386982234532665,0.0421909590288649,0.3386982234532665,0.0421909590288649,0.0,0.0,0.0,-11.508243483521845,,6.984078659437342e-19,,1.2463264390826225,0.20685727056115866,1.4531837096437812,2.559997162434492,0.004810089484901661,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.4907299199423635e-06,2.0118703645643897e-05,1.490729919944147e-06,2.0118703645656247e-05,2.999112153905196e-06,5.5128294357392795e-06,1.7736715166558907e-06,2.5461061271414902e-05,1.1110001807423942e-12,1.7383439132601097e-10
COMPLETED,,oracle,all,1.6,0.055,False,0.3433196538075309,0.0431270003395126,0.3433196538075309,0.0431270003395126,0.0,0.0,0.0,-12.75396300716045,,1.5066206946796372e-19,,1.3267984855920076,0.22908341605216265,1.5558819016441703,2.5599972467810908,0.004928433083162415,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.7968621119158796e-06,2.4541295152976855e-05,1.7968621119123764e-06,2.4541295152981724e-05,3.2717571500561248e-06,6.88498591773414e-06,2.153265878097021e-06,3.098332530009743e-05,1.614153255502515e-12,2.587429159817134e-10
COMPLETED,,oracle,all,1.6,0.06,False,0.3477230740318452,0.0437857312429802,0.3477230740318452,0.0437857312429802,0.0,0.0,0.0,-14.095957362078128,,6.582363774024334e-23,,1.3658333458006382,0.23519366793334484,1.601027013733983,2.559997436424048,0.005006054881486544,-1199.9999999999932,1199.9999999999932,4517,1601,3201,2.1358884540805088e-06,2.9440969903622666e-05,2.1358884540881245e-06,2.944096990363683e-05,3.5672769537340488e-06,8.514092233909361e-06,2.5727586537622793e-06,3.7060084226109574e-05,2.2812862709997717e-12,3.7239500372265866e-10
COMPLETED,,oracle,all,1.6,0.065,False,0.351920647823667,0.0442049352581461,0.351920647823667,0.0442049352581461,0.0,0.0,0.0,-14.99999335625205,,0.2840610798037794,,7.160443961620331,0.2319976817816496,7.39244164340198,2.5599977728532535,0.005047457738033613,-1199.9999999999932,1199.9999999999932,4517,1601,3201,2.50850841504946e-06,3.4828328469034354e-05,2.5085084150502624e-06,3.482832846903954e-05,3.881967345966966e-06,1.0407632954950268e-05,3.032397322153076e-06,4.369248378403564e-05,3.1463720517876936e-12,5.210576414782508e-10
COMPLETED,,oracle,all,1.6,0.07,True,0.3559247173858385,0.0444157003676643,0.3559247173858385,0.0444157003676643,0.0,0.0,0.0,-14.99999335625205,,4.259897803414353,,7.177653337828815,0.23366074915975332,7.411314086988568,2.559998224996065,0.005056651558426476,-1199.9999999999932,1199.9999999999932,4517,1601,3201,2.9153892484860165e-06,4.0714472218759e-05,2.9153892484880414e-06,4.071447221877168e-05,4.21342264492007e-06,1.2574547493663216e-05,3.532344349366409e-06,5.088205342742271e-05,4.250155782870024e-12,7.117737510498046e-10
COMPLETED,,oracle,all,1.6,0.075,False,0.3597473303322884,0.0444438332205004,0.3597473303322884,0.0444438332205004,0.0,0.0,0.0,-14.99999335625205,,13.601467524088816,,7.1174834119156,0.23249625880271196,7.349979670718312,2.5599988967323513,0.005037224708212737,-1199.9999999999932,1199.9999999999932,4517,1601,3201,3.357300994322687e-06,4.7111099441855334e-05,3.3573009943309015e-06,4.711109944184974e-05,4.560016825404866e-06,1.5024897621903812e-05,4.07283108072588e-06,5.8630977887178736e-05,5.635603095299757e-12,9.52412371191258e-10
COMPLETED,,oracle,all,1.6,0.08,False,0.3633999906790227,0.0443109431210614,0.3633999906790227,0.0443109431210614,0.0,0.0,0.0,-14.99999335625205,,29.207714833410698,,7.245909203775227,0.23314747866243124,7.479056682437658,2.559999354301557,0.004992396066258798,-1199.9999999999932,1199.9999999999932,4517,1601,3201,3.834916667714985e-06,5.403063590055036e-05,3.834916667709228e-06,5.403063590055015e-05,4.921891746592996e-06,1.7770062113262173e-05,4.653979297783091e-06,6.69424773751678e-05,7.353451181302262e-12,1.2517317182769716e-09
COMPLETED,,oracle,all,1.6,0.085,False,0.3668935400338347,0.044035272272105,0.3668935400338347,0.044035272272105,0.0,0.0,0.0,-14.99999335625205,,52.02016676957195,,7.2855228912085295,0.23420495819300413,7.519727849401534,2.560000119129485,0.004925073989581093,-1199.9999999999932,1199.9999999999932,4517,1601,3201,4.3490017652164344e-06,6.148618737851522e-05,4.349001765217618e-06,6.148618737852253e-05,5.299330156904411e-06,2.0822228258245426e-05,5.275975805958324e-06,7.582081841345631e-05,9.456657679152158e-12,1.6194305896277683e-09
COMPLETED,,oracle,all,1.6,0.09,False,0.3702381148620184,0.0436323392511477,0.3702381148620184,0.0436323392511477,0.0,0.0,0.0,-14.99999335625205,,83.02309419082042,,6.64190830104053,0.2160802949219942,6.857988595962524,2.5600012241058394,0.004834242327904971,-1199.9999999999932,1199.9999999999932,4517,1601,3201,4.900388564768115e-06,6.949189135205055e-05,4.900388564774256e-06,6.949189135205555e-05,5.693544473039937e-06,2.4194742599838127e-05,5.939044255482188e-06,8.527188742401024e-05,1.2006506899808755e-11,2.066241622245002e-09
COMPLETED,,oracle,all,1.6,0.095,False,0.3734431471291369,0.0431154410476996,0.3734431471291369,0.0431154410476996,0.0,0.0,0.0,-14.99999335625205,,123.24354174366776,,7.442064627073705,0.2398179667070508,7.681882593780756,2.5600018645684806,0.004729274089751297,-1199.9999999999932,1199.9999999999932,4517,1601,3201,5.48979275982988e-06,7.806273110809629e-05,5.489792759829763e-06,7.806273110810755e-05,6.106085134602305e-06,2.790197902527556e-05,6.643306671889357e-06,9.530297134765515e-05,1.5068835068632325e-11,2.6039980172143373e-09
