stage,step,Mach,loss,riccati_kappa,riccati_q,log_amp_compatibility,boundary_kappa,boundary_q,spectral,modal_kappa,modal_q,modal_log_amp,spectral_global,physics
modal_frozen,1,1.0,0.009605003520846367,0.000285349931800738,0.00023623625747859478,0.00030732035520486534,0.00016877931193448603,0.0005859022494405508,0.0,0.0,0.0,0.0,,
modal_frozen,2,1.05,0.31357479095458984,0.000523987808264792,0.0006729647284373641,0.008389335125684738,0.004029062110930681,0.02301405370235443,0.0,0.0,0.0,0.0,,
modal_frozen,3,1.1,0.0554242767393589,0.00031326166936196387,0.0003015271504409611,0.003738902509212494,0.0006497438880614936,0.002961753634735942,0.0,0.0,0.0,0.0,,
modal_frozen,4,1.2,0.03867368400096893,0.00041381915798410773,0.00044052331941202283,0.0016632825136184692,0.0005505949957296252,0.0023996976669877768,0.0,0.0,0.0,0.0,,
modal_frozen,5,1.3,0.11379598081111908,0.000463681120891124,0.0006662326632067561,0.003069227561354637,0.002013297053053975,0.007718695793300867,0.0,0.0,0.0,0.0,,
modal_frozen,6,1.35,0.10324923694133759,0.0005765366367995739,0.0005818689242005348,0.003874518908560276,0.001324583892710507,0.0069472393952310085,0.0,0.0,0.0,0.0,,
modal_frozen,7,1.4,0.04566710442304611,0.00046350827324204147,0.00039417369407601655,0.002174978144466877,0.00019616278586909175,0.003197290236130357,0.0,0.0,0.0,0.0,,
modal_frozen,8,1.5,0.018910681828856468,0.00047293846728280187,0.0004228555771987885,0.001022124313749373,0.0001197847377625294,0.0011706419754773378,0.0,0.0,0.0,0.0,,
modal_frozen,9,1.6,0.04076894372701645,0.0006538870511576533,0.0006082218606024981,0.0015337038785219193,0.0006564046489074826,0.002527426928281784,0.0,0.0,0.0,0.0,,
modal_frozen,10,1.65,0.059967778623104095,0.0006536743603646755,0.000541393761523068,0.00198488705791533,0.0008050824981182814,0.004079745151102543,0.0,0.0,0.0,0.0,,
modal_frozen,11,1.7,0.05566226691007614,0.0006788481259718537,0.0004770579980686307,0.002057308331131935,0.000463799835415557,0.003958181943744421,0.0,0.0,0.0,0.0,,
modal_frozen,12,1.8,0.03279914706945419,0.0010288783814758062,0.0004877596511505544,0.0010063478257507086,8.136511314660311e-05,0.0025437118019908667,0.0,0.0,0.0,0.0,,
modal_frozen,13,1.9,0.022871267050504684,0.0010386855574324727,0.000651585403829813,0.0010733574163168669,0.00011623552563833073,0.0014651853125542402,0.0,0.0,0.0,0.0,,
modal_frozen,14,1.0,0.1565810889005661,0.0005361780058592558,0.0007094020256772637,0.0038698480930179358,0.0007544482941739261,0.012844178825616837,0.0,0.0,0.0,0.0,,
modal_frozen,15,1.05,0.070472851395607,0.0003727256553247571,0.00045057290117256343,0.0027114897966384888,0.00029388396069407463,0.0053153270855546,0.0,0.0,0.0,0.0,,
