article_label,filename,canonical_source,plot_script,source_data,sha256,notes
Fig. 1,Fig01_subsonic_isolines_blumen_vs_classical.png,assets/classic_subsonic/png/article/reference_comparison/Fig01_subsonic_isolines_blumen_vs_classical.png,scripts/figures/plot_Fig01_subsonic_isolines.py,assets/classic_subsonic/csv/data/Table_subsonic_hybrid_growth_map.csv,0fb019a71900de55a5a10aa265302af75529a92b2f2ec71fbbb0179cf6784af6,Blumen isolines and classical Riccati shooting reference
Fig. 2,Fig02_spectral_modal_architecture_subsonic.png,assets/complementary_audits/final_figures/Fig02_spectral_modal_architecture_subsonic.png,scripts/figures/plot_Fig02_spectral_modal_architecture.py,docs/EXPERIMENTS.md,bfc4c8be9bb8b60ad203ca5b341ea5eb82c3f6fbc12fc94a8ec2454b9ac957f7,Spectral-modal workflow and independent GEP selection
Fig. 3,Fig03_atlas_49_charts_Mach_alpha.png,assets/pinn_subsonic/png/article/N340/Fig_atlas_49_charts_Mach_alpha.png,scripts/figures/plot_Fig03_atlas_49_charts.py,assets/pinn_subsonic/csv/article/N340/Table_N340_training_plan_for_seams.csv,89d716161527ffbebde0540870c996742e68fbc0bc4961145d9116559a3e8ef8,Forty-nine locally continuous neural charts
Fig. 4,Fig04_fixed_Mach_four_anchor_vs_physics_only.png,assets/complementary_audits/final_figures/Fig04_fixed_Mach_four_anchor_vs_physics_only.png,scripts/figures/plot_Fig04_fixed_Mach_four_anchor.py,archive/repo_cleanup_2026-04-24/plot_presentation/subsonic_pinn/ci_supervision_vs_physics,8d0523efe4b1f399dd38c040296ee2f7214879d4b6f8227ff0fe5686cb8d8bd7,Four sparse scalar anchors versus physics-only baseline
Fig. 5,Fig05_anchor_budget_comparison.png,assets/complementary_audits/final_figures/Fig05_anchor_budget_comparison.png,scripts/figures/plot_Fig05_anchor_budget_comparison.py,assets/pinn_subsonic/csv/article/N340/Table_anchor_budget_comparison.csv,766dadc484f241402a81c14bccd45a196d010cde51f6ce0a034e9000087853c6,Anchor-budget comparison
Fig. 6,Fig06_atlas_routing_interface_consistency_N340.png,assets/complementary_audits/final_figures/Fig06_atlas_routing_interface_consistency_N340.png,scripts/figures/plot_Fig06_routing_interface_consistency.py,assets/pinn_subsonic/csv/article/N340/Table_atlas_overlap_consistency_N340.csv,a6e54ab7e573305fa2b9371aba293fa4a874097d52cd2c5e820e6d85bc5d611c,Deterministic routing-interface consistency
Fig. 7,Fig07_holdout_anchors_only_vs_physics_N340.png,assets/complementary_audits/final_figures/Fig07_holdout_anchors_only_vs_physics_N340.png,scripts/figures/plot_Fig07_holdout_anchors_vs_physics.py,assets/pinn_subsonic/csv/article_supplementary/N340/source_data/Table_Holdout384_pointwise_physics_vs_anchors_only.csv,9642018f0601969df585aecdd407b520ad09f916628be728fcb5046c73f0b58a,Holdout comparison of anchors-only and physics-constrained charts
Fig. 8,Fig08_representative_mode_M05_a05_N340.png,assets/complementary_audits/final_figures/Fig08_representative_mode_M05_a05_N340.png,scripts/figures/plot_Fig08_representative_mode.py,assets/pinn_subsonic/csv/article/N340/Table_Data_representative_mode_M05_a05_N340.csv,1cedcd7d8c5bfb8b9bc68d9bdd1c6e686ec9a2d00e517a922b2a987c2fac9360,Representative direct neural and selected GEP modes
Fig. 9,Fig09_near_neutral_growth_rate_cuts_N340.png,assets/complementary_audits/final_figures/Fig09_near_neutral_growth_rate_cuts_N340.png,scripts/figures/plot_Fig09_near_neutral_growth_rate_cuts.py,results/complementary_audits/curated/section4_results/Fig_near_neutral_growth_rate_cuts_N340_data.csv,2befc6e54fd63a5d1042484f2d91e2beebb2af00637ee033c12c97d49ddf9b74,Near-neutral growth-rate cuts
Fig. S1.1,FigS1_1_classical_subsonic_mode_four_fields_a0p500_M0p500.png,assets/classic_subsonic/png/modes/Fig_classical_subsonic_mode_four_fields_a0p500_M0p500.png,scripts/figures/plot_FigS1_1_classical_mode.py,classical_solver/subsonic,d7698062af4f8310a4a1431aaf757f2a0ee15594fe465b839ff37051039d7085,Classical pressure density and velocity eigenmode fields
Fig. S1.2,FigS1_2_subsonic_error_map_classical.png,assets/classic_subsonic/png/article/reference_comparison/FigS1_2_subsonic_error_map_classical.png,scripts/figures/plot_FigS1_2_classical_error_map.py,assets/classic_subsonic/csv/data/Table_subsonic_blumen_shooting_metrics_by_point.csv,26b93d6483ecfc20b6c4024f8333b8e00343d5dc93f5fd7e412bf3d0c77c15da,Pointwise Blumen versus classical-reference discrepancy
Fig. S1.3,FigS1_3_classical_subsonic_convergence.png,assets/classic_subsonic/png/article/convergence/figures/Fig_classical_subsonic_convergence.png,scripts/figures/plot_FigS1_3_classical_convergence.py,assets/classic_subsonic/csv/article/convergence/tables/Table_classical_subsonic_convergence.csv,f2c8346cf3f7df810dade409d29acc9c5fde753c586d5dbb22ac6f89623a7ebf,Classical box and resolution convergence
Fig. S3.1,FigS3_1_sparse_ci_anchor_map_Mach_alpha_N340.png,assets/pinn_subsonic/png/article/N340/Fig_sparse_ci_anchor_map_Mach_alpha_N340.png,scripts/figures/plot_FigS3_1_sparse_anchor_map.py,assets/pinn_subsonic/csv/anchor_budget_runs/N340/Table_anchors.csv,fb2b3f71e979650fb37422ea871a67f739548fdd6b314f17f5f5ffa4d17bb0df,Sparse scalar growth-rate anchor map
Fig. S4.1,FigS4_1_GEP_N_convergence.png,assets/complementary_audits/final_figures/FigS4_1_GEP_N_convergence.png,scripts/figures/plot_FigS4_1_GEP_convergence.py,assets/pinn_subsonic/csv/article/results_pinn/release_final/tables/Table_GEP_N_convergence.csv,dcff1e1b52b12b9e2f52e4bcbcd7fa02c98da685512b6a47d6f70e58518cb07a,Corrected GEP resolution-convergence figure
Fig. S5.1,FigS5_1_selected_GEP_error_heatmap_N340.png,assets/complementary_audits/final_figures/FigS5_1_selected_GEP_error_heatmap_N340.png,scripts/figures/plot_FigS5_1_selected_GEP_error_map.py,results/complementary_audits/curated/map_1000_ci_checks.csv,b09be31dc45cb8d8d3f1c9dc9fde7fcaf278ba398df892a48d84e52746459f4a,Selected GEP eigenvalue error map
Fig. S6.1,FigS6_1_direct_neural_vs_selected_GEP_modal_error_ecdf_20_N340.png,assets/complementary_audits/final_figures/FigS6_1_direct_neural_vs_selected_GEP_modal_error_ecdf_20_N340.png,scripts/figures/plot_FigS6_1_modal_error_ecdf.py,assets/pinn_subsonic/csv/article/N340/Table_paired_modal_validation_20_N340.csv,5f9ffeec84814d954276750cbfd3d0ca9bc425714b4c2251e2d8a36fa857d7b6,Direct neural versus selected GEP modal-error ECDF
Fig. S8.1,FigS8_1_near_neutral_error_scaling_N340.png,assets/complementary_audits/final_figures/FigS8_1_near_neutral_error_scaling_N340.png,scripts/figures/plot_FigS8_1_near_neutral_error_scaling.py,results/complementary_audits/curated/validation_pointwise_canonical.csv,dca8855e9bd31d82e0e31dc296586a43604e51498c1a4ab8f8195f4a6674c67c,Near-neutral error scaling
