task_index,role,Mach,alpha,reference_cr,reference_ci,reference_omega_i,audit_setting,audit_sweep,audit_level,cr,ci,omega_i,delta_kappa,delta_q,residual_norm,accepted,parameterization,settings_name,spectral_extent,matching_y,max_step,rtol,atol,optimizer_success,optimizer_status,optimizer_message,optimizer_nfev,objective_calls,integration_failures,active_lower_ci,active_upper_ci,ci_lower,ci_upper,seed_cr,seed_ci,error
50,near_neutral,1.9,0.215,0.51185864489249,0.0007752887358164,0.0001666870782005,box_L20,box,20.0,0.5118587391157019,0.0007751328579043549,0.00016665356444943628,-5.3897927787538435e-12,1.354913558193789e-11,1.4581801713630676e-11,True,linear_ci,box_L20,20.0,1.0,0.2,1e-11,1e-13,True,1,`gtol` termination condition is satisfied.,2,11,0,False,False,1e-12,0.07752887358164,0.51185864489249,0.0007752887358164,
50,near_neutral,1.9,0.215,0.51185864489249,0.0007752887358164,0.0001666870782005,box_L30,box,30.0,0.5118587391272684,0.0007751328570604949,0.0001666535642680064,-2.0661250488274163e-12,1.1762874122011116e-11,1.194295107281575e-11,True,linear_ci,box_L30,30.0,1.0,0.2,1e-11,1e-13,True,1,`gtol` termination condition is satisfied.,2,11,0,False,False,1e-12,0.07752887358164,0.51185864489249,0.0007752887358164,
50,near_neutral,1.9,0.215,0.51185864489249,0.0007752887358164,0.0001666870782005,strict_L40_y1,shared_reference,40.0,0.5118587392279147,0.0007751325941093612,0.00016665350773351266,-6.830772059096546e-12,1.0926319229812367e-11,1.288580221930717e-11,True,linear_ci,strict_L40_y1,40.0,1.0,0.125,1e-11,1e-13,True,1,`gtol` termination condition is satisfied.,2,11,0,False,False,1e-12,0.07752887358164,0.51185864489249,0.0007752887358164,
50,near_neutral,1.9,0.215,0.51185864489249,0.0007752887358164,0.0001666870782005,box_L50,box_reference,50.0,0.5118587392276037,0.0007751325923747577,0.0001666535073605729,-3.3230293516872678e-12,1.10416432941296e-11,1.1530846053389675e-11,True,linear_ci,box_L50,50.0,1.0,0.125,1e-11,1e-13,True,1,`gtol` termination condition is satisfied.,2,11,0,False,False,1e-12,0.07752887358164,0.51185864489249,0.0007752887358164,
50,near_neutral,1.9,0.215,0.51185864489249,0.0007752887358164,0.0001666870782005,accuracy_coarse,integration,0.5,0.51185864489249,0.0007752887358164,0.000166687078200526,-8.749626023707435e-12,4.816089700979652e-11,4.894923856755042e-11,True,linear_ci,accuracy_coarse,40.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,1,6,0,False,False,1e-12,0.07752887358164,0.51185864489249,0.0007752887358164,
50,near_neutral,1.9,0.215,0.51185864489249,0.0007752887358164,0.0001666870782005,accuracy_nominal,integration,0.25,0.5118587378969555,0.0007751331212298145,0.0001666536210644101,-5.053193974369208e-12,1.1263666106590964e-11,1.2345239710243268e-11,True,linear_ci,accuracy_nominal,40.0,1.0,0.25,1e-10,1e-12,True,1,`gtol` termination condition is satisfied.,2,11,0,False,False,1e-12,0.07752887358164,0.51185864489249,0.0007752887358164,
50,near_neutral,1.9,0.215,0.51185864489249,0.0007752887358164,0.0001666870782005,matching_y0p5,matching,0.5,0.51185864489249,0.0007752887358164,0.000166687078200526,-1.877336656790074e-09,1.7496091533029945e-09,2.566227798199013e-09,True,linear_ci,matching_y0p5,40.0,0.5,0.125,1e-11,1e-13,True,1,`gtol` termination condition is satisfied.,1,6,0,False,False,1e-12,0.07752887358164,0.51185864489249,0.0007752887358164,
50,near_neutral,1.9,0.215,0.51185864489249,0.0007752887358164,0.0001666870782005,matching_y1p5,matching,1.5,0.5118587392286783,0.0007751325938272968,0.0001666535076728688,-1.4588788510572215e-11,2.914780385370602e-11,3.2594895608059915e-11,True,linear_ci,matching_y1p5,40.0,1.5,0.125,1e-11,1e-13,True,1,`gtol` termination condition is satisfied.,2,11,0,False,False,1e-12,0.07752887358164,0.51185864489249,0.0007752887358164,
