====================================================================================================
PHASE 7 — INPUTS
====================================================================================================
seeded rows  = 401
generic rows = 401

====================================================================================================
PAIRING INTEGRITY
====================================================================================================
paired rows       = 401
max |delta Mach|  = 0.000e+00
max |delta alpha| = 0.000e+00
max |delta crref| = 0.000e+00
max |delta ciref| = 0.000e+00

====================================================================================================
PHASE 7 — CONDITION SUMMARY
====================================================================================================
condition   n  technical_success  target_recovery  target_error_median  target_error_p90  target_error_p95  target_error_p99  target_error_max  error_le_1e-5  error_le_1e-4
   SEEDED 401                401              400       3.64713869e-06    6.53293841e-06    8.11737120e-06    1.02388794e-05    9.77821595e-02            396            400
  GENERIC 401                401                1       4.52000431e-01    6.59997210e-01    7.61470914e-01    7.63493353e-01    7.87232530e-01              1              1

====================================================================================================
PHASE 7 — PAIRED DISCORDANCES
====================================================================================================
TARGET BRANCH
both recovered  = 1
seeded only     = 399
generic only    = 0
neither         = 1
exact paired p  = 1.5490367659397273e-120

TECHNICAL SUCCESS
both technical  = 401
seeded only     = 0
generic only    = 0
neither         = 0
exact paired p  = 1.0000000000000000e+00

====================================================================================================
PHASE 7 — PAIRED TARGET ERROR
====================================================================================================
generic - seeded median = 4.51997630e-01
generic - seeded mean   = 4.67984698e-01
generic - seeded p95    = 7.61463667e-01
seeded lower error      = 400
generic lower error     = 1
ties                    = 0

====================================================================================================
PHASE 7 — BY CHART
====================================================================================================
chart  n  seeded_technical  generic_technical  seeded_recovery  generic_recovery  seeded_only  generic_only  seeded_error_median  generic_error_median
  C00 28                28                 28               27                 0           27             0        2.9679643e-06         7.6146788e-01
  C01 41                41                 41               41                 1           40             0        4.2430366e-06         6.2339256e-01
  C02 62                62                 62               62                 0           62             0        3.4758406e-06         5.5404049e-01
  C10 25                25                 25               25                 0           25             0        3.9936405e-06         5.4287170e-01
  C11 33                33                 33               33                 0           33             0        3.3159411e-06         4.8008831e-01
  C12 34                34                 34               34                 0           34             0        3.3929923e-06         4.4119266e-01
  C20 25                25                 25               25                 0           25             0        4.0422751e-06         4.3161135e-01
  C21 32                32                 32               32                 0           32             0        3.4943377e-06         3.8650093e-01
  C22 22                22                 22               22                 0           22             0        3.8773094e-06         3.5924264e-01
  C30 39                39                 39               39                 0           39             0        3.7484679e-06         3.3800414e-01
  C31 48                48                 48               48                 0           48             0        3.5193762e-06         3.0374172e-01
  C32 12                12                 12               12                 0           12             0        3.5564028e-06         3.0432748e-01

====================================================================================================
PHASE 7 — FAILURES / DISCORDANCES
====================================================================================================
          Mach          alpha atlas_chart    cr_reference   ci_reference      seeded_cr      seeded_ci  seeded_technical   seeded_error  seeded_recovery     generic_cr     generic_ci  generic_technical  generic_error  generic_recovery
1.00000000e+00 5.50000000e-02         C00 -1.96366268e-07 3.13820286e-03 0.00000000e+00 3.13703803e-03              True 1.18126865e-06             True 7.61458333e-01 3.60434028e-05               True 7.61464849e-01             False
1.00000000e+00 6.50000000e-02         C00  5.31852360e-08 4.44998558e-03 0.00000000e+00 4.44861910e-03              True 1.36751786e-06             True 7.61458333e-01 6.35578704e-05               True 7.61470914e-01             False
1.00000000e+00 7.50000000e-02         C00 -9.54476248e-09 6.03349238e-03 0.00000000e+00 6.03419233e-03              True 7.00022021e-07             True 7.61458333e-01 3.82395833e-05               True 7.61481944e-01             False
1.00000000e+00 8.50000000e-02         C00 -3.25828931e-09 7.91824526e-03 0.00000000e+00 7.91807368e-03              True 1.71604875e-07             True 7.61458333e-01 1.00000000e-06               True 7.61499495e-01             False
1.00000000e+00 9.50000000e-02         C00  8.09297598e-10 1.01433176e-02 0.00000000e+00 1.01449337e-02              True 1.61607943e-06             True 7.61458333e-01 5.66857639e-05               True 7.61525136e-01             False
1.00000000e+00 1.10000000e-01         C00  4.63594325e-11 1.42365020e-02 0.00000000e+00 1.42367117e-02              True 2.09687718e-07             True 7.61458333e-01 3.13674769e-05               True 7.61590821e-01             False
1.00000000e+00 1.25000000e-01         C00 -2.48791026e-11 1.94746296e-02 0.00000000e+00 1.94761820e-02              True 1.55244542e-06             True 7.61458333e-01 1.00000000e-06               True 7.61707303e-01             False
1.00000000e+00 1.40000000e-01         C01 -1.38246535e-11 2.62960530e-02 0.00000000e+00 2.62973283e-02              True 1.27528693e-06             True 7.61458333e-01 1.01102431e-05               True 7.61911901e-01             False
1.00000000e+00 1.50000000e-01         C01 -8.40564579e-11 3.21062950e-02 0.00000000e+00 3.21068319e-02              True 5.36915211e-07             True 7.61458333e-01 3.60434028e-05               True 7.62133384e-01             False
1.00000000e+00 1.60000000e-01         C01 -8.87793506e-11 3.94369303e-02 0.00000000e+00 3.94411687e-02              True 4.23843010e-06             True 7.61458333e-01 1.97673611e-05               True 7.62477873e-01             False
1.00000000e+00 1.65000000e-01         C01 -1.57197012e-10 4.39306948e-02 0.00000000e+00 4.39253269e-02              True 5.36794144e-06             True 7.61458333e-01 1.21718750e-05               True 7.62723823e-01             False
1.00000000e+00 1.75000000e-01         C01 -7.09040491e-11 5.57083229e-02 0.00000000e+00 5.57141606e-02              True 5.83770207e-06             True 7.61458333e-01 1.00000000e-06               True 7.63493353e-01             False
1.00000000e+00 1.95000000e-01         C01  3.82070566e-02 9.78340055e-02 3.82092500e-02 9.78292091e-02              True 5.27412239e-06             True 7.61458333e-01 1.77057292e-05               True 7.29835898e-01             False
1.00000000e+00 2.05000000e-01         C01  5.99798118e-02 9.15107939e-02 5.99752965e-02 9.15111000e-02              True 4.52564383e-06             True 7.61458333e-01 1.01102431e-05               True 7.07421014e-01             False
1.00000000e+00 2.15000000e-01         C01  7.52967720e-02 8.52583958e-02 7.52903499e-02 8.52550081e-02              True 7.26088694e-06             True 7.61458333e-01 1.00000000e-06               True 6.91438003e-01             False
1.00000000e+00 2.25000000e-01         C02  8.76278287e-02 7.90732280e-02 8.76348316e-02 7.90705083e-02              True 7.51252145e-06             True 7.61458333e-01 3.39817708e-05               True 6.78450257e-01             False
1.00000000e+00 2.30000000e-01         C02  9.30610600e-02 7.60047900e-02 9.30596881e-02 7.60075766e-02              True 3.10600392e-06             True 7.61458333e-01 1.00000000e-06               True 6.72704609e-01             False
1.00000000e+00 2.35000000e-01         C02  9.81188973e-02 7.29519046e-02 9.81206903e-02 7.29502100e-02              True 2.46703629e-06             True 7.61458333e-01 1.00000000e-06               True 6.67338776e-01             False
1.00000000e+00 2.40000000e-01         C02  1.02858244e-01 6.99141773e-02 1.02858519e-01 6.99125194e-02              True 1.68057340e-06             True 7.61718750e-01 2.53356964e-05               True 6.62556878e-01             False
1.00000000e+00 2.45000000e-01         C02  1.07322717e-01 6.68912243e-02 1.07317724e-01 6.68912544e-02              True 4.99234736e-06             True 7.61458333e-01 1.00000000e-06               True 6.57546734e-01             False
1.00000000e+00 2.60000000e-01         C02  1.19378458e-01 5.79073250e-02 1.19380006e-01 5.79087280e-02              True 2.08853914e-06             True 7.61458333e-01 3.82395833e-05               True 6.44682400e-01             False
1.00000000e+00 2.65000000e-01         C02  1.23027829e-01 5.49398320e-02 1.23021534e-01 5.49398583e-02              True 6.29441232e-06             True 7.61458333e-01 3.39817708e-05               True 6.40787142e-01             False
1.00000000e+00 2.70000000e-01         C02  1.26521695e-01 5.19853418e-02 1.26517222e-01 5.19836096e-02              True 4.79699750e-06             True 7.61458333e-01 1.77057292e-05               True 6.37059785e-01             False
1.00000000e+00 2.75000000e-01         C02  1.29873631e-01 4.90435281e-02 1.29870932e-01 4.90477650e-02              True 5.02304230e-06             True 7.61458333e-01 1.00000000e-06               True 6.33485916e-01             False
1.00000000e+00 2.80000000e-01         C02  1.33095330e-01 4.61140721e-02 1.33097926e-01 4.61179830e-02              True 4.69422796e-06             True 7.61458333e-01 3.60434028e-05               True 6.30050195e-01             False
1.00000000e+00 2.90000000e-01         C02  1.39187459e-01 4.02910000e-02 1.39182779e-01 4.02889013e-02              True 5.12930530e-06             True 7.61458333e-01 1.97673611e-05               True 6.23572621e-01             False
1.00000000e+00 3.05000000e-01         C02  1.47566561e-01 3.16415688e-02 1.47565986e-01 3.16415246e-02              True 5.77135060e-07             True 7.61458333e-01 1.00000000e-06               True 6.14706624e-01             False
1.00000000e+00 3.20000000e-01         C02  1.55182769e-01 2.30876655e-02 1.55184094e-01 2.30854047e-02              True 2.62026506e-06             True 7.61718750e-01 1.00000000e-06               True 6.06975197e-01             False
1.00000000e+00 3.35000000e-01         C02  1.62161965e-01 1.46222732e-02 1.62161887e-01 1.46235527e-02              True 1.28183717e-06             True 7.61718750e-01 1.26012008e-05               True 5.99734759e-01             False
1.00000000e+00 3.50000000e-01         C02  1.68599968e-01 6.23888367e-03 1.68601444e-01 6.23879569e-03              True 1.47933410e-06             True 7.61718750e-01 7.32655768e-06               True 5.93151517e-01             False
1.05000000e+00 5.00000000e-02         C00  3.96233043e-10 2.16720758e-02 0.00000000e+00 2.16699213e-02              True 2.15455097e-06             True 7.61458333e-01 6.35578704e-05               True 7.61764872e-01             False
1.05000000e+00 6.00000000e-02         C00  4.81892044e-10 2.68503829e-02 0.00000000e+00 2.68510949e-02              True 7.11959895e-07             True 7.61458333e-01 3.82395833e-05               True 7.61930235e-01             False
1.05000000e+00 7.00000000e-02         C00  4.74377901e-10 3.25278215e-02 0.00000000e+00 3.25318800e-02              True 4.05846049e-06             True 7.61458333e-01 1.00000000e-06               True 7.62152732e-01             False
1.05000000e+00 7.50000000e-02         C00  3.85361655e-10 3.56029301e-02 0.00000000e+00 3.56016989e-02              True 1.23122937e-06             True 7.61458333e-01 5.66857639e-05               True 7.62287563e-01             False
1.05000000e+00 8.50000000e-02         C00  2.22336678e-10 4.23637177e-02 0.00000000e+00 4.23650589e-02              True 1.34118881e-06             True 7.61458333e-01 1.01102431e-05               True 7.62635313e-01             False
1.05000000e+00 1.00000000e-01         C00  3.01781521e-10 5.46998175e-02 0.00000000e+00 5.47027026e-02              True 2.88508403e-06             True 7.61458333e-01 1.17811343e-04               True 7.63412070e-01             False
1.05000000e+00 1.15000000e-01         C00  1.21001384e-10 7.19056899e-02 0.00000000e+00 7.19143441e-02              True 8.65419971e-06             True 7.61458333e-01 6.35578704e-05               True 7.64839908e-01             False
1.05000000e+00 1.20000000e-01         C01  6.80304145e-10 7.98199008e-02 0.00000000e+00 7.98229956e-02              True 3.09480797e-06             True 7.61458333e-01 1.97673611e-05               True 7.65628404e-01             False
1.05000000e+00 1.30000000e-01         C01  5.56138077e-10 1.05732099e-01 0.00000000e+00 1.05732451e-01              True 3.52046838e-07             True 7.61458333e-01 3.82395833e-05               True 7.68758730e-01             False
