step,ci_anchor_loss
1,0.0029391557727271385
100,3.7855078913443303e-06
200,1.6869145585209926e-07
300,1.0692959727938956e-09
400,7.596732353312411e-13
500,1.14369457476417e-17
600,5.778202142008541e-22
700,1.358092421540232e-26
800,1.5654097140408035e-29
900,1.5156073448981151e-29
1000,1.22029860800945e-29
1100,1.0833757836743963e-29
1200,9.630900939316417e-30
1300,8.086061499015252e-30
1400,7.348486267267813e-30
1500,6.39680673500031e-30
1600,5.454273562594403e-30
1700,4.869368246272854e-30
1800,4.88462451854675e-30
1900,3.634179198425492e-30
2000,3.2547642786554494e-30
2100,3.1256808492557764e-30
2200,2.7088988496719426e-30
2300,2.405939101113788e-30
2400,2.422150944443793e-30
2500,2.3273655330176707e-30
2600,2.467587519959818e-30
2700,1.476448324978051e-30
2800,1.2530034182544892e-30
2900,3.862918751191645e-30
3000,1.4549457679626394e-30
