epoch,ci_anchor_loss,weighted_loss,ci_lr,grad_norm
1,1.518630255522678e-30,1.518630255522678e-27,0.0001999999994791042,1.2620704069073644e-12
100,6.333584885631188e-11,6.333584885631187e-08,0.00019999479108972365,0.013171553799853042
200,1.5659464152078498e-16,1.5659464152078498e-13,0.00019997916493011032,1.6194968795154306e-05
300,2.993031571721477e-19,2.993031571721477e-16,0.0001999531232347445,9.22476999346842e-07
400,8.607287085819302e-24,8.607287085819302e-21,0.00019991666885939155,4.9307541164354756e-09
500,2.0079801546141645e-27,2.0079801546141645e-24,0.0001998698058016845,4.634819733884927e-11
600,2.577128957545917e-27,2.577128957545917e-24,0.00019981253920068581,7.689988909360458e-11
700,3.3762819904961884e-10,3.3762819904961884e-07,0.00019974487533632352,0.036531841166368
800,2.638234769858678e-13,2.638234769858678e-10,0.0001996668216287029,0.0010216093115266596
900,4.3512764442754804e-18,4.351276444275481e-15,0.0001995783866372926,4.151319944379153e-06
1000,4.455287468624034e-22,4.455287468624034e-19,0.00019947958005998598,4.199068725592243e-08
1100,1.9334519459072077e-18,1.9334519459072077e-15,0.00019937041273203766,2.7660329085720507e-06
1200,8.001768064778324e-11,8.001768064778324e-08,0.0001992508966248754,0.017492730220596765
1300,2.1722627284400397e-14,2.1722627284400396e-11,0.00019912104484478716,0.0002883559099942225
1400,9.619614351846271e-20,9.619614351846271e-17,0.00019898087163148392,6.065008125180097e-07
1500,4.3551262613556415e-26,4.3551262613556417e-23,0.00019883039235653812,3.8553622444729485e-10
1600,6.880745167142106e-24,6.880745167142105e-21,0.00019866962352169798,5.13634082843923e-09
1700,4.279280998552026e-09,4.279280998552026e-06,0.00019849858275707797,0.11163878327847471
1800,6.739060497359001e-14,6.739060497359002e-11,0.00019831728881922545,0.0004379157481732954
1900,2.601919078882919e-18,2.601919078882919e-15,0.0001981257615890636,2.7279975756529148e-06
2000,1.4006759931921865e-22,1.4006759931921866e-19,0.00019792402206971155,2.0024833630070492e-08
2100,1.6736502398093402e-26,1.6736502398093403e-23,0.00019771209238418101,2.1585727202769532e-10
2200,1.4855089992436266e-07,0.00014855089992436266,0.00019748999577295025,0.659407159710872
