point_id,Mach,alpha,cr,ci,omega_i,validation_status,has_exported_modal_fields,reference_tier,spectral_ok,modal_ok,pinning_use,best_status,best_stage1_mismatch,best_stage2_mismatch,trusted_spectral,trusted_modal,valid_spectral_candidate,valid_modal_candidate,decision,source_kind,source_short,source,modal_fields_file,modes_pdf,blumen_ci_overlay_pdf,validation_note,reference_role,selected_setting,cr_range,ci_range,max_stage1,max_edge_frac,max_center_jump,max_modal_rel_l2,max_core_rel_l2_amp_ge_5pct,max_tail_rel_l2_amp_0p1pct_to_2pct,note,stage1_mismatch,cr_box_min,cr_box_max,ci_box_min,ci_box_max,status,exception,ln_p_start_right_exact_600,stage2_mismatch_exact_600,y_limit_600,amplitude_status_600,ln_p_start_right_exact_1200,stage2_mismatch_exact_1200,y_limit_1200,amplitude_status_1200,p_edge_frac,p_center_jump,p_adjacent_jump,p_left_right_energy_ratio,rho_edge_frac,rho_center_jump,rho_adjacent_jump,rho_left_right_energy_ratio,u_edge_frac,u_center_jump,u_adjacent_jump,u_left_right_energy_ratio,v_edge_frac,v_center_jump,v_adjacent_jump,v_left_right_energy_ratio,all_finite,max_adjacent_jump,max_left_right_energy_ratio,p_ylimit_rel_l2,rho_ylimit_rel_l2,u_ylimit_rel_l2,v_ylimit_rel_l2,max_ylimit_rel_l2,reject_reasons,campaign_target_status,source_file,touches_ci_upper_0p12,touches_cr_lower_0,boundary_flag
,1.2,0.075,0.125256,0.12,0.009,validated_visual_smallM_strict_boundary_flag,,,,,,,,,,,,,,,,smallM_low_high_alpha_campaign_mapping5_visual_review,,,,,smallM_low_high_alpha_campaign,mapping_scale_5_y1600,,,,4.775173414775213e-05,0.0213677182681994,,,,"Small-M campaign point visually accepted. Tail oscillations may be imperfect, consistent with legacy modes. Boundary-flagged points hit ci=0.12 or cr=0 in initial scan and should be rescanned later.",0.0005101194312908,0.0,0.25,0.05,0.12,strict_auto_validated,,-10.80232668600934,4.5328607226364015e-18,600.0,exact_log_amplitude_match,-11.10442713433464,4.902293936548567e-18,631.1633860002788,exact_log_amplitude_match,4.581247765345113e-05,7.859480646306175e-05,0.0298643371707142,1.5689950510718371,4.581247765345112e-05,7.859480646310547e-05,0.0298643371707142,1.5689950510718371,4.039966167758694e-06,0.0213677182681994,0.0213496950881569,1.1112461786184995,4.775173414775213e-05,0.0049455924715726,0.031128503894994,2.7777074460879376,1.0,0.031128503894994,2.7777074460879376,0.0001270403029101,0.0001270403029101,2.57152002556698e-05,0.0001624340876761,0.0001624340876761,,strict_auto_validated,assets/classic_supersonic/campaign_smallM_low_high_alpha_scan/point_results/M1.20_alpha0.07500_candidates.csv,1.0,0.0,1.0
,1.2,0.1,0.162244,0.1148759999999999,0.0114876,validated_visual_smallM_strict,,,,,,,,,,,,,,,,smallM_low_high_alpha_campaign_mapping5_visual_review,,,,,smallM_low_high_alpha_campaign,mapping_scale_5_y1600,,,,0.0001173080553044,0.0035379732956123,,,,"Small-M campaign point visually accepted. Tail oscillations may be imperfect, consistent with legacy modes. Boundary-flagged points hit ci=0.12 or cr=0 in initial scan and should be rescanned later.",8.059247739766981e-06,0.0,0.25,0.05,0.12,strict_auto_validated,,-14.278859238397576,7.192087587285135e-18,510.8104039545986,exact_log_amplitude_match,-14.278859238397576,7.192087587285135e-18,510.8104039545986,exact_log_amplitude_match,0.0001115746474584,1.3654616764827715e-05,0.0277986003954265,1.838726063620624,0.0001115746474584,1.3654616764925582e-05,0.0277986003954265,1.8387260636206235,1.261626923034929e-05,0.0004657434162933,0.003143318260954,1.1307645354266114,0.0001173080553044,0.0035379732956123,0.0292270675001422,3.610430017480498,1.0,0.0292270675001422,3.610430017480498,7.998151047176995e-17,9.702690965040735e-17,8.854532734109199e-17,1.111764085935795e-16,1.111764085935795e-16,,strict_auto_validated,assets/classic_supersonic/campaign_smallM_low_high_alpha_scan/point_results/M1.20_alpha0.10000_candidates.csv,0.0,0.0,0.0
,1.2,0.125,0.188716,0.10194448,0.01274306,validated_visual_smallM_strict,,,,,,,,,,,,,,,,smallM_low_high_alpha_campaign_mapping5_visual_review,,,,,smallM_low_high_alpha_campaign,mapping_scale_5_y1600,,,,0.0001102800703886,0.0031669724861571,,,,"Small-M campaign point visually accepted. Tail oscillations may be imperfect, consistent with legacy modes. Boundary-flagged points hit ci=0.12 or cr=0 in initial scan and should be rescanned later.",3.6757903651274426e-06,0.0,0.25,0.05,0.12,strict_auto_validated,,-18.240541161897426,1.0911255970963712e-17,469.5081026707277,exact_log_amplitude_match,-18.240541161897426,1.0911255970963712e-17,469.5081026707277,exact_log_amplitude_match,0.0001044316060785,2.0118665841605182e-05,0.0304739582347957,2.1672049433650296,0.0001044316060785,2.011866584193729e-05,0.0304739582347958,2.16720494336503,1.4320015146600117e-05,0.0007314027985283,0.0041786922550155,1.2116231692879762,0.0001102800703886,0.0031669724861571,0.0321805857953378,4.658850919740868,1.0,0.0321805857953378,4.658850919740868,8.567505320865172e-17,6.34352260065408e-17,7.571308856205109e-17,4.4748135134548784e-17,8.567505320865172e-17,,strict_auto_validated,assets/classic_supersonic/campaign_smallM_low_high_alpha_scan/point_results/M1.20_alpha0.12500_candidates.csv,0.0,0.0,0.0
M1.20_a0.150000,1.2,0.15,0.209251477505801,0.0890539934231143,0.0133580990134671,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,2.732693095535446e-06,1.1680993728282036e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1.20_a0.175000,1.2,0.175,0.2259107392431602,0.0762428518157576,0.0133424990677575,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,2.48514172215903e-06,1.0773235011332662e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1.20_a0.187500,1.2,0.1875,0.2331694872807306,0.0698658844864319,0.0130998533412059,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,1.1222729728655301e-07,5.0165079385983805e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1.20_a0.200000,1.2,0.2,0.2398365204931603,0.0634987111907576,0.0126997422381515,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,8.439710203642677e-07,1.359169398096911e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1.20_a0.208333,1.2,0.208333,0.2439966767431603,0.0592701955657576,0.0123479376528009,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,1.5053414891389662e-06,1.7729387245876382e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1.20_a0.216667,1.2,0.216667,0.2479483075702228,0.055042805686539,0.0119259595796853,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,3.013401433885299e-06,6.794823364852447e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.2,0.225,0.2516039999999999,0.05082992,0.011436732,validated_visual_smallM_strict,,,,,,,,,,,,,,,,smallM_low_high_alpha_campaign_mapping5_visual_review,,,,,smallM_low_high_alpha_campaign,mapping_scale_5_y1600,,,,0.000123206194369,0.0038856300509105,,,,"Small-M campaign point visually accepted. Tail oscillations may be imperfect, consistent with legacy modes. Boundary-flagged points hit ci=0.12 or cr=0 in initial scan and should be rescanned later.",4.49037633196465e-05,0.2,0.45,0.05,0.12,strict_auto_validated,,-51.20396714334747,7.864379679086033e-17,544.2946658675845,exact_log_amplitude_match,-51.20396714334747,7.864379679086033e-17,544.2946658675845,exact_log_amplitude_match,0.0001169461900291,5.075624619908175e-05,0.0783198923200291,4.718595270756342,0.0001169461900291,5.0756246198953504e-05,0.0783198923200291,4.718595270756343,2.526049906595793e-05,0.0008846206235646,0.0169171784587642,1.9337409795282663,0.000123206194369,0.0038856300509105,0.0825122722979479,10.583154432689032,1.0,0.0825122722979479,10.583154432689032,9.021880152342032e-17,8.522507813361813e-17,1.1181506031056568e-16,5.3503976804899785e-17,1.1181506031056568e-16,,strict_auto_validated,assets/classic_supersonic/campaign_smallM_low_high_alpha_scan/point_results/M1.20_alpha0.22500_candidates.csv,0.0,0.0,0.0
