blumen_level_omega_i,n_digitized_points,n_finite_omega_errors,mean_abs_error_omega_i,max_abs_error_omega_i,max_error_Mach,max_error_alpha,mean_geometric_distance_M_alpha,max_geometric_distance_M_alpha,max_distance_Mach,max_distance_alpha
0.0,74,68,0.00765565795093552,0.015834949112182046,0.938399698808522,0.3412174632000117,0.002593147542920348,0.008781094431844938,1.0044071400097443,0.0938381243448345
0.05,104,104,0.0017263520124810511,0.00645826161235713,0.3991894405811225,0.057842789859887,0.003044916504739485,0.016557051732249896,0.8950148381095806,0.1689698956164826
0.1,97,96,0.0009768085374384447,0.0041605191441417,0.3242348407671525,0.7573636887097488,0.0025194987405800628,0.009426395066069857,0.6959627054081587,0.3996176049371778
0.15,48,48,0.0011394624524509033,0.0034536554559642385,0.3329383886255924,0.596410801553203,0.004181710268245791,0.011697191484856156,0.3329383886255924,0.596410801553203
0.175,28,28,0.0008497762839586934,0.0020235091942021888,0.2129268724808433,0.5010851751782787,0.005496471089462516,0.015679300037414173,0.2129268724808433,0.5010851751782787
