blumen_level_omega_i,Mach,alpha,shooting_omega_i,abs_error_omega_i,geometric_distance_M_alpha,distance_reference,blumen_source_csv
0.0,0.003864552420605,0.9999704714237204,1.7776975383196944e-05,1.7776975383196944e-05,2.2061000949258336e-05,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.0173406564202507,0.9980031300290856,0.0011939868375079373,0.0011939868375079373,0.0018462313285907417,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.0346702396243965,0.9960210243463112,0.002358182447621471,0.002358182447621471,0.0033757445980515666,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.0597067812375426,0.9940093900872568,0.0035048011638534257,0.0035048011638534257,0.004199032282360182,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.0789631040439385,0.9920199022604124,0.004578620562119709,0.004578620562119709,0.004842395255398757,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.0962926872480843,0.990037796577638,0.005558597680476212,0.005558597680476212,0.0052904342121957715,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.107830978429375,0.986162170940928,0.007575629974126153,0.007575629974126153,0.007960007205374597,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.1270873012357709,0.9841726831140836,0.008387157708534643,0.008387157708534643,0.007655779316790734,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.1482814368605217,0.9840914795293144,0.008040109112091545,0.008040109112091545,0.004799806772719739,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.1714023120875226,0.9840028938004752,0.007515104222743683,0.007515104222743683,0.001180472959875556,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.1867940824733135,0.9801125038756257,0.008871178461185712,0.008871178461185712,0.0022462480649870775,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.2041236656774593,0.9781303981928512,0.009171501470396411,0.009171501470396411,0.000797544659487559,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.2252845816538956,0.9723021954496464,0.01044389857591782,0.01044389857591782,0.0019395298844998576,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.2445409044602914,0.970312707622802,0.009950321795960547,0.009950321795960547,0.0006532888711008322,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.2676064136067679,0.9606457899632368,0.011215508975271161,0.011215508975271161,0.002777092933797576,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.2849249235948089,0.9567480178943172,0.010551210459564704,0.010551210459564704,0.0017270003499982867,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.3060747663551402,0.9490041487649672,0.009357379105934389,0.009357379105934389,0.0028587677904028386,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.3272246091154716,0.9412602796356172,0.007227244358163208,0.007227244358163208,0.00348263495787815,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.3406896398990122,0.9373772718548374,0.0052947608620537885,0.0052947608620537885,0.002630669949924447,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.3656929618638437,0.9296186384373476,0.003345979043249529,0.003345979043249529,0.0010394625978168426,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.3887695442264252,0.9218673871639278,0.005586236625889427,0.005586236625889427,0.0004904987227360991,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.4079815741684014,0.9122152337925026,0.008083686700363987,0.008083686700363987,0.0007074514317456648,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.4214466049519422,0.9083322260117228,0.008206098799917447,0.008206098799917447,0.0013414370917295138,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.446416707268459,0.8948265934357974,0.009689083901517744,0.009689083901517744,1.2544233767286528e-06,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.4694600699827258,0.881328343003942,0.008769475742467878,0.008769475742467878,0.0014348266185827407,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.4944412455153475,0.8697383768141618,0.0053750987045227214,0.0053750987045227214,0.0004583896245267116,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.5078841298666785,0.8620240362610916,0.004819925116230582,0.004819925116230582,0.000515731241791606,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.5270740133764451,0.848540550117376,0.0077438292229759466,0.0077438292229759466,0.0010865499102277187,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.5386123045577357,0.8446649244806661,0.007618143019167191,0.007618143019167191,0.0017794414285632332,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.552044115692962,0.8350349175414506,0.008734656043239353,0.008734656043239353,0.0010174919474092992,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.567402666430438,0.8253975284581654,0.009072842847618631,0.009072842847618631,0.0016121334414929134,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.5904349559285998,0.8099836116401646,0.008289043456051786,0.008289043456051786,0.002340704704768992,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.6038667670638261,0.8003536047009493,0.0065291669874228495,0.0065291669874228495,0.002607084017423267,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
0.0,0.6172875049829473,0.7888079313755887,0.004222710670211302,0.004222710670211302,0.0016295804383512635,analytic neutral boundary M^2 + alpha^2 = 1,KH_RT_Blumen/subsonic/0.00.csv
