method,n_runs,mae_mean,mae_std,median_abs_mean,p95_abs_mean,max_abs_mean,monotonicity_violations_mean
monotone,3,0.006972644106011917,0.0018042023224113862,0.004304837781623744,0.02304931453270535,0.02378086201133621,0.0
no_monotone,3,0.007103614528524762,0.0019616762886044085,0.004445855723048435,0.023233760394726286,0.023976205678002876,0.0
