task_index,role,Mach,alpha,modal_setting,spectral_cr,spectral_ci,cr,ci,omega_i,matching_y,numerical_extent,modal_dy,tail_tolerance,analytic_tail_points,gamma_left_real,gamma_left_imag,gamma_right_real,gamma_right_imag,mu_left,mu_right,far_left,far_right,left_distance,right_distance,left_interface_amplitude,right_interface_amplitude,left_far_amplitude,right_far_amplitude,delta_kappa_at_match,delta_q_at_match,gamma_mismatch_at_match,right_log_amplitude_shift,n_coordinates,timestamp,modal_success,error
0,low_alpha,1.1,0.09,modal_coarse,1.812993186489701e-09,0.1849919122211095,1.812993186489701e-09,0.1849919122211095,0.0166492720998998,1.0,40.0,0.05,1e-06,300,0.035420558494177,-0.0511879488084386,-0.0354205587321909,-0.0511879482788666,0.035420558494177,0.0354205587321909,-390.8019862287367,390.8019836272834,350.80198622873667,350.8019836272834,0.2490981496517643,0.2490981474972667,1.0000000000000004e-06,1.0000000000000004e-06,1.3925674745285386e-09,-5.594504928763121e-10,1.5007428244353996e-09,-8.649191363119257e-09,2201,2026-07-24T08:33:27.193199+00:00,True,
0,low_alpha,1.1,0.09,modal_nominal,1.812993186489701e-09,0.1849919122211095,1.812993186489701e-09,0.1849919122211095,0.0166492720998998,1.0,40.0,0.025,1e-06,300,0.035420558494177,-0.0511879488084386,-0.0354205587321909,-0.0511879482788666,0.035420558494177,0.0354205587321909,-390.8019862287168,390.80198362716976,350.8019862287168,350.80198362716976,0.2490981496515889,0.2490981474962644,1.0000000000000004e-06,1.0000000000000004e-06,1.393985097492001e-09,-6.056183159131033e-10,1.5198578869747022e-09,-8.652510929962887e-09,3801,2026-07-24T08:33:27.315676+00:00,True,
0,low_alpha,1.1,0.09,modal_strict,1.812993186489701e-09,0.1849919122211095,1.812993186489701e-09,0.1849919122211095,0.0166492720998998,1.0,50.0,0.0125,1e-06,300,0.035420558494177,-0.0511879488084386,-0.0354205587321909,-0.0511879482788666,0.035420558494177,0.0354205587321909,-390.801986228717,390.8019836271603,340.801986228717,340.8019836271603,0.1747998157508318,0.1747998138222666,1.0000000000000004e-06,1.0000000000000004e-06,1.3940811005586082e-09,-6.100603737457798e-10,1.5217213196080095e-09,-1.1032993851856077e-08,8601,2026-07-24T08:33:27.603645+00:00,True,
1,peak_growth,1.1,0.17,modal_coarse,0.1506987370978195,0.0986505663220147,0.1506987370978195,0.0986505663220147,0.0167705962747425,1.0,40.0,0.05,1e-06,300,0.0296363395706001,-0.1339429531715464,-0.074568647285021,-0.0392905674277486,0.0296363395706001,0.074568647285021,-466.6193305114377,186.21197821259776,426.6193305114377,146.21197821259776,0.3097235320417456,0.0543298692080069,1.0000000000000004e-06,1.0000000000000004e-06,1.2182570230390155e-10,-2.1390746812732783e-11,1.2368939239500402e-10,-1.7406059142386725,2201,2026-07-24T08:33:27.975342+00:00,True,
1,peak_growth,1.1,0.17,modal_nominal,0.1506987370978195,0.0986505663220147,0.1506987370978195,0.0986505663220147,0.0167705962747425,1.0,40.0,0.025,1e-06,300,0.0296363395706001,-0.1339429531715464,-0.074568647285021,-0.0392905674277486,0.0296363395706001,0.074568647285021,-466.6193153263638,186.21197217682524,426.6193153263638,146.21197217682524,0.3097233926568941,0.0543298447552579,1.0000000000000004e-06,1.0000000000000004e-06,-3.40348166316673e-11,-3.722604863254375e-11,5.043954242401223e-11,-1.740605914288059,3801,2026-07-24T08:33:28.105543+00:00,True,
1,peak_growth,1.1,0.17,modal_strict,0.1506987370978195,0.0986505663220147,0.1506987370978195,0.0986505663220147,0.0167705962747425,1.0,50.0,0.0125,1e-06,300,0.0296363395706001,-0.1339429531715464,-0.074568647285021,-0.0392905674277486,0.0296363395706001,0.074568647285021,-466.61931525248593,186.21197214743972,416.61931525248593,136.21197214743975,0.2302846654518591,0.0257745411620289,1.0000000000000004e-06,1.0000000000000004e-06,-3.861528458104502e-11,-4.2540394817880405e-11,5.7452810153518504e-11,-2.1899289914340327,8601,2026-07-24T08:33:28.405437+00:00,True,
2,near_neutral,1.1,0.345,modal_coarse,0.2361170519934644,0.0011771302915469,0.2361170519934644,0.0011771302915469,0.0004061099505836,1.0,40.0,0.05,1e-06,300,0.0006592793487069,-0.3178617144770669,-0.1870491696918931,-0.0006923395268545,0.0006592793487069,0.1870491696918931,-20926.49163262385,74.83089513544898,20886.49163262385,34.83089513544898,0.955540664715478,0.000675254741648,1.0000000000000004e-06,1.0000000000000004e-06,-1.2712599771480537e-07,8.082415485640652e-09,1.273826704660694e-07,-7.25494258561767,2201,2026-07-24T08:33:41.050340+00:00,True,
2,near_neutral,1.1,0.345,modal_nominal,0.2361170519934644,0.0011771302915469,0.2361170519934644,0.0011771302915469,0.0004061099505836,1.0,40.0,0.025,1e-06,300,0.0006592793487069,-0.3178617144770669,-0.1870491696918931,-0.0006923395268545,0.0006592793487069,0.1870491696918931,-20926.4916242492,74.83089530655354,20886.4916242492,34.83089530655355,0.9555406594397132,0.0006752547632595,1.000000000000002e-06,1.0000000000000004e-06,-1.718342135248463e-10,1.300920076036712e-09,1.3122195095231084e-09,-7.254942548091467,3801,2026-07-24T08:33:41.197402+00:00,True,
2,near_neutral,1.1,0.345,modal_strict,0.2361170519934644,0.0011771302915469,0.2361170519934644,0.0011771302915469,0.0004061099505836,1.0,50.0,0.0125,1e-06,300,0.0006592793487069,-0.3178617144770669,-0.1870491696918931,-0.0006923395268545,0.0006592793487069,0.1870491696918931,-20926.491624387487,74.83089530764934,20876.491624387487,24.830895307649342,0.949261697981331,0.0001040215771275,1.0000000000000004e-06,1.0000000000000004e-06,2.146103850186876e-10,-1.14540315871315e-10,2.4326344015854485e-10,-9.118841451409534,8601,2026-07-24T08:33:41.524487+00:00,True,
3,low_alpha,1.15,0.06,modal_coarse,-2.549736936302885e-09,0.1998472244836177,-2.549736936302885e-09,0.1998472244836177,0.011990833469017,1.0,40.0,0.05,1e-06,300,0.0241396268942023,-0.0394153827443379,-0.0241396267093811,-0.0394153832471132,0.0241396268942023,0.0241396267093811,-573.0635518302048,573.0635562944528,533.0635518302048,533.0635562944528,0.387687643585504,0.3876876471692273,1.0000000000000004e-06,1.000000000000002e-06,5.9099303853504814e-09,-3.2582225702182392e-09,6.748576996431798e-09,9.243841914141626e-09,2201,2026-07-24T08:33:27.559355+00:00,True,
