task_index,role,Mach,alpha,modal_setting,is_modal_reference,p_rel_l2_core,p_rel_l2_amp_mask,modulus_rel_l2_amp_mask,kappa_rel_l2_amp_mask,q_rel_l2_amp_mask,alignment_real,alignment_imag,comparison_core_limit,comparison_amplitude_threshold
41,near_neutral,1.75,0.235,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
42,low_alpha,1.8,0.05,modal_coarse,False,5.5116142674203605e-06,5.5116142674203605e-06,1.5923341380019786e-06,7.211571456773809e-05,4.636592734336406e-05,1.0000013579410605,-3.6750216036717823e-06,20.0,0.001
42,low_alpha,1.8,0.05,modal_nominal,False,1.1181974751054984e-06,1.1181974751054984e-06,3.366017741969063e-07,1.4921878262157864e-05,9.587130812583156e-06,1.0000002521880014,-7.349389597794228e-07,20.0,0.001
42,low_alpha,1.8,0.05,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
43,peak_growth,1.8,0.135,modal_coarse,False,2.0710983095109737e-05,2.0710983095109737e-05,1.284076745588882e-05,0.0001002526194599,4.484816058623793e-05,1.0000120988968688,-7.037034784381749e-06,20.0,0.001
43,peak_growth,1.8,0.135,modal_nominal,False,4.270362776329899e-06,4.270362776329899e-06,2.728901675859803e-06,2.074905885441296e-05,9.27349739782818e-06,1.0000024198541468,-1.4073040815329664e-06,20.0,0.001
43,peak_growth,1.8,0.135,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
44,near_neutral,1.8,0.225,modal_coarse,False,4.707066919634505e-05,4.707066919634505e-05,3.7165411575439454e-05,0.0001274330378899,4.546728798495824e-05,1.0000425900601009,-8.351370034419772e-06,20.0,0.001
44,near_neutral,1.8,0.225,modal_nominal,False,9.903176932306696e-06,9.903176932306696e-06,7.999396789358366e-06,2.6304376296832152e-05,9.399318515325315e-06,1.0000085182099,-1.6213607787186652e-06,20.0,0.001
44,near_neutral,1.8,0.225,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
45,low_alpha,1.85,0.05,modal_coarse,False,5.763456342683741e-06,5.763456342683741e-06,1.752939766690484e-06,7.823279939595196e-05,4.574146808040569e-05,1.0000014359202392,-3.6289064891629846e-06,20.0,0.001
45,low_alpha,1.85,0.05,modal_nominal,False,1.1697543111256175e-06,1.1697543111256175e-06,3.7039873516356645e-07,1.6178005326259775e-05,9.458064264341327e-06,1.000000293142932,-7.257178439480059e-07,20.0,0.001
45,low_alpha,1.85,0.05,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
46,peak_growth,1.85,0.13,modal_coarse,False,2.0692582649968198e-05,2.0692582649968198e-05,1.2954502798491291e-05,0.0001052077624035,4.4504800613788406e-05,1.0000098936703603,-6.872228361184024e-06,20.0,0.001
46,peak_growth,1.85,0.13,modal_nominal,False,4.267262843472645e-06,4.267262843472645e-06,2.751523704784302e-06,2.176127779254713e-05,9.202941931690516e-06,1.0000024156215774,-1.3747056433912297e-06,20.0,0.001
46,peak_growth,1.85,0.13,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
47,near_neutral,1.85,0.22,modal_coarse,False,4.845962419557512e-05,4.845962419557512e-05,3.862454270639636e-05,0.0001295957664266,4.523208834823852e-05,1.00004395787734,-8.255385555701726e-06,20.0,0.001
47,near_neutral,1.85,0.22,modal_nominal,False,1.0201616701573885e-05,1.0201616701573885e-05,8.309026642889798e-06,2.7051996991219416e-05,9.351552608873516e-06,1.0000087917858405,-1.6510782080609062e-06,20.0,0.001
47,near_neutral,1.85,0.22,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
