point_id,Mach,alpha,cr,ci,omega_i,validation_status,has_exported_modal_fields,reference_tier,spectral_ok,modal_ok,pinning_use,best_status,best_stage1_mismatch,best_stage2_mismatch,trusted_spectral,trusted_modal,valid_spectral_candidate,valid_modal_candidate,decision,source_kind,source_short,source,modal_fields_file,modes_pdf,blumen_ci_overlay_pdf,validation_note
M1.30_a0.125000,1.3,0.125,0.2507322022046491,0.0805622512041191,0.010070281400514887,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,8.48044792429182e-07,1.4640677329075317e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.30_a0.150000,1.3,0.15,0.2679464671366972,0.0699190855162764,0.01048786282744146,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,2.48584615768089e-06,5.4148242835433054e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.30_a0.162500,1.3,0.1625,0.2753741570531295,0.0644937399606446,0.010480232743604748,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,3.525295246738324e-06,3.76409257947918e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.30_a0.175000,1.3,0.175,0.2821847483866972,0.0590180438496097,0.010328157673681697,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,2.234820388918325e-06,1.157558020111278e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.30_a0.183333,1.3,0.183333,0.286403134768127,0.0553553184156296,0.010148456591092621,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,5.897737531703279e-07,1.5236565398847437e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.30_a0.191667,1.3,0.191667,0.290397275393127,0.0516736777906296,0.009904138801096604,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,3.697097577497154e-06,1.8110070860450328e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.30_a0.200000,1.3,0.2,0.2727688216788323,0.0467110594036997,0.00934221188073994,modal_spectral_validated_with_exported_fields,True,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,0.0114810158991341,1.6726103028849283e-20,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M13_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M13_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23"
M1.30_a0.225000,1.3,0.2249999999999999,0.2807064105959674,0.0353543235424167,0.007954722797043755,modal_spectral_validated_with_exported_fields,True,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,0.0183502648700106,1.5485891781714665e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23"
M1.33_a0.180000,1.33,0.18,0.2771044303979708,0.0508498118838383,0.009152966139090894,modal_spectral_validated_with_exported_fields,True,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,0.0029902678212216,1.3042589531394374e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_point_batch_core_v2_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_core_v2_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23"
M1.40_a0.100000,1.4,0.1,0.283841246397037,0.0425165800223759,0.00425165800223759,modal_spectral_validated_with_exported_fields,True,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,0.0083962628131086,2.0046362322329786e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M14_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M14_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23"
