normal_axis,pair_id,idx_a,idx_b,Mach_minus_grid,Mach_plus_grid,eta_minus_grid,eta_plus_grid,Mach_mid,eta_mid
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.13199999999999998,0.13199999999999998,0.0504,0.13199999999999998
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.1352,0.1352,0.0504,0.1352
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.1384,0.1384,0.0504,0.1384
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.14159999999999998,0.14159999999999998,0.0504,0.14159999999999998
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.14479999999999998,0.14479999999999998,0.0504,0.14479999999999998
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.148,0.148,0.0504,0.148
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.15119999999999997,0.15119999999999997,0.0504,0.15119999999999997
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.15439999999999998,0.15439999999999998,0.0504,0.15439999999999998
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.1576,0.1576,0.0504,0.1576
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.16079999999999997,0.16079999999999997,0.0504,0.16079999999999997
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.16399999999999998,0.16399999999999998,0.0504,0.16399999999999998
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.1672,0.1672,0.0504,0.1672
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.17039999999999997,0.17039999999999997,0.0504,0.17039999999999997
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.17359999999999998,0.17359999999999998,0.0504,0.17359999999999998
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.17679999999999998,0.17679999999999998,0.0504,0.17679999999999998
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.17999999999999997,0.17999999999999997,0.0504,0.17999999999999997
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.18319999999999997,0.18319999999999997,0.0504,0.18319999999999997
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.18639999999999998,0.18639999999999998,0.0504,0.18639999999999998
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.18959999999999996,0.18959999999999996,0.0504,0.18959999999999996
Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.048799999999999996,0.052000000000000005,0.19279999999999997,0.19279999999999997,0.0504,0.19279999999999997
