boundary_id,normal_axis,pair_id,idx_a,idx_b,Mach_minus_grid,Mach_plus_grid,eta_minus_grid,eta_plus_grid,Mach_mid,eta_mid,component,chart_minus,chart_plus,Mach_boundary,eta_boundary,clean_pair_switch,third_chart_seen,eps,Mach_minus,eta_minus,Mach_plus,eta_plus,routed_chart_minus,routed_chart_plus,family_minus,family_plus,ci_minus,ci_plus,samepoint_ci_abs_diff,samepoint_ci_rel_diff_reg,samepoint_p_overlap,samepoint_p_rel,samepoint_q_overlap,samepoint_q_rel,routed_ci_abs_diff,routed_ci_rel_diff_reg,routed_p_overlap,routed_p_rel,routed_q_overlap,routed_q_rel,success,error,source_shard,severity
ROUTE_0148,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.324,0.324,0.7,0.324,0,LOW,HM1_LOW,0.6999999995052814,0.324,True,,5e-05,0.6999499995052814,0.324,0.7000499995052814,0.324,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.4009347310189811,0.4004844732623052,0.0004200193279932,0.0010476438001107,0.963407932256606,0.2680394673645117,0.9518206630858616,0.4452644951614647,0.0004502577566758,0.0011230200874131,0.9634072757713767,0.2680418269426888,0.9518194827514318,0.4452713622670579,True,,shard_00007.csv,3.930017388808014
ROUTE_0149,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.3591999999999999,0.3591999999999999,0.7,0.3591999999999999,0,LOW,HM1_LOW,0.6999999995052814,0.3591999999999999,True,,5e-05,0.6999499995052814,0.3591999999999999,0.7000499995052814,0.3591999999999999,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.3749246913945492,0.3752685541841335,0.0003741008882429,0.0009968496675986,0.9632779274619336,0.2685063024672641,0.9524028931761408,0.4408642521597132,0.0003438627895843,0.0009163112276537,0.96327723914776,0.2685087718117773,0.952401691867548,0.4408714367264949,True,,shard_00007.csv,3.895267539818858
ROUTE_0150,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.3976,0.3976,0.7,0.3976,0,LOW,HM1_LOW,0.6999999995052814,0.3976,True,,5e-05,0.6999499995052814,0.3976,0.7000499995052814,0.3976,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.3479814592320652,0.3481922417195544,0.0002405246272341,0.0006907507371116,0.9631088272036938,0.2691122200167164,0.9529606885368036,0.4364900463567435,0.0002107824874891,0.0006053623896047,0.9631081090158788,0.2691147902807611,0.9529594719411713,0.4364975354087643,True,,shard_00007.csv,3.7762054672165712
ROUTE_0240,eta,HM2_LOW__HM2_MID,16,17,0.98,0.98,0.3976,0.4008,0.98,0.3992,0,HM2_LOW,HM2_MID,0.98,0.4000000004947186,True,,5e-05,0.98,0.3999500004947186,0.98,0.4000500004947186,HM2_LOW,HM2_MID,pq_etaaware,pq_etaaware,0.3664894628993219,0.3668468469216895,0.0003925098824332,0.0010699048344328,0.9649325491866656,0.2624979533636845,0.9405392615309088,0.8452613338140372,0.0003573840223676,0.0009742049723654,0.9649300041481964,0.2625073086498007,0.9405365264893418,0.8453472746070894,True,,shard_00012.csv,3.7708619567367636
ROUTE_0147,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.2888,0.2888,0.7,0.2888,0,LOW,HM1_LOW,0.6999999995052814,0.2888,True,,5e-05,0.6999499995052814,0.2888,0.7000499995052814,0.2888,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.4271589962868665,0.4273634014143656,0.0002372799723304,0.0005551992071632,0.9635048649017162,0.2676908203706758,0.9511616138989912,0.4500618606648459,0.000204405127499,0.000478293477688,0.9635042453776927,0.2676930502257444,0.9511604640591332,0.4500683688800627,True,,shard_00007.csv,3.738944930951349
ROUTE_0239,eta,HM2_LOW__HM2_MID,16,17,0.948,0.948,0.3976,0.4008,0.948,0.3992,0,HM2_LOW,HM2_MID,0.948,0.4000000004947186,True,,5e-05,0.948,0.3999500004947186,0.948,0.4000500004947186,HM2_LOW,HM2_MID,pq_etaaware,pq_etaaware,0.3241399599433739,0.3247124069222343,0.0006178759441926,0.001902697293812,0.9704807472050178,0.2411786045742672,0.9468425852412108,0.6092805172214975,0.0005724469788604,0.0017629353441907,0.970478635466554,0.2411871018586514,0.9468402635475937,0.6093409227929681,True,,shard_00011.csv,3.5056246296843834
ROUTE_0146,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.2504,0.2504,0.7,0.2504,0,LOW,HM1_LOW,0.6999999995052814,0.2504,True,,5e-05,0.6999499995052814,0.2504,0.7000499995052814,0.2504,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.4567912258821247,0.4567646928091328,8.849573564728708e-06,1.937379479399345e-05,0.9635633392751732,0.267480263206238,0.9503491842719296,0.455766362457178,2.653307299194108e-05,5.808577636468865e-05,0.963562767388676,0.2674823233454431,0.9503480821781252,0.4557724266958242,True,,shard_00007.csv,3.505485241868446
ROUTE_0292,Mach,LMEDGE_LOW__LOWM_EXT_VLOW_MOD,24,38,0.0487999999999999,0.052,0.1607999999999999,0.1607999999999999,0.0504,0.1607999999999999,0,LMEDGE_LOW,LOWM_EXT_VLOW_MOD,0.0499999995052814,0.1607999999999999,True,,5e-05,0.0499499995052814,0.1607999999999999,0.0500499995052814,0.1607999999999999,LMEDGE_LOW,LOWM_EXT_VLOW_MOD,pq_etaaware,pQscaled,0.750996495120304,0.7480033099448239,0.0029857439097475,0.0039757039788143,0.9998420368503907,0.0177736137817237,0.9999578753284748,0.0301730286532277,0.00299318517548,0.0039856180354085,0.9998420643732582,0.0177720654348737,0.9999578639170976,0.0301709619760346,True,,shard_00014.csv,3.163480047564737
ROUTE_0083,Mach,HIGH_HIM__HM1_MID,5,9,0.6983999999999999,0.7016,0.5256,0.5256,0.7,0.5256,0,HIGH_HIM,HM1_MID,0.6999999995052814,0.5256,True,,5e-05,0.6999499995052814,0.5256,0.7000499995052814,0.5256,HIGH_HIM,HM1_MID,pq_legacy,pq_etaaware,0.2643875105924306,0.2634189172700928,0.0009453534981136,0.0035757881781647,0.9793489568648172,0.2021772012067492,0.9725863312565194,0.2904445507534252,0.0009685933223378,0.003663536602646,0.9793428600119586,0.2022067321915788,0.9725805770947482,0.2905179281116404,True,,shard_00004.csv,2.999677666940233
ROUTE_0082,Mach,HIGH_HIM__HM1_MID,5,9,0.6983999999999999,0.7016,0.5127999999999999,0.5127999999999999,0.7,0.5127999999999999,0,HIGH_HIM,HM1_MID,0.6999999995052814,0.5127999999999999,True,,5e-05,0.6999499995052814,0.5127999999999999,0.7000499995052814,0.5127999999999999,HIGH_HIM,HM1_MID,pq_legacy,pq_etaaware,0.2726260626029573,0.2716944609571515,0.0009083260765943,0.0033319070828942,0.9797063634464152,0.2004381236756127,0.9727275696784004,0.2905035234444895,0.0009316016458058,0.0034171408151925,0.9797001962852944,0.2004682653153759,0.972721774314445,0.2905770003902153,True,,shard_00004.csv,2.927389141029668
