alpha,ci_reference,ci_classic_gep,ci_hybrid_4pt,ci_physics_only,amp_rel_hybrid_4pt,amp_rel_physics_only,phase_rmse_hybrid_4pt,phase_rmse_physics_only
0.1,0.6704450642662936,0.6704524577922079,0.6704438924789429,0.007391681428998709,0.05266925747858785,0.23509362827209337,0.2291566762456185,0.3245579859942428
0.1875,0.5652460576378611,0.5652542507502025,0.5668312907218933,0.01401070412248373,0.15267803619481318,0.33516778045781376,0.22489550385269527,0.354046996844277
0.275,0.4716854078187273,0.47169076877841065,0.47202712297439575,0.018806662410497665,0.15020341841471857,0.2993757266176067,0.21879816597010035,0.2978511074450724
0.36250000000000004,0.38697359550105914,0.3869863543532945,0.38667693734169006,0.02326647937297821,0.1357795451898111,0.27444010323599655,0.19793514838605447,0.250135950593745
0.45000000000000007,0.3092329543672661,0.3092172026300042,0.30976706743240356,0.027346670627593994,0.09441779865890243,0.1719326679483858,0.10450977704673832,0.18241505623789347
0.5375000000000001,0.23699083438480423,0.23699118266217167,0.23747016489505768,0.03010525181889534,0.08038797052272026,0.09914595113943721,0.08391029885561313,0.13010953027019181
0.625,0.1692719456631302,0.16926604400843165,0.16174785792827606,0.031817659735679626,0.0507265798451733,0.04889478930156012,0.062018713377027156,0.0909238996593066
0.7125,0.1052237904336394,0.10523963728745708,0.08698012679815292,0.03295305743813515,0.033013665069511276,0.03889245311281345,0.04181281457814359,0.06366243595202967
0.8,0.0442736588328293,0.04428025067525169,0.04427260160446167,0.03375883027911186,0.04227639982163885,0.06675086997426477,0.01557835189342192,0.04713219353107256
