step,ci_anchor_loss
1,0.10266798030139894
100,0.0004281252137194013
200,6.093940844014341e-09
300,8.446288025274891e-14
400,8.315035274230555e-18
500,2.892234830143064e-23
600,7.833907106620291e-26
700,4.4989730321340857e-26
800,3.705616580204638e-26
900,3.104896991927405e-26
1000,2.6321330513194535e-26
1100,2.2533976874311007e-26
1200,1.9444768453625533e-26
1300,1.6889087439705065e-26
1400,1.4749472997396092e-26
1500,1.2937930562076694e-26
1600,1.1388031566547045e-26
1700,1.0048794797742309e-26
1800,8.89957502877355e-27
1900,7.904256942798982e-27
2000,7.022383247426311e-27
2100,6.265184231360356e-27
2200,5.588457575925949e-27
2300,4.994451906116774e-27
2400,4.4762654082962684e-27
2500,4.018022449914598e-27
2600,3.601501726570043e-27
2700,3.226882549457726e-27
2800,2.9009773884684695e-27
2900,2.605395880146942e-27
3000,2.348304996503459e-27
