step,ci_anchor_loss
1,0.006464291752318398
100,2.4142635816000668e-06
200,1.2223521387280953e-06
300,8.905665555283727e-07
400,6.033385787234918e-07
500,3.799197007776837e-07
600,2.2158635433967741e-07
700,1.1918521131656323e-07
800,5.889673355961523e-08
900,2.667441186225755e-08
1000,1.1060872564557569e-08
1100,4.1989151952794154e-09
1200,1.4595064584721443e-09
1300,4.644094547284674e-10
1400,1.3514278238197306e-10
1500,3.589610886287541e-11
1600,8.678114010303474e-12
1700,1.902462806051241e-12
1800,3.76512723434891e-13
1900,6.692387797127917e-14
2000,1.0622181163824205e-14
2100,1.4959168261596372e-15
2200,1.856203656724646e-16
2300,2.013960060608178e-17
2400,1.894793132142654e-18
2500,1.5318015640836497e-19
2600,1.0535284723596887e-20
2700,6.097905467313656e-22
2800,2.9361143588875e-23
2900,1.163763553241614e-24
3000,3.7995884351802124e-26
