source_row,Mach,eta,alpha,ci_seed_abs_err,ci_final_abs_err,valid,region_interior,region_long_wavelength,region_near_neutral,region_high_mach,region_edge_corner_union
0,0.02,0.025,0.0249949994998999,0.0004804201034721,0.0002020427736355,True,False,True,False,False,True
1,0.02,0.04,0.0399919991998399,0.0001502266918156,0.0002019913657461,True,False,True,False,False,True
2,0.02,0.055,0.0549889988997799,0.0001939173987678,0.0002119301263248,True,False,True,False,False,True
3,0.02,0.06,0.0599879987997599,0.0009546239452338,0.0002207629539836,True,False,True,False,False,True
4,0.02,0.09,0.0899819981996399,0.00026692043616,0.0002444885140927,True,False,True,False,False,True
5,0.02,0.12,0.1199759975995198,0.0002460542739827,0.0002659308796501,True,False,True,False,False,True
6,0.02,0.155,0.1549689968993798,0.0026806396337399,5.495229059315765e-05,True,False,True,False,False,True
7,0.02,0.26,0.2599479947989597,2.4576492646199988e-05,5.972236893048155e-05,True,True,False,False,False,False
8,0.02,0.365,0.3649269926985396,0.0022832641173098,7.991635555115728e-05,True,True,False,False,False,False
9,0.02,0.375,0.3749249924984996,0.0011465353280901,8.286430634019126e-05,True,True,False,False,False,False
10,0.02,0.45,0.4499099909981995,0.0001483148855156,5.108072368953387e-05,True,True,False,False,False,False
11,0.02,0.525,0.5248949894978995,0.0015372171530649,6.328431193969308e-05,True,True,False,False,False,False
12,0.02,0.5625,0.5623874887477495,0.000471445420523,5.118120856911768e-05,True,True,False,False,False,False
13,0.02,0.6000000000000001,0.5998799879975995,2.3619567640575934e-05,3.6053888540277246e-05,True,True,False,False,False,False
14,0.02,0.6375000000000001,0.6373724872474494,0.0005344068553135,3.95039949273035e-05,True,True,False,False,False,False
15,0.02,0.6687500000000001,0.6686162366223244,0.0005780296896542,4.399418422329493e-05,True,True,False,False,False,False
16,0.02,0.7250000000000001,0.7248549854970994,0.0002178362354912,4.517031528450399e-05,True,True,False,False,False,False
17,0.02,0.78125,0.7810937343718742,0.0012049151122293,1.4797146022704766e-05,True,True,False,False,False,False
18,0.02,0.8150000000000001,0.8148369836967393,0.000154039433812,2.857708511189161e-05,True,True,False,False,False,False
19,0.02,0.8600000000000001,0.8598279827965593,0.0004065530880537,3.7008119558493147e-05,True,True,False,False,False,False
20,0.02,0.905,0.9048189818963792,0.0013352018504067,1.759907246089848e-05,True,False,False,True,False,True
21,0.02,0.9275,0.927314481446289,0.0001281457463125,2.5429520579600684e-05,True,False,False,True,False,True
22,0.02,0.95,0.9498099809961992,0.0004815904139021,1.1777803970498824e-05,True,False,False,True,False,True
23,0.02,0.9725,0.9723054805461092,0.0010049908960672,0.0004017363518404,True,False,False,True,False,True
24,0.0399999999999999,0.025,0.0249799919935935,0.0005886683147537,0.0002128493734554,True,False,True,False,False,True
25,0.0399999999999999,0.04,0.0399679871897497,9.33803113689624e-05,0.0002122621871006,True,False,True,False,False,True
26,0.0399999999999999,0.055,0.0549559823859059,0.0003659187432043,0.0002069084955768,True,False,True,False,False,True
27,0.0399999999999999,0.06,0.0599519807846246,0.0010607207760687,0.0002055215553172,True,False,True,False,False,True
28,0.0399999999999999,0.09,0.0899279711769369,0.000144420252753,0.0002538590089565,True,False,True,False,False,True
29,0.0399999999999999,0.12,0.1199039615692492,0.0005594942007555,0.0002650966603738,True,False,True,False,False,True
30,0.0399999999999999,0.155,0.1548759503602802,0.0025917059715798,6.200393718336361e-05,True,False,True,False,False,True
31,0.0399999999999999,0.26,0.2597919167333734,0.0002602075737103,7.199860356099652e-05,True,True,False,False,False,False
32,0.0399999999999999,0.365,0.3647078831064664,0.0025161248159217,8.787185306036172e-05,True,True,False,False,False,False
33,0.0399999999999999,0.375,0.3746998799039038,0.0010605812146923,7.88186126255419e-05,True,True,False,False,False,False
34,0.0399999999999999,0.45,0.4496398558846847,0.0002748820288619,6.44051576267346e-05,True,True,False,False,False,False
35,0.0399999999999999,0.525,0.5245798318654654,0.0015425958946055,6.845766105539886e-05,True,True,False,False,False,False
36,0.0399999999999999,0.5625,0.5620498198558558,0.0004235335571634,5.608597193190734e-05,True,True,False,False,False,False
37,0.0399999999999999,0.6000000000000001,0.5995198078462463,9.245758087733646e-05,4.786898797182193e-05,True,True,False,False,False,False
38,0.0399999999999999,0.6375000000000001,0.6369897958366366,0.0006535793721106,3.856620643583053e-05,True,True,False,False,False,False
39,0.0399999999999999,0.6687500000000001,0.6682147858286287,0.0005861164636368,3.932900053940647e-05,True,True,False,False,False,False
