seed,alpha,mach,ci_pinn,ci_target_input,mismatch_at_target_input,ci_target_refined,mismatch_target_refined,target_refinement_shift,target_search_lo,target_search_hi,mismatch_at_pinn,ci_local_root,mismatch_local_root,local_search_lo,local_search_hi,abs_pinn_minus_target,abs_local_minus_pinn,abs_local_minus_target,pinn_root_like,local_root_like,classification
1234,0.1,0.5,0.006501147,0.6704450642662936,6.192305700575246e-07,0.6704464106235799,5.33123751170693e-07,1.3463572863248174e-06,0.5698783046263496,0.7710118239062376,0.09703511636300846,0.056501147,0.09479525594757228,1e-06,0.056501147,0.6639452636235799,0.05,0.6139452636235799,False,False,no_local_root_like_minimum
2345,0.1,0.5,0.0069404137,0.6704450642662936,6.192305700575246e-07,0.6704464106235799,5.33123751170693e-07,1.3463572863248174e-06,0.5698783046263496,0.7710118239062376,0.09701874406297285,0.056940413700000005,0.09477218246250343,1e-06,0.056940413700000005,0.6635059969235799,0.05,0.6135059969235799,False,False,no_local_root_like_minimum
3456,0.1,0.5,0.007886564,0.6704450642662936,6.192305700575246e-07,0.6704464106235799,5.33123751170693e-07,1.3463572863248174e-06,0.5698783046263496,0.7710118239062376,0.09698328159958249,0.057886564,0.09472228056448531,1e-06,0.057886564,0.6625598466235799,0.05,0.6125598466235799,False,False,no_local_root_like_minimum
1234,0.17,0.5,0.01084695,0.5852604890303201,5.7652613631474915e-06,0.5852476286301431,1.3611761156254278e-06,1.286040017700607e-05,0.49747141567577213,0.6730495623848681,0.15971248198365864,0.060846950000000004,0.15381418939189795,1e-06,0.060846950000000004,0.5744006786301431,0.05,0.5244006786301432,False,False,no_local_root_like_minimum
2345,0.17,0.5,0.010397505,0.5852604890303201,5.7652613631474915e-06,0.5852476286301431,1.3611761156254278e-06,1.286040017700607e-05,0.49747141567577213,0.6730495623848681,0.15975993614435796,0.060397505000000004,0.1538728065609492,1e-06,0.060397505000000004,0.5748501236301431,0.05,0.5248501236301432,False,False,no_local_root_like_minimum
3456,0.17,0.5,0.009761658,0.5852604890303201,5.7652613631474915e-06,0.5852476286301431,1.3611761156254278e-06,1.286040017700607e-05,0.49747141567577213,0.6730495623848681,0.15982690577661424,0.059761658,0.15395555670576433,1e-06,0.059761658,0.5754859706301432,0.05,0.5254859706301431,False,False,no_local_root_like_minimum
1234,0.24,0.5,0.014867262,0.507906644502741,5.274934590893346e-06,0.5079144915832658,3.0440494024732533e-07,7.84708052481431e-06,0.4317206478273299,0.5840926411781522,0.2165065757558837,0.06486726200000001,0.20517352418509074,1e-06,0.06486726200000001,0.49304722958326586,0.05000000000000001,0.4430472295832658,False,False,no_local_root_like_minimum
2345,0.24,0.5,0.014104724,0.507906644502741,5.274934590893346e-06,0.5079144915832658,3.0440494024732533e-07,7.84708052481431e-06,0.4317206478273299,0.5840926411781522,0.2166659453862191,0.064104724,0.205359985994052,1e-06,0.064104724,0.49380976758326584,0.05,0.44380976758326585,False,False,no_local_root_like_minimum
3456,0.24,0.5,0.01218102,0.507906644502741,5.274934590893346e-06,0.5079144915832658,3.0440494024732533e-07,7.84708052481431e-06,0.4317206478273299,0.5840926411781522,0.21706627420194158,0.062181020000000004,0.20582843203775653,1e-06,0.062181020000000004,0.49573347158326586,0.05,0.4457334715832658,False,False,no_local_root_like_minimum
1234,0.31,0.5,0.018003613,0.4368751351751067,1.2527665690362304e-05,0.4368618785747725,7.673203669835988e-07,1.3256600334188295e-05,0.3713438648988407,0.5024064054513727,0.26590700852698756,0.068003613,0.24716849321346665,1e-06,0.068003613,0.41885826557477246,0.05,0.36885826557477247,False,False,no_local_root_like_minimum
