alpha,ci_reference,ci_pchip,ci_linear,pchip_abs_error,linear_abs_error
0.1,0.6704450642662936,0.6704450642662936,0.6704450642662936,0.0,0.0
0.10175,0.6681927056341137,0.6683013789655641,0.668487078421753,0.00010867333145037072,0.00029437278763932984
0.1035,0.6659679707962864,0.6661602675070596,0.6665290925772125,0.00019229671077314325,0.0005611217809260438
0.10525,0.6637516209681311,0.6640217487155569,0.664571106732672,0.0002701277474257413,0.0008194857645408282
0.107,0.6615135172142002,0.6618858414158322,0.6626131208881314,0.00037232420163202384,0.0010996036739312487
0.10875,0.6592978674714728,0.6597525644326618,0.6606551350435909,0.00045469696118904945,0.0013572675721180705
0.1105,0.6570707166354857,0.6576219365908227,0.6586971491990503,0.0005512199553370234,0.0016264325635646504
0.11225,0.654891099747569,0.6554939767150911,0.6567391633545097,0.0006028769675221479,0.0018480636069406753
0.114,0.6526700160705048,0.6533687036302438,0.6547811775099691,0.0006986875597390085,0.0021111614394643263
0.11575,0.6504833521819433,0.6512461361610569,0.6528231916654286,0.0007627839791135571,0.002339839483485262
0.1175,0.6482854483606396,0.6491262931323073,0.650865205820888,0.0008408447716676815,0.002579757460248411
0.11925,0.6461129225572563,0.6470091933687712,0.6489072199763475,0.0008962708115148876,0.0027942974190912073
0.121,0.6439440552784218,0.6448948556952252,0.6469492341318069,0.000950800416803399,0.0030051788533851376
0.12275,0.6417718152270364,0.6427832989364458,0.6449912482872664,0.0010114837094093998,0.0032194330602299814
0.1245,0.6396128288133937,0.6406745419172096,0.6430332624427259,0.0010617131038159755,0.003420433629332198
0.12625,0.6374339617120607,0.6385686034622928,0.6410752765981853,0.001134641750232146,0.0036413148861246247
0.128,0.6353132596819545,0.6364655023964724,0.6391172907536448,0.0011522427145178593,0.0038040310716902503
0.12975,0.6331427310748242,0.6343652575445244,0.6371593049091042,0.0012225264697002247,0.004016573834280002
0.1315,0.6310156109577442,0.6322678877312258,0.6352013190645637,0.0012522767734816087,0.004185708106819508
0.13325,0.6288806261800914,0.6301734117813527,0.6332433332200231,0.001292785601261226,0.00436270703993169
0.135,0.6267443722321759,0.6280818485196816,0.6312853473754825,0.00133747628750569,0.004540975143306536
0.13675,0.6246131451046529,0.6259932167709894,0.6293273615309419,0.0013800716663364687,0.004714216426288997
0.1385,0.6225037437595299,0.6239075353600522,0.6273693756864014,0.0014037916005222861,0.004865631926871505
0.14025,0.6203972855703861,0.6218248231116468,0.6254113898418608,0.0014275375412606817,0.005014104271474751
0.142,0.6182901365154408,0.6197450988505494,0.6234534039973203,0.001454962335108556,0.005163267481879452
0.14375,0.6161784058808899,0.6176683814015367,0.6214954181527798,0.0014899755206467802,0.005317012271889854
0.1455,0.6140849478512641,0.6155946895893852,0.6195374323082392,0.0015097417381211287,0.005452484456975104
0.14725,0.6119696796455588,0.6135240422388714,0.6175794464636987,0.0015543625933125416,0.00560976681813985
0.149,0.6098861301608014,0.6114564581747717,0.6156214606191581,0.001570328013970279,0.005735330458356724
0.15075,0.6078156507476825,0.6093919562218628,0.6136634747746176,0.0015763054741803062,0.005847824026935067
0.1525,0.6057319337420416,0.607330555204921,0.611705488930077,0.0015986214628793682,0.00597355518803544
0.15425,0.6036750013282203,0.6052722739487228,0.6097475030855365,0.0015972726205025767,0.006072501757316218
0.156,0.6016004843727917,0.603217131278045,0.607789517240996,0.0016166469052533161,0.0061890328682042695
0.15775,0.599532816466548,0.6011651460176637,0.6058315313964553,0.0016323295511156966,0.006298714929907301
0.1595,0.5974782689335871,0.5991163369923558,0.6038735455519149,0.0016380680587686491,0.006395276618327728
0.16125,0.595424011643088,0.5970707230268975,0.6019155597073742,0.0016467113838094516,0.006491548064286201
0.163,0.5933786173589708,0.5950283229460653,0.5999575738628337,0.001649705587094541,0.006578956503862865
0.16475,0.5913536958596578,0.5929891555746358,0.5979995880182931,0.001635459714978027,0.006645892158635314
0.1665,0.5893144434503077,0.5909532397373858,0.5960416021737526,0.0016387962870780814,0.00672715872344487
0.16825,0.5872889688365331,0.5889205942590914,0.594083616329212,0.001631625422558236,0.006794647492678885
0.17,0.5852604890303201,0.5868912379645291,0.5921256304846715,0.0016307489342090031,0.006865141454351353
