Mach,alpha,cr,ci,omega_i,stage1_mismatch,cr_box_min,cr_box_max,ci_box_min,ci_box_max,status,exception,ln_p_start_right_exact_600,stage2_mismatch_exact_600,y_limit_600,amplitude_status_600,ln_p_start_right_exact_1200,stage2_mismatch_exact_1200,y_limit_1200,amplitude_status_1200,p_edge_frac,p_center_jump,p_adjacent_jump,p_left_right_energy_ratio,rho_edge_frac,rho_center_jump,rho_adjacent_jump,rho_left_right_energy_ratio,u_edge_frac,u_center_jump,u_adjacent_jump,u_left_right_energy_ratio,v_edge_frac,v_center_jump,v_adjacent_jump,v_left_right_energy_ratio,all_finite,max_edge_frac,max_center_jump,max_adjacent_jump,max_left_right_energy_ratio,p_ylimit_rel_l2,rho_ylimit_rel_l2,u_ylimit_rel_l2,v_ylimit_rel_l2,max_ylimit_rel_l2,reject_reasons,campaign_target_status
1.6,0.15,0.7615399999999999,1.0159200000000001e-05,1.52388e-06,7.168778234896201e-09,0.6,0.85,1e-05,0.002,rejected,,-87.9739751358297,1.888493375446949e-16,600.0,exact_log_amplitude_match,-171.16426867705928,1.4012250862226738e-15,1200.0,exact_log_amplitude_match,0.7436566721008124,0.26880081507003584,1.49088299096373,229.4543933299565,0.7436566721008128,0.2688008150700357,1.49088299096373,229.45439332995653,0.005269698196077819,0.9718163818046023,0.9717906802189883,19.222461254557686,0.1235597627677578,0.9806262071410059,0.9832235012779922,29.23662416773031,True,0.7436566721008128,0.9806262071410059,1.49088299096373,229.45439332995653,0.10096476540141547,0.10096476540141539,0.007762648730378511,0.04929520856076981,0.10096476540141547,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,rejected
1.6,0.15,0.7615399999999999,0.001,0.00015,2.386104249785758e-06,0.6,0.85,0.001,0.008,rejected,,-87.82161995638799,1.392404213010606e-16,600.0,exact_log_amplitude_match,-170.8596036511642,1.2816455539530426e-15,1200.0,exact_log_amplitude_match,0.5488778161356709,0.2679486545601463,1.4181185732281363,171.89787852096717,0.5488778161356709,0.2679486545601461,1.4181185732281365,171.8978785209671,0.0038942274911471747,0.9715371154527445,0.9715113659087916,25.050108979835066,0.09130913302177106,0.9803573193201143,0.9829547508953761,21.941393218471223,True,0.5488778161356709,0.9803573193201143,1.4181185732281365,171.89787852096717,0.09339619547384995,0.09339619547384992,0.0016085565390390939,0.04520172029762698,0.09339619547384995,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,rejected
1.6,0.15,0.401596,0.032349119999999995,0.004852367999999999,3.828760301367255e-06,0.4,0.65,0.015,0.06,rejected,,-29.408437777502705,2.164326247513318e-17,600.0,exact_log_amplitude_match,-51.9457793409175,1.241542431277675e-16,1152.9763685737346,exact_log_amplitude_match,4.5945629154439445e-05,9.637287099747128e-05,0.3454415834477797,5.243732931499873,4.594562915443945e-05,9.637287099741959e-05,0.3454415834477798,5.243732931499875,4.396728653024548e-06,0.0013900566182561234,0.03305674415265397,1.1544371917514518,4.675050718225496e-05,0.002809792003502917,0.3514930479093471,31.70339557185937,True,4.675050718225496e-05,0.002809792003502917,0.3514930479093471,31.70339557185937,0.0045848545029710044,0.004584854502971008,0.0010921148904289644,0.006481488908267461,0.006481488908267461,adjacent_jump_too_large,near_valid_except_adjacent_jump
1.6,0.15,0.40154,0.032349119999999995,0.004852367999999999,1.2908009429888535e-05,0.2,0.45,0.015,0.06,rejected,,-29.38951661151282,2.1617348833551004e-17,600.0,exact_log_amplitude_match,-51.908913128825155,1.239788602109985e-16,1152.96495317641,exact_log_amplitude_match,4.5945717801560555e-05,9.573124592262765e-05,0.34542456553018935,5.24075684357822,4.5945717801560555e-05,9.573124592267064e-05,0.34542456553018946,5.240756843578219,4.398001864732746e-06,0.0007350937147171982,0.03306462399581171,1.154675507028933,4.6750527568690494e-05,0.0028873117596464873,0.35147520696681367,31.713962625097697,True,4.6750527568690494e-05,0.0028873117596464873,0.35147520696681367,31.713962625097697,0.004583239409440858,0.004583239409440861,0.0010919642692318217,0.006479725792414662,0.006479725792414662,adjacent_jump_too_large,near_valid_except_adjacent_jump
1.6,0.15,0.7615399999999999,0.005,0.00075,5.93967376668471e-05,0.6,0.85,0.005,0.02,rejected,,-87.20886381196749,1.2550856907808844e-16,600.0,exact_log_amplitude_match,-169.63426689018186,8.859211629358508e-16,1200.0,exact_log_amplitude_match,0.16054670443860747,0.2659539419743906,1.157290437343664,71.46784197418638,0.1605467044386075,0.2659539419743905,1.1572904373436643,71.46784197418638,0.0011350649777899953,0.9703384786449031,0.9703131652770223,54.44044896225995,0.026609718881277084,0.9790519990008325,0.9816501795434842,9.103983116794492,True,0.1605467044386075,0.9790519990008325,1.1572904373436643,71.46784197418638,0.06923612126691714,0.06923612126691707,0.0011851347116394982,0.03332107497126209,0.06923612126691714,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,rejected
1.6,0.15,0.760384,0.015,0.00225,0.0005289935598476337,0.6,0.85,0.015,0.06,rejected,,-85.62891468364934,1.3141738980891812e-16,600.0,exact_log_amplitude_match,-166.47424724768118,8.583570493674757e-16,1200.0,exact_log_amplitude_match,0.0074794090471139475,0.25561061541649044,0.7189550755941425,24.97516464443125,0.007479409047113947,0.25561061541649055,0.7189550755941426,24.975164644431242,5.274587064786961e-05,0.9669278554656994,0.9669033828626709,116.25626883991131,0.001236924986044706,0.9754881848902434,0.9780914284541092,3.2215470325526083,True,0.0074794090471139475,0.9754881848902434,0.9780914284541092,116.25626883991131,0.03487276841420901,0.03487276841420907,0.000593827191602533,0.016753191085847947,0.03487276841420907,center_jump_too_large;adjacent_jump_too_large,rejected
1.6,0.15,0.4025,0.02,0.003,0.003456755445221958,0.4,0.65,0.005,0.02,rejected,,-29.735837361013843,1.4220643308381658e-17,600.0,exact_log_amplitude_match,-54.51449028364189,1.2316568450927372e-16,1200.0,exact_log_amplitude_match,0.0016220016741191415,0.00014120423106319326,0.6344980965547695,8.046968701201676,0.0016220016741191415,0.0001412042310629468,0.6344980965547696,8.046968701201678,0.00015608238301158893,0.15831546957487733,0.1582269352519757,1.6437371990768563,0.0016374981298639308,0.052298062211538064,0.6405600332877625,59.60222148764475,True,0.0016374981298639308,0.15831546957487733,0.6405600332877625,59.60222148764475,0.018011814067491486,0.01801181406749147,0.004605039259536002,0.02554307830980016,0.02554307830980016,stage1_too_large;adjacent_jump_too_large,rejected
1.6,0.15,0.402596,0.05,0.0075,0.0043535128400775756,0.4,0.65,0.05,0.12,rejected,,-30.074658814883623,2.934371295264259e-17,600.0,exact_log_amplitude_match,-36.195951698203075,5.01311372108865e-17,746.1720915709109,exact_log_amplitude_match,4.59674950845273e-05,0.00013340653827849933,0.16858810503499427,3.7531062785522455,4.596749508452731e-05,0.00013340653827870983,0.16858810503499433,3.7531062785522464,3.7223251978574076e-06,0.1653082748311282,0.16533031703484333,1.210072711295553,4.736415209141206e-05,0.061420944182483894,0.17371041497851153,16.762485712906862,True,4.736415209141206e-05,0.1653082748311282,0.17371041497851153,16.762485712906862,0.002732935066849949,0.0027329350668499493,0.0005844107353127037,0.0038115908172811144,0.0038115908172811144,stage1_too_large,rejected
