Mach,alpha,cr,ci,omega_i,stage1_mismatch,cr_box_min,cr_box_max,ci_box_min,ci_box_max,status,exception,ln_p_start_right_exact_600,stage2_mismatch_exact_600,y_limit_600,amplitude_status_600,ln_p_start_right_exact_1200,stage2_mismatch_exact_1200,y_limit_1200,amplitude_status_1200,p_edge_frac,p_center_jump,p_adjacent_jump,p_left_right_energy_ratio,rho_edge_frac,rho_center_jump,rho_adjacent_jump,rho_left_right_energy_ratio,u_edge_frac,u_center_jump,u_adjacent_jump,u_left_right_energy_ratio,v_edge_frac,v_center_jump,v_adjacent_jump,v_left_right_energy_ratio,all_finite,max_edge_frac,max_center_jump,max_adjacent_jump,max_left_right_energy_ratio,p_ylimit_rel_l2,rho_ylimit_rel_l2,u_ylimit_rel_l2,v_ylimit_rel_l2,max_ylimit_rel_l2,reject_reasons
1.9,0.28,0.7615399999999999,1e-05,2.8000000000000003e-06,1.255805874159916e-08,0.6,0.85,1e-05,0.002,rejected,,-154.44226646034215,7.478691568100471e-16,600.0,exact_log_amplitude_match,-304.2063707482569,3.339675105682916e-15,1200.0,exact_log_amplitude_match,0.6716071924481536,0.3785246128233871,1.351023705563243,370.2666929091969,0.6716071924481534,0.37852461282338723,1.351023705563243,370.2666929091969,0.010788083711453303,0.9377754405869839,0.9376952461493238,4.830694400148631,0.16762180547913907,0.9556771647090304,0.9581850761767932,70.8553829690769,True,0.6716071924481536,0.9556771647090304,1.351023705563243,370.2666929091969,0.13550081993940152,0.1355008199394016,0.004750723118944772,0.0828893181991566,0.1355008199394016,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large
1.9,0.28,0.7615399999999999,0.001,0.00028000000000000003,4.160792369391955e-06,0.6,0.85,0.001,0.008,rejected,,-154.11134036052374,4.238468629308318e-16,600.0,exact_log_amplitude_match,-303.5447389333232,1.939537254213081e-15,1200.0,exact_log_amplitude_match,0.3463493852988401,0.37848846196994573,1.2549255516101057,205.6283029450244,0.34634938529884013,0.3784884619699458,1.2549255516101057,205.6283029450244,0.0055440812237103594,0.9377751081868188,0.9376957783769081,8.532458713977544,0.08612602859387762,0.9555648301699478,0.9580734837427436,39.175088868082504,True,0.34634938529884013,0.9555648301699478,1.2549255516101057,205.6283029450244,0.11987789705144425,0.11987789705144426,0.003937557443682937,0.07298760257486181,0.11987789705144426,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large
1.9,0.28,0.761344,0.005,0.0014000000000000002,0.00010383951526071576,0.6,0.85,0.005,0.02,rejected,,-152.75116491706228,4.342797402509531e-16,600.0,exact_log_amplitude_match,-300.82509765909106,2.8900217641453947e-15,1200.0,exact_log_amplitude_match,0.02400476586825245,0.37432411120021414,0.9423230918058458,55.74986705349792,0.024004765868252446,0.374324111200214,0.9423230918058456,55.74986705349793,0.0003810632556162184,0.9367390653196344,0.936662267733867,27.52235723836504,0.005916942815610505,0.9542743810721299,0.9567859759596229,10.567309238104434,True,0.02400476586825245,0.9542743810721299,0.9567859759596229,55.74986705349793,0.07629734178053005,0.07629734178052996,0.002473989630122329,0.04598026146155531,0.07629734178053005,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large
1.9,0.28,0.760384,0.015,0.004200000000000001,0.0009292750262855234,0.6,0.85,0.015,0.06,rejected,,-149.3344136588253,4.4051621213643407e-16,600.0,exact_log_amplitude_match,-292.9849263011451,2.037145271087711e-15,1195.8192872408952,exact_log_amplitude_match,3.1638866403756015e-05,0.35940623393910337,0.48665141845885473,18.62258228612657,3.1638866403756015e-05,0.3594062339391032,0.4866514184588547,18.62258228612657,4.917931000980048e-07,0.9337494891577486,0.9336792747802232,60.77827781743253,7.62861251257262e-06,0.9507479280834175,0.9532677524599855,3.5111551222976125,True,3.1638866403756015e-05,0.9507479280834175,0.9532677524599855,60.77827781743253,0.02853179794837162,0.028531797948371622,0.0009056088680114713,0.016918800794593652,0.028531797948371622,center_jump_too_large;adjacent_jump_too_large
1.9,0.28,0.526216,1.996592e-05,5.5904576000000004e-06,0.006804839890253676,0.4,0.65,1e-05,0.002,rejected,,-78.07280895802438,1.3690802164852804e-16,600.0,exact_log_amplitude_match,-151.22974760969433,8.946132423461102e-16,1200.0,exact_log_amplitude_match,0.9865768248429299,0.0017512831810683738,1.9965933557782527,255.54242539173435,0.98657682484293,0.0017512831810684332,1.996593355778253,255.54242539173438,0.046623507581118356,0.10686486096121253,0.4125242596882645,12.439531266489075,0.9865861265785711,0.119726149126071,1.9966121802459582,1124.6374998161673,True,0.9865861265785711,0.119726149126071,1.9966121802459582,1124.6374998161673,0.12787943515517095,0.12787943515517106,0.04038534531495828,0.16050019850970662,0.16050019850970662,stage1_too_large;edge_not_decayed;adjacent_jump_too_large
1.9,0.28,0.5269839999999999,0.001,0.00028000000000000003,0.007381148674450126,0.4,0.65,0.001,0.008,rejected,,-78.2464394140739,9.739659684651846e-17,600.0,exact_log_amplitude_match,-151.57827019985086,6.755588373500976e-16,1200.0,exact_log_amplitude_match,0.5076713229122116,0.0014061127076480707,1.8459037208048894,142.39890651208773,0.5076713229122116,0.0014061127076480371,1.8459037208048894,142.39890651208773,0.03380469051234782,0.15837073993636322,0.17889601668051577,6.955353263203697,0.5079113015768145,0.12609144549328852,1.8467762883858776,616.4349332998943,True,0.5079113015768145,0.15837073993636322,1.8467762883858776,616.4349332998943,0.11214867803862497,0.1121486780386249,0.027139215099341706,0.1409084440905962,0.1409084440905962,stage1_too_large;edge_not_decayed;adjacent_jump_too_large
