benchmark_id,chart,Mach,alpha,winner,winner_error,pinn_error,gep_error,shooting_error,powell_error
0,C00,1.05,0.105,Shooting,2.047468438501184e-06,0.0122545519343309,0.0602754856865195,2.047468438501184e-06,0.0001013686983006
1,C00,1.1,0.09,Shooting,0.0757843638877762,0.0945720238145044,0.1914434474919662,0.0757843638877762,0.0757849747921571
2,C00,1.1,0.105,Shooting,9.530521836892943e-06,0.0366338614673591,0.1367280984319741,9.530521836892943e-06,0.0097298399671942
3,C00,1.1,0.115,Shooting,4.48171553907545e-06,0.0248099720291339,0.1302838262886929,4.48171553907545e-06,0.0001085097821429
4,C00,1.2,0.075,Shooting,7.894108374385095e-06,0.0189825114928857,0.1263285974645575,7.894108374385095e-06,2.4898870975356763e-05
5,C01,1.0,0.145,Shooting,6.149553169353373e-06,0.0208973023428621,0.0291839125914277,6.149553169353373e-06,5.968946455058904e-05
6,C01,1.0,0.155,Shooting,2.923618051801452e-06,0.0275104520423946,0.0356520508148503,2.923618051801452e-06,4.1270454847528365e-05
7,C01,1.0,0.18,Powell,5.8642301662655464e-08,0.0110029043654879,0.0642014892541156,1.3958428605832358e-06,5.8642301662655464e-08
8,C01,1.05,0.14,Powell,7.304207110966953e-09,0.0217284041019408,0.1272909973928618,2.714939118614246e-06,7.304207110966953e-09
9,C01,1.15,0.175,Shooting,7.93195040881648e-06,0.0209729269128008,0.0835051762900282,7.93195040881648e-06,8.848837018902727e-05
10,C01,1.15,0.2,Shooting,1.8880126533969485e-06,0.0113710536463193,0.0694269770769317,1.8880126533969485e-06,2.543722156019936e-05
11,C01,1.2,0.19,Powell,7.755483460030806e-09,0.011268873669305,0.0660957872931224,5.299860122910272e-06,7.755483460030806e-09
12,C02,1.0,0.25,Powell,2.2933608472824643e-08,0.0018690637948783,0.0616885120482983,4.600123129518934e-06,2.2933608472824643e-08
13,C02,1.0,0.315,Powell,1.951458395808144e-08,0.0059363670644665,0.0234397604874745,4.2415742050887975e-06,1.951458395808144e-08
14,C02,1.05,0.22,Powell,1.6569010381109995e-08,0.0155844913831763,0.0769922509372549,6.00555573374824e-07,1.6569010381109995e-08
15,C02,1.05,0.225,Powell,1.6394781949847046e-08,0.0165123515469647,0.0736261871327191,4.7373908268477454e-06,1.6394781949847046e-08
16,C02,1.05,0.35,Powell,2.4441005487541476e-08,0.0013821978960313,0.0007630685627965,1.918067408791012e-06,2.4441005487541476e-08
17,C02,1.1,0.215,Powell,1.2366246254006282e-08,0.0022126548021783,0.0699987015706075,3.5283065656194874e-06,1.2366246254006282e-08
18,C02,1.1,0.265,Powell,1.2997300671503198e-08,0.0043816673109946,0.0414742469118582,2.9214883542154164e-06,1.2997300671503198e-08
19,C02,1.15,0.23,Powell,6.873986150386472e-09,0.0053552978990254,0.0534412451514167,5.165316064873611e-06,6.873986150386472e-09
20,C02,1.2,0.285,Powell,9.150863420659484e-09,0.0059479049149772,0.0160334539197193,3.911285699710197e-06,9.150863420659484e-09
21,C02,1.2,0.315,Powell,2.099494928573668e-08,0.0074720584678803,0.008208807312306,3.212772646953999e-06,2.099494928573668e-08
22,C10,1.3,0.085,Powell,8.060973799342597e-09,0.0148235434104713,0.0964152694417168,6.411019514577815e-07,8.060973799342597e-09
23,C10,1.35,0.055,Powell,2.3698550083409338e-08,0.0074636940937835,0.0917097300708282,5.851255431106464e-06,2.3698550083409338e-08
24,C10,1.35,0.09,Powell,4.1492278652475214e-09,0.0084024104185215,0.0819343018949142,8.945431484839701e-06,4.1492278652475214e-09
25,C10,1.4,0.075,Powell,2.2238731768342083e-08,0.0144946608525912,0.0757232804953202,2.2954650421893702e-06,2.2238731768342083e-08
26,C11,1.25,0.16,Powell,2.328512207805561e-08,0.0014323925814311,0.0715596391330459,4.375189095391097e-06,2.328512207805561e-08
27,C11,1.25,0.17,Powell,1.4647561565075193e-08,0.0018865623227888,0.0666595201988027,6.406107998018787e-06,1.4647561565075193e-08
28,C11,1.25,0.195,Powell,2.8094986481815984e-08,0.0022281501829563,0.0545184306586777,7.49883885172228e-07,2.8094986481815984e-08
29,C11,1.35,0.155,Powell,1.4277620242312284e-08,0.0008255028389164,0.0563677080973145,4.690878361987268e-06,1.4277620242312284e-08
30,C11,1.4,0.19,Powell,2.71348929953948e-08,0.0016943441367815,0.0344250863630516,5.539780704489786e-06,2.71348929953948e-08
31,C12,1.25,0.235,Powell,1.05360765628704e-08,0.0026636349523589,0.0343593095891529,5.353182769538362e-07,1.05360765628704e-08
32,C12,1.25,0.285,Powell,4.522209198871434e-09,0.0030448520298386,0.0090287556976715,4.872472418999237e-06,4.522209198871434e-09
33,C12,1.25,0.315,Shooting,5.110818125224309e-07,0.0019590843700855,0.0045557770556997,5.110818125224309e-07,1.0637914301291885e-05
34,C12,1.4,0.21,Powell,3.387608581794027e-09,0.0019272274376967,0.0257150045262978,4.898944444646672e-06,3.387608581794027e-09
35,C12,1.4,0.255,Powell,6.262940946221405e-09,0.0035673483585285,0.0088259215987411,3.5240118711390443e-06,6.262940946221405e-09
36,C20,1.45,0.105,Powell,2.1686893057555558e-08,0.0114068946855066,0.05889086958553,9.196868826339748e-07,2.1686893057555558e-08
37,C20,1.5,0.085,Powell,1.1637648369373132e-08,0.0023998311624556,0.0545099199464639,2.597642563110086e-06,1.1637648369373132e-08
38,C20,1.55,0.06,Powell,1.535073022405582e-08,0.0074153285169548,0.0488283768787627,4.261542357836161e-06,1.535073022405582e-08
39,C20,1.6,0.11,Powell,9.857106151871971e-09,0.0016647024482588,0.0376377287313048,3.907491969304703e-06,9.857106151871971e-09
40,C21,1.45,0.12,Powell,1.5169073536955512e-08,0.0005854569788829,0.0537826026509766,5.454463393142105e-06,1.5169073536955512e-08
41,C21,1.5,0.205,Powell,5.352458960551207e-09,0.0034215585360325,0.0184362478943587,4.8758651600311446e-06,5.352458960551207e-09
42,C21,1.55,0.12,Powell,1.2864189134410804e-08,0.0076667169819253,0.0416892263233918,9.646407466215203e-06,1.2864189134410804e-08
43,C21,1.55,0.2,Powell,1.9697178849690124e-08,0.0011450346335968,0.0163665562483617,4.720905168120014e-06,1.9697178849690124e-08
44,C21,1.6,0.12,Powell,3.590050914079254e-09,0.0050413021138659,0.0360415984009462,1.7820759702618375e-06,3.590050914079254e-09
45,C22,1.45,0.235,Powell,1.1487210635294271e-08,0.0077691322263075,0.0132780400855855,2.4606067057053687e-06,1.1487210635294271e-08
46,C22,1.55,0.26,Powell,6.90089859421076e-08,0.0046896625002223,0.0071974059537019,2.1099650524909365e-06,6.90089859421076e-08
47,C22,1.6,0.22,Powell,1.4012239800576946e-08,0.0093350470021726,0.0130641746456306,4.7985354843506965e-06,1.4012239800576946e-08
48,C30,1.7,0.06,Powell,1.3297737894863265e-08,0.0005161938836765,0.0311620611656845,3.769151824309312e-06,1.3297737894863265e-08
49,C30,1.7,0.075,Powell,9.1481823768663e-09,0.0017751440927328,0.0320637021504194,2.1546355879795344e-06,9.1481823768663e-09
50,C30,1.75,0.055,Powell,1.8136996403910173e-08,0.0010874852636381,0.0266237144805974,6.308864442723562e-06,1.8136996403910173e-08
51,C30,1.75,0.115,Powell,3.0496526132309974e-08,0.0042365381053735,0.024397601667453,2.712496377566484e-06,3.0496526132309974e-08
52,C30,1.8,0.115,Powell,2.197184524350468e-08,0.0068849853138922,0.0213425671605651,4.791857440520409e-06,2.197184524350468e-08
53,C30,1.9,0.075,Powell,1.5905160027046457e-08,0.0141607493858211,0.0236247327290068,8.055748287326897e-06,1.5905160027046457e-08
54,C31,1.7,0.12,Powell,4.691039636579165e-09,0.0010239607498424,0.0267836479727904,4.43033418494677e-06,4.691039636579165e-09
55,C31,1.75,0.14,Powell,1.518052224323462e-08,0.0025944217162509,0.0164420088219813,3.815355375517991e-06,1.518052224323462e-08
56,C31,1.8,0.14,Powell,1.8526720022216746e-08,0.0037933038498991,0.016173712574131,4.547132444172129e-06,1.8526720022216746e-08
57,C31,1.85,0.12,Powell,1.6129616978763858e-08,0.0068119510161219,0.0176604296934046,3.488555663446768e-06,1.6129616978763858e-08
58,C31,1.85,0.125,Powell,6.888048316806839e-09,0.0032328955365768,0.0149015707789828,4.0900873653855565e-06,6.888048316806839e-09
59,C31,1.85,0.18,Powell,1.401740593177595e-08,0.0049977166414734,0.006872755929724,2.795205282074432e-06,1.401740593177595e-08
60,C31,1.85,0.2,Powell,1.8423845655510285e-08,0.0040760835316577,0.0036282739036236,8.899610947520146e-06,1.8423845655510285e-08
61,C31,1.9,0.145,Powell,2.095335883897774e-08,0.002179798555555,0.0115268393770717,5.208426638803132e-06,2.095335883897774e-08
62,C32,1.75,0.21,Powell,2.099503180199196e-08,0.0015330172248267,0.0030263850251807,1.5157297442241798e-06,2.099503180199196e-08
63,C32,1.8,0.21,Powell,9.03941427745929e-09,0.0005400074251526,0.0028501867302414,1.6078651059827628e-06,9.03941427745929e-09
