method,benchmark_id,chart,Mach,alpha,pinn_error,corrected_error,corrected_over_pinn
GEP,1,C00,1.1,0.09,0.0945720238145044,0.1914434474919662,2.024313742798478
GEP,2,C00,1.1,0.105,0.0366338614673591,0.1367280984319741,3.7322873689905527
GEP,3,C00,1.1,0.115,0.0248099720291339,0.1302838262886929,5.251268567965452
GEP,8,C01,1.05,0.14,0.0217284041019408,0.1272909973928618,5.858276419918573
GEP,4,C00,1.2,0.075,0.0189825114928857,0.1263285974645575,6.654999129693831
GEP,22,C10,1.3,0.085,0.0148235434104713,0.0964152694417168,6.5041985422735955
GEP,23,C10,1.35,0.055,0.0074636940937835,0.0917097300708282,12.287444919160485
GEP,9,C01,1.15,0.175,0.0209729269128008,0.0835051762900282,3.9815699848293904
GEP,24,C10,1.35,0.09,0.0084024104185215,0.0819343018949142,9.751285382859397
GEP,14,C02,1.05,0.22,0.0155844913831763,0.0769922509372549,4.940312073345507
Powell,1,C00,1.1,0.09,0.0945720238145044,0.0757849747921571,0.8013466534331904
Shooting,1,C00,1.1,0.09,0.0945720238145044,0.0757843638877762,0.801340193759851
GEP,25,C10,1.4,0.075,0.0144946608525912,0.0757232804953202,5.224218853094669
GEP,15,C02,1.05,0.225,0.0165123515469647,0.0736261871327191,4.45885535584137
GEP,26,C11,1.25,0.16,0.0014323925814311,0.0715596391330459,49.958119066457904
GEP,17,C02,1.1,0.215,0.0022126548021783,0.0699987015706075,31.635617766357246
GEP,10,C01,1.15,0.2,0.0113710536463193,0.0694269770769317,6.105588737540126
GEP,27,C11,1.25,0.17,0.0018865623227888,0.0666595201988027,35.333855337608796
GEP,11,C01,1.2,0.19,0.011268873669305,0.0660957872931224,5.865341047629191
GEP,7,C01,1.0,0.18,0.0110029043654879,0.0642014892541156,5.834958400210428
GEP,12,C02,1.0,0.25,0.0018690637948783,0.0616885120482983,33.00503290328569
GEP,0,C00,1.05,0.105,0.0122545519343309,0.0602754856865195,4.9186201184279
GEP,36,C20,1.45,0.105,0.0114068946855066,0.05889086958553,5.1627433415647905
GEP,29,C11,1.35,0.155,0.0008255028389164,0.0563677080973145,68.282876133177
GEP,28,C11,1.25,0.195,0.0022281501829563,0.0545184306586777,24.4680233297124
GEP,37,C20,1.5,0.085,0.0023998311624556,0.0545099199464639,22.714064555561166
GEP,40,C21,1.45,0.12,0.0005854569788829,0.0537826026509766,91.8643121371586
GEP,19,C02,1.15,0.23,0.0053552978990254,0.0534412451514167,9.979135831293785
GEP,38,C20,1.55,0.06,0.0074153285169548,0.0488283768787627,6.584789435440239
GEP,42,C21,1.55,0.12,0.0076667169819253,0.0416892263233918,5.437689485822473
GEP,18,C02,1.1,0.265,0.0043816673109946,0.0414742469118582,9.465403000312204
GEP,39,C20,1.6,0.11,0.0016647024482588,0.0376377287313048,22.60928298067446
GEP,44,C21,1.6,0.12,0.0050413021138659,0.0360415984009462,7.149263739186593
GEP,6,C01,1.0,0.155,0.0275104520423946,0.0356520508148503,1.295945655851427
GEP,30,C11,1.4,0.19,0.0016943441367815,0.0344250863630516,20.31764717434792
GEP,31,C12,1.25,0.235,0.0026636349523589,0.0343593095891529,12.899406338967166
GEP,49,C30,1.7,0.075,0.0017751440927328,0.0320637021504194,18.062591246357893
GEP,48,C30,1.7,0.06,0.0005161938836765,0.0311620611656845,60.36890817794703
GEP,5,C01,1.0,0.145,0.0208973023428621,0.0291839125914277,1.3965397118062017
GEP,54,C31,1.7,0.12,0.0010239607498424,0.0267836479727904,26.156908823812564
GEP,50,C30,1.75,0.055,0.0010874852636381,0.0266237144805974,24.481908280329026
GEP,34,C12,1.4,0.21,0.0019272274376967,0.0257150045262978,13.343004579174497
GEP,51,C30,1.75,0.115,0.0042365381053735,0.024397601667453,5.758853351633449
GEP,53,C30,1.9,0.075,0.0141607493858211,0.0236247327290068,1.6683250360084625
GEP,13,C02,1.0,0.315,0.0059363670644665,0.0234397604874745,3.948502549274389
GEP,52,C30,1.8,0.115,0.0068849853138922,0.0213425671605651,3.0998711235448924
GEP,41,C21,1.5,0.205,0.0034215585360325,0.0184362478943587,5.388260262160128
GEP,57,C31,1.85,0.12,0.0068119510161219,0.0176604296934046,2.59256557359375
GEP,55,C31,1.75,0.14,0.0025944217162509,0.0164420088219813,6.337446498767756
GEP,43,C21,1.55,0.2,0.0011450346335968,0.0163665562483617,14.293503242736708
GEP,56,C31,1.8,0.14,0.0037933038498991,0.016173712574131,4.263753501993048
GEP,20,C02,1.2,0.285,0.0059479049149772,0.0160334539197193,2.6956473159727303
GEP,58,C31,1.85,0.125,0.0032328955365768,0.0149015707789828,4.609357342477435
GEP,45,C22,1.45,0.235,0.0077691322263075,0.0132780400855855,1.7090763419657056
GEP,47,C22,1.6,0.22,0.0093350470021726,0.0130641746456306,1.3994760436225013
GEP,61,C31,1.9,0.145,0.002179798555555,0.0115268393770717,5.288029642783593
Powell,2,C00,1.1,0.105,0.0366338614673591,0.0097298399671942,0.2655968979918626
GEP,32,C12,1.25,0.285,0.0030448520298386,0.0090287556976715,2.9652526983881353
GEP,35,C12,1.4,0.255,0.0035673483585285,0.0088259215987411,2.474084589367582
GEP,21,C02,1.2,0.315,0.0074720584678803,0.008208807312306,1.0986005191999928
GEP,46,C22,1.55,0.26,0.0046896625002223,0.0071974059537019,1.5347385773199516
GEP,59,C31,1.85,0.18,0.0049977166414734,0.006872755929724,1.3751791913712443
GEP,33,C12,1.25,0.315,0.0019590843700855,0.0045557770556997,2.325462407471952
GEP,60,C31,1.85,0.2,0.0040760835316577,0.0036282739036236,0.8901372789453162
GEP,62,C32,1.75,0.21,0.0015330172248267,0.0030263850251807,1.974136347700084
GEP,63,C32,1.8,0.21,0.0005400074251526,0.0028501867302414,5.278050999828325
