method,n_valid,mean_error,median_error,p90_error,p95_error,p99_error,max_error,n_le_1em06,n_le_1em05,n_le_1em04,n_le_5em04,n_le_1em03,n_le_5em03,n_le_1em02,n_improved_vs_pinn,n_worsened_vs_pinn,mean_improvement_factor,median_improvement_factor,worst_ratio_corrected_over_pinn,mean_seconds,median_seconds,total_seconds
PINN,64,0.008860269077583117,0.00484368957084785,0.020322865087869187,0.024347736840054916,0.058070981535802715,0.0945720238145044,0,0,0,0,4,33,46,,,,,,,,
GEP,64,0.04588566800685322,0.03503856858895095,0.08924836393658822,0.12714663740361615,0.15697277758417102,0.1914434474919662,0,0,0,0,1,5,10,2.0,62.0,0.2768771790950729,0.1847451485236895,91.8643121371586,892.7782335926022,892.2799599007703,57137.80694992654
Shooting,64,0.001188140961351408,4.165830785237177e-06,7.920597798487065e-06,8.938558404241767e-06,0.028046291875180714,0.0757843638877762,6,63,63,63,63,63,63,64.0,0.0,2885.6174635720045,1418.188121762118,0.801340193759851,346.41030361929734,340.114688095171,22170.25943163503
Powell,64,0.0013433750825979154,1.6262199464305452e-08,3.652048486132971e-05,9.943664908386401e-05,0.0341702398524303,0.0757849747921571,54,54,60,62,62,62,63,64.0,0.0,407203.839065822,205480.22611154738,0.8013466534331904,19.03398448662483,17.45533180469647,1218.1750071439892
