chart,method,n,mean_error,median_error,p95_error,max_error,n_le_1e-5,n_le_1e-4,n_le_1e-3,n_le_1e-2
C00,PINN,5,0.0374505841476428,0.0248099720291339,0.08298439134507533,0.0945720238145044,0,0,0,0
C00,GEP,5,0.12901189107274205,0.1302838262886929,0.18050037767996777,0.1914434474919662,0,0,0,0
C00,Shooting,5,0.015161663540393009,7.894108374385095e-06,0.06062939721458832,0.0757843638877762,4,4,4,4
C00,Powell,5,0.01714991842215403,0.0001085097821429,0.06257394782716451,0.0757849747921571,0,1,3,4
C01,PINN,7,0.01782170244015864,0.0208973023428621,0.025775837660258455,0.0275104520423946,0,0,0,0
C01,GEP,7,0.0679080558161911,0.0660957872931224,0.11415525106201169,0.1272909973928618,0,0,0,0
C01,Shooting,7,4.043396626496573e-06,2.923618051801452e-06,7.3972312369775475e-06,7.93195040881648e-06,7,7,7,7
C01,Powell,7,3.070845901993967e-05,2.543722156019936e-05,7.984869849749578e-05,8.848837018902727e-05,3,7,7,7
C02,PINN,10,0.00666540550805729,0.00564583248174595,0.01609481447325992,0.0165123515469647,0,0,0,8
C02,GEP,10,0.042566623403445095,0.04745774603163745,0.07547752222521378,0.0769922509372549,0,0,1,2
C02,Shooting,10,3.483688047499403e-06,3.7197961326648424e-06,4.972749707761971e-06,5.165316064873611e-06,10,10,10,10
C02,Powell,10,1.6223633603169673e-08,1.6481896165478522e-08,2.3762676830918898e-08,2.4441005487541476e-08,10,10,10,10
C10,PINN,4,0.011296077193841875,0.01144853563555635,0.014774211026789285,0.0148235434104713,0,0,0,2
C10,GEP,4,0.08644564547569486,0.0868220159828712,0.0957094385360835,0.0964152694417168,0,0,0,0
C10,Shooting,4,4.433313477398329e-06,4.0733602366479175e-06,8.481305076779715e-06,8.945431484839701e-06,4,4,4,4
C10,Powell,4,1.4536870879085383e-08,1.514985278384234e-08,2.347957733614925e-08,2.3698550083409338e-08,4,4,4,4
C11,PINN,5,0.0016133904125748201,0.0016943441367815,0.0021598326109228,0.0022281501829563,0,0,1,5
C11,GEP,5,0.05670607689017848,0.0563677080973145,0.07057961534619726,0.0715596391330459,0,0,0,0
C11,Shooting,5,4.352368009011833e-06,4.690878361987268e-06,6.232842539312986e-06,6.406107998018787e-06,5,5,5,5
C11,Powell,5,2.148803667253077e-08,2.328512207805561e-08,2.7902967784531747e-08,2.8094986481815984e-08,5,5,5,5
C12,PINN,5,0.00263242942970164,0.0026636349523589,0.00346284909279052,0.0035673483585285,0,0,0,5
C12,GEP,5,0.0164969536935126,0.0090287556976715,0.03263044857658188,0.0343593095891529,0,0,0,3
C12,Shooting,5,2.868365764852244e-06,3.5240118711390443e-06,4.893650039517185e-06,4.898944444646672e-06,5,5,5,5
C12,Powell,5,2.132524627316328e-06,6.262940946221405e-09,8.51243865634608e-06,1.0637914301291885e-05,4,5,5,5
C20,PINN,4,0.00572168920329395,0.0049075798397052,0.01080815976022383,0.0114068946855066,0,0,0,3
C20,GEP,4,0.04996672378551535,0.0516691484126133,0.05823372713967008,0.05889086958553,0,0,0,0
C20,Shooting,4,2.9215909432212314e-06,3.2525672662073944e-06,4.208434799556442e-06,4.261542357836161e-06,4,4,4,4
C20,Powell,4,1.463309445071412e-08,1.3494189296714476e-08,2.0736468632530596e-08,2.1686893057555558e-08,4,4,4,4
C21,PINN,5,0.00357201384886068,0.0034215585360325,0.00714163400831342,0.0076667169819253,0,0,1,5
C21,GEP,5,0.033263246303607004,0.0360415984009462,0.05136392738545964,0.0537826026509766,0,0,0,0
C21,Shooting,5,5.295943431554061e-06,4.8758651600311446e-06,8.808018651600583e-06,9.646407466215203e-06,5,5,5,5
C21,Powell,5,1.1334590279137379e-08,1.2864189134410804e-08,1.87915577871432e-08,1.9697178849690124e-08,5,5,5,5
C22,PINN,3,0.007264613909567466,0.0077691322263075,0.00917845552458609,0.0093350470021726,0,0,0,3
C22,GEP,3,0.011179873561639334,0.0130641746456306,0.013256653541590011,0.0132780400855855,0,0,0,1
C22,Shooting,3,3.123035747515667e-06,2.4606067057053687e-06,4.564742606486163e-06,4.7985354843506965e-06,3,3,3,3
C22,Powell,3,3.1502812125992935e-08,1.4012239800576946e-08,6.350931132795453e-08,6.90089859421076e-08,3,3,3,3
C30,PINN,6,0.0047768493408557,0.0030058410990531498,0.012341808367838875,0.0141607493858211,0,0,1,5
C30,GEP,6,0.0265357298922877,0.0255106580740252,0.03183829190423568,0.0320637021504194,0,0,0,0
C30,Shooting,6,4.6321256600710334e-06,4.2805046324148604e-06,7.619027326176064e-06,8.055748287326897e-06,6,6,6,6
C30,Powell,6,1.8159408013083474e-08,1.7021078215478315e-08,2.8365355910108652e-08,3.0496526132309974e-08,6,6,6,6
C31,PINN,8,0.0035887664496721495,0.00351309969323795,0.006176968984994924,0.0068119510161219,0,0,0,8
C31,GEP,8,0.014248654881463676,0.015537641676556899,0.023590521575005366,0.0267836479727904,0,0,0,2
C31,Shooting,8,4.659338487733365e-06,4.260210775166163e-06,7.60769643946919e-06,8.899610947520146e-06,8,8,8,8
C31,Powell,8,1.435131970298315e-08,1.5655069610999238e-08,2.010403525311139e-08,2.095335883897774e-08,8,8,8,8
C32,PINN,2,0.00103651232498965,0.00103651232498965,0.001483366734842995,0.0015330172248267,0,0,1,2
C32,GEP,2,0.0029382858777110502,0.0029382858777110502,0.003017575110433735,0.0030263850251807,0,0,0,2
C32,Shooting,2,1.5617974251034713e-06,1.5617974251034713e-06,1.6032583378948337e-06,1.6078651059827628e-06,2,2,2,2
C32,Powell,2,1.5017223039725627e-08,1.5017223039725627e-08,2.0397250925765326e-08,2.099503180199196e-08,2,2,2,2
