[info] dataset: assets/pinn_supersonic/datasets/fixedM_M180_alpha_branch_pq_modal_anchors_tail_polished.npz
[info] run dir: assets/pinn_supersonic/runs/pinn_chart_M180_alpha_070_190_pq_supervised_tail_polished_asinh_w192_d6
[info] device: cuda
[info] n train rows: 216482
[info] n val rows: 216482
[info] n spectral anchors: 49
[epoch 003000] train=3.1795e-04 modal=3.1698e-04 spec=9.7805e-07 val=3.7090e-04
[epoch 003050] train=2.8043e-04 modal=2.8032e-04 spec=1.0677e-07 val=2.6231e-04
[epoch 003100] train=3.0437e-04 modal=3.0427e-04 spec=1.0669e-07 val=3.0513e-04
[epoch 003150] train=2.7001e-04 modal=2.6985e-04 spec=1.5135e-07 val=2.9108e-04
[epoch 003200] train=2.9056e-04 modal=2.8984e-04 spec=7.1558e-07 val=3.3134e-04
[epoch 003250] train=3.7192e-04 modal=3.7180e-04 spec=1.2153e-07 val=4.9581e-04
[epoch 003300] train=3.4020e-04 modal=3.4009e-04 spec=1.0659e-07 val=2.6265e-04
[epoch 003350] train=2.9291e-04 modal=2.9280e-04 spec=1.0660e-07 val=2.7154e-04
[epoch 003400] train=3.9294e-04 modal=3.9280e-04 spec=1.3667e-07 val=2.9799e-04
[epoch 003450] train=2.4101e-04 modal=2.4091e-04 spec=1.0659e-07 val=2.2782e-04
[epoch 003500] train=2.3776e-04 modal=2.3765e-04 spec=1.0663e-07 val=2.3840e-04
[epoch 003550] train=2.6615e-04 modal=2.6133e-04 spec=4.8220e-06 val=2.2851e-04
[epoch 003600] train=2.5897e-04 modal=2.5764e-04 spec=1.3316e-06 val=2.8463e-04
[epoch 003650] train=2.9363e-04 modal=2.9295e-04 spec=6.8215e-07 val=2.2337e-04
[epoch 003700] train=2.5130e-04 modal=2.5119e-04 spec=1.0659e-07 val=2.1866e-04
[epoch 003750] train=2.0692e-04 modal=2.0652e-04 spec=4.0670e-07 val=2.0493e-04
[epoch 003800] train=2.1559e-04 modal=2.0739e-04 spec=8.2001e-06 val=2.3004e-04
[epoch 003850] train=2.2167e-04 modal=2.2157e-04 spec=1.0644e-07 val=2.1648e-04
[epoch 003900] train=2.2869e-04 modal=2.2800e-04 spec=6.8813e-07 val=2.0580e-04
[epoch 003950] train=2.4028e-04 modal=2.4016e-04 spec=1.2162e-07 val=2.2427e-04
[epoch 004000] train=3.9939e-04 modal=3.9929e-04 spec=1.0642e-07 val=2.6060e-04
[epoch 004050] train=2.9079e-04 modal=2.8370e-04 spec=7.0901e-06 val=2.6416e-04
[epoch 004100] train=2.1863e-04 modal=2.1633e-04 spec=2.2971e-06 val=1.8642e-04
[epoch 004150] train=4.7698e-04 modal=4.7681e-04 spec=1.7236e-07 val=2.8232e-04
[epoch 004200] train=3.0586e-04 modal=3.0563e-04 spec=2.2583e-07 val=4.8700e-04
[epoch 004250] train=2.0991e-04 modal=2.0726e-04 spec=2.6545e-06 val=1.8475e-04
[epoch 004300] train=2.0228e-04 modal=2.0217e-04 spec=1.0633e-07 val=2.4406e-04
[epoch 004350] train=2.5610e-04 modal=2.5599e-04 spec=1.0723e-07 val=2.2938e-04
[epoch 004400] train=1.9404e-04 modal=1.9236e-04 spec=1.6727e-06 val=1.9453e-04
[epoch 004450] train=1.7979e-04 modal=1.7969e-04 spec=1.0661e-07 val=1.8636e-04
[epoch 004500] train=1.9061e-04 modal=1.9050e-04 spec=1.0719e-07 val=2.0646e-04
[epoch 004550] train=1.8020e-04 modal=1.8009e-04 spec=1.0888e-07 val=1.9463e-04
[epoch 004600] train=1.8278e-04 modal=1.7807e-04 spec=4.7119e-06 val=2.1597e-04
[epoch 004650] train=1.6193e-04 modal=1.6176e-04 spec=1.7438e-07 val=1.6816e-04
[epoch 004700] train=1.6084e-04 modal=1.6073e-04 spec=1.0611e-07 val=1.6976e-04
[epoch 004750] train=1.6393e-04 modal=1.6383e-04 spec=1.0639e-07 val=1.5748e-04
[epoch 004800] train=1.7648e-04 modal=1.7590e-04 spec=5.7310e-07 val=1.5807e-04
[epoch 004850] train=2.7316e-04 modal=2.7305e-04 spec=1.1048e-07 val=2.3646e-04
[epoch 004900] train=1.6453e-04 modal=1.6442e-04 spec=1.0602e-07 val=1.5065e-04
[epoch 004950] train=3.4771e-04 modal=3.4746e-04 spec=2.5546e-07 val=2.5613e-04
[epoch 005000] train=1.9132e-04 modal=1.8810e-04 spec=3.2144e-06 val=1.7277e-04
[epoch 005050] train=2.2464e-04 modal=2.2126e-04 spec=3.3861e-06 val=2.8461e-04
[epoch 005100] train=1.8771e-04 modal=1.8760e-04 spec=1.0582e-07 val=1.8789e-04
[epoch 005150] train=1.5141e-04 modal=1.5131e-04 spec=1.0578e-07 val=1.4501e-04
[epoch 005200] train=2.4414e-04 modal=2.4403e-04 spec=1.0585e-07 val=2.0658e-04
[epoch 005250] train=1.4773e-04 modal=1.4763e-04 spec=1.0606e-07 val=1.3809e-04
[epoch 005300] train=1.4353e-04 modal=1.4341e-04 spec=1.1873e-07 val=1.6190e-04
[epoch 005350] train=1.4589e-04 modal=1.4572e-04 spec=1.7296e-07 val=1.9296e-04
[epoch 005400] train=1.5682e-04 modal=1.5669e-04 spec=1.2966e-07 val=1.8207e-04
