source,row,alpha,Mach,cr,ci,alpha_col,mach_col,cr_col,ci_col,ci_abs_err,ci_rel_err,cr_abs_err,stage1_mismatch,stage2_mismatch,raw_status,strict_status,box_robustness_p_rel_l2_x1p50,box_robustness_u_rel_l2_x1p50,box_robustness_v_rel_l2_x1p50,box_robustness_p_rel_l2_x2p00,box_robustness_u_rel_l2_x2p00,box_robustness_v_rel_l2_x2p00,validation_level,err_cr_vs_blumen,err_ci_vs_blumen,best_err_cr_vs_blumen,best_err_ci_vs_blumen,best_stage1_mismatch,best_stage2_mismatch,err_cr_abs,err_ci_abs,box_validated,best_status,valid_spectral_candidate,valid_modal_candidate,best_err_cr_abs,best_err_ci_abs,best_err_ci_rel,anchor_alpha,continuation_anchor,continuation_accepted,err_ci_rel,status,best_raw_status,anchor_source_mode,accepted_modal,guide_err_cr_abs,guide_err_ci_abs,best_guide_err_cr_abs,best_guide_err_ci_abs,tail_ratio,summary_best_status,summary_best_stage1_mismatch,summary_best_stage2_mismatch,finite,unstable,reasonable_cr,status_text,has_bad_status,has_good_status,quality_flag,rank,Mach_round,alpha_round
assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/all_candidate_summaries_normalized.csv,3284,0.1,1.0,0.1401953124999999,0.1449414062499999,alpha,Mach,reference_cr,reference_ci,,,,,,,,,,,,,,,,,,,0.0175029954930914,5.6904714555819e-19,,,,validated,True,True,,,,,,,,,,,,,,,,,,,,True,True,True, nan nan nan nan validated true true nan nan nan nan nan,True,True,bad_status,4,1.0,0.1
assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/all_candidate_summaries_normalized.csv,3285,0.125,1.0,0.1401953124999999,0.1449414062499999,alpha,Mach,reference_cr,reference_ci,,,,,,,,,,,,,,,,,,,0.0185056336668891,4.926453509017499e-19,,,,validated,True,True,,,,,,,,,,,,,,,,,,,,True,True,True, nan nan nan nan validated true true nan nan nan nan nan,True,True,bad_status,4,1.0,0.125
assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/all_candidate_summaries_normalized.csv,3286,0.15,1.0,0.1401953124999999,0.1449414062499999,alpha,Mach,reference_cr,reference_ci,,,,,,,,,,,,,,,,,,,0.018464029226167,4.34535016293785e-19,,,,validated,True,True,,,,,,,,,,,,,,,,,,,,True,True,True, nan nan nan nan validated true true nan nan nan nan nan,True,True,bad_status,4,1.0,0.15
assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/all_candidate_summaries_normalized.csv,3287,0.175,1.0,0.0601953125,0.12994140625,alpha,Mach,reference_cr,reference_ci,,,,,,,,,,,,,,,,,,,0.007046756757331,6.376262561296269e-19,,,,validated,True,True,,,,,,,,,,,,,,,,,,,,True,True,True, nan nan nan nan validated true true nan nan nan nan nan,True,True,bad_status,4,1.0,0.175
assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/all_candidate_summaries_normalized.csv,3288,0.2,1.0,0.2000585937499999,0.10416015625,alpha,Mach,reference_cr,reference_ci,,,,,,,,,,,,,,,,,,,0.0269065983936397,4.671011207105442e-19,,,,validated,True,True,,,,,,,,,,,,,,,,,,,,True,True,True, nan nan nan nan validated true true nan nan nan nan nan,True,True,bad_status,4,1.0,0.2
assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/all_candidate_summaries_normalized.csv,3673,0.1,1.1,0.1401953124999999,0.1449414062499999,alpha,Mach,reference_cr,reference_ci,,,,,,,,,,,,,,,,,,,0.0069208286210808,4.2679345226404914e-19,,,,validated,True,True,,,,,,,,,,,,,,,,,,,,True,True,True, nan nan nan nan validated true true nan nan nan nan nan,True,True,bad_status,4,1.1,0.1
assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/all_candidate_summaries_normalized.csv,3674,0.125,1.1,0.2201171875,0.13306640625,alpha,Mach,reference_cr,reference_ci,,,,,,,,,,,,,,,,,,,0.0147700205454394,2.297946275652014e-19,,,,validated,True,True,,,,,,,,,,,,,,,,,,,,True,True,True, nan nan nan nan validated true true nan nan nan nan nan,True,True,bad_status,4,1.1,0.125
assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/all_candidate_summaries_normalized.csv,3675,0.15,1.1,0.230029296875,0.11529296875,alpha,Mach,reference_cr,reference_ci,,,,,,,,,,,,,,,,,,,0.0163876040740994,1.2743773330219302e-19,,,,validated,True,True,,,,,,,,,,,,,,,,,,,,True,True,True, nan nan nan nan validated true true nan nan nan nan nan,True,True,bad_status,4,1.1,0.15
assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/all_candidate_summaries_normalized.csv,3676,0.175,1.1,0.1547596582011082,0.095709327784898,alpha,Mach,reference_cr,reference_ci,,,,,,,,,,,,,,,,,,,9.209272529347948e-06,3.3933657261595065e-19,,,,validated,True,True,,,,,,,,,,,,,,,,,,,,True,True,True, nan nan nan nan validated true true nan nan nan nan nan,True,True,bad_status,4,1.1,0.175
assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/all_candidate_summaries_normalized.csv,3589,0.2,1.1,0.34,0.085,alpha,Mach,reference_cr,reference_ci,,,,,,,,,,,,,,,,,,,1.314381709687337e-05,2.9859546502175105e-19,,,,validated,True,True,,,,,,,,,,,,,,,,,,,,True,True,True, nan nan nan nan validated true true nan nan nan nan nan,True,True,bad_status,4,1.1,0.2
