step,ci_anchor_loss
1,0.01711243959057455
100,4.439020409946531e-06
200,1.4555129342586292e-08
300,2.329390605818376e-12
400,4.837563859729167e-17
500,1.2557716666688551e-21
600,2.242775333011255e-27
700,6.904023532982852e-28
800,5.937796998995208e-28
900,5.00607858722424e-28
1000,4.217722503510828e-28
1100,3.646956630418236e-28
1200,3.123933004475531e-28
1300,2.735922998508389e-28
1400,2.3671075834130594e-28
1500,2.098510368077216e-28
1600,1.855346098393745e-28
1700,1.6342634161854842e-28
1800,1.4390184741286605e-28
1900,1.2712268415366396e-28
2000,1.1514094925745391e-28
2100,1.0163128744417248e-28
2200,9.173447285362355e-29
2300,8.10800458329369e-29
2400,7.249495120412107e-29
2500,6.483299563391644e-29
2600,5.896203833231063e-29
2700,5.27688363935698e-29
2800,4.707464277571668e-29
2900,4.2220096323465285e-29
3000,3.8184977084961717e-29
