configuration,n_seeds,median_of_seed_medians,min_seed_median,max_seed_median,median_p95,max_over_seeds,min_fraction_lt_2e-2,median_pointwise_seed_std,p95_pointwise_seed_std,max_pointwise_seed_std
physics_only,3,0.2871998329304318,0.2859759912483553,0.2879823078058819,0.6181804280935894,0.6639439172084325,0.007481296758104738,0.0007076439214870334,0.001530416659079492,0.001542487763799727
ci4,3,0.12703070460187,0.12616056619511645,0.12773752628193896,0.5100215649440061,0.5677556117969447,0.09725685785536159,0.0003695909399539232,0.0009661177755333483,0.0010968190617859364
