step,ci_anchor_loss
1,0.0017301005606043104
100,7.452116509925718e-07
200,3.7443995797928196e-07
300,1.6039050827624896e-07
400,5.424510179940429e-08
500,1.488552931295211e-08
600,3.873441064000872e-09
700,1.4960735179170438e-09
800,1.0699369136672476e-09
900,9.795855334129543e-10
1000,9.33098165356961e-10
1100,8.90078094035558e-10
1200,8.463967031738216e-10
1300,8.019653833898944e-10
1400,7.570405432218445e-10
1500,7.118959665260743e-10
1600,6.667995824578193e-10
1700,6.220110535470519e-10
1800,5.77780205245688e-10
1900,5.34345297353624e-10
2000,4.919311670958587e-10
2100,4.507473120478301e-10
2200,4.109859799850914e-10
2300,3.7282033146045446e-10
2400,3.364027397498399e-10
2500,4.400040418264361e-09
2600,2.706245557607071e-10
2700,2.417854056443408e-10
2800,2.1484385609320176e-10
2900,2.2605104381711866e-10
3000,1.67353687703925e-10
