Mach,alpha,cr,ci,omega_i,ln_p_start_right_exact,max_y_limit_used,y,p_real,p_imag,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,setting,source,validation_status
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-1200.000000000055,0.00023092237570095708,-0.00015784485153227885,0.0007481884972711009,-0.0005114173189645835,0.00015645886175840205,-0.00011077038495287541,-0.00038510485287618487,0.0002616604105896488,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-611.9722617811068,-0.008709096073158212,0.0001260148846548769,-0.028217471277032603,0.0004082882262818007,-0.005966522489359314,0.00018465604905834414,0.014496916279086834,-0.00016928199786825655,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-410.632018668272,0.0037554884048232712,-0.028019362775679624,0.012167782431627397,-0.09078273539320197,0.0022571960771692328,-0.019242776756468606,-0.006381231203834363,0.04662090752503044,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-308.93160539315545,0.03220874612893427,-0.039849114735996366,0.10435633745774706,-0.12911113174462824,0.021621382967578248,-0.027670330072561384,-0.05379678205728575,0.06617936472007012,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-247.57758007122283,0.05774645512635948,-0.04522885648727559,0.18709851460940471,-0.14654149501877292,0.03906048218703843,-0.031645077419933415,-0.09632941596753561,0.07501529837197217,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-206.5348518193798,0.07920721506179118,-0.049204673088619345,0.2566313768002034,-0.1594231408071267,0.05372168162449235,-0.03461176061321799,-0.13206942539581693,0.08153333732514238,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-177.1497080746393,-0.11058671276711361,0.005583509815106587,-0.35830094936544815,0.018090571800945324,-0.07571698836281142,0.005074369878702777,0.18409804097880583,-0.008779891666636442,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-155.0730386366333,-0.11242397242223869,0.05686069969589528,-0.36425367064805336,0.18422866701470073,-0.0763971876415197,0.04023301894148618,0.1873944485043071,-0.09412247382258991,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-137.8798292298897,-0.11527314710393108,-0.07822636759003851,-0.3734849966167367,-0.25345343099172485,-0.07987439027347899,-0.05230380464641317,0.191509175895133,0.13074381435456423,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-124.11107602703734,0.13651542263262334,-0.06450974283214624,0.44230996932969974,-0.2090115667761539,0.09281961720456315,-0.04574649002229192,-0.22753032320103828,0.10674239075906079,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-112.83633474130508,-0.12102718810891036,0.10660040181703857,-0.3921280894728696,0.34538530188720507,-0.08173114125217193,0.07441446866807984,0.2019456765751642,-0.17687445972409502,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-103.43424391789652,0.15457261934734057,-0.07170634667970627,0.5008152866853836,-0.23232856324224826,0.10511215596744977,-0.050881813605345064,-0.2576200526021846,0.11863726102703877,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
