Mach,alpha,cr,ci,omega_i,ln_p_start_right_exact,max_y_limit_used,y,p_real,p_imag,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,setting,source,validation_status
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,-1999.9999999999343,1.826979330184982e-05,-1.1256374310660812e-05,5.919413029799341e-05,-3.647065276654104e-05,1.2309945496925252e-05,-7.747601635324324e-06,-3.0495118685917047e-05,1.8722299120913935e-05,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,-1179.6663837113076,-0.0003047128104817138,-0.0010505723950335534,-0.0009872695059607527,-0.003403854559908713,-0.00021332965866419085,-0.0007100799516336613,0.0005053539136539198,0.0017526666980267954,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,-836.4167479660698,0.002200551599770644,0.005222529337778009,0.007129787183256887,0.01692099505440075,0.001525297953877289,0.0035254574570774255,-0.0036557488691343907,-0.008714534516692395,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,-647.8206317999015,-0.001267343616933694,0.013934913312594135,-0.004106193318865168,0.04514911913280499,-0.0007687454536674022,0.0094529591786843,0.002150012375252483,-0.023233600431010245,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,-528.5746663278279,0.020579088845309013,0.013801668843882765,0.0666762478588012,0.04471740705418017,0.014037384400132831,0.00922119146125622,-0.03427999799907388,-0.02306890693892447,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,-446.36760082966265,-0.035668696629240694,0.008820440809570158,-0.11556657707873985,0.028578228223007315,-0.02411828150088404,0.006209243409663167,0.0595019632379597,-0.014614507233180345,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,-386.26228219886696,-0.027077188468113328,0.040849399657565295,-0.08773009063668719,0.13235205489051155,-0.01808777085612347,0.027862079521652733,0.045259629714419936,-0.06804648301628549,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,-340.40165958749776,0.018532352709571667,0.058174569306916314,0.060044822779012186,0.18848560455440888,0.012937474163184137,0.03930934145044458,-0.03075021476193851,-0.09705682178699165,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,-304.25831215571657,-0.011595271808395344,-0.07166982005946435,-0.037568680659200916,-0.23221021699266453,-0.008323068692092352,-0.04850101989952498,0.019146882192942104,0.11954234834331069,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,-275.039637930475,-0.014365103749240039,-0.08226934644746625,-0.046542936147537725,-0.26655268248979064,-0.010269027910175978,-0.05566719199813523,0.023737773789133866,0.13722470424348163,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
