Mach,alpha,priority,reason
1.1,0.125,medium,large_gap_0.100
1.2,0.325,medium,extend_high_alpha_if_needed
1.25,0.325,medium,extend_high_alpha_if_needed
1.3,0.325,medium,extend_high_alpha_if_needed
