Mach,n_points,alpha_min,alpha_max,max_alpha_gap,n_strict,n_tail_sensitive,n_boundary_flag
1.1,9,0.05,0.325,0.09999999999999999,6,1,2
1.2,14,0.05,0.3,0.025000000000000022,7,1,2
1.25,11,0.05,0.3,0.025000000000000022,8,2,1
1.3,13,0.05,0.275,0.025000000000000105,3,1,0
1.33,9,0.05,0.225,0.02500000000000001,8,0,0
1.4,14,0.05,0.225,0.02500000000000001,2,1,0
1.5,12,0.05,0.2,0.025000000000000022,3,1,0
1.6,6,0.05,0.175,0.02500000000000001,1,3,0
1.7,6,0.075,0.2,0.025000000000000022,0,2,0
1.8,49,0.07,0.19,0.0025000000000000022,0,49,0
1.9,40,0.08,0.1775,0.0025000000000000022,0,40,0
