chart_id,n_points,n_charts,median_e_joint,median_e_anchor,median_delta_e,mean_delta_e,fraction_physics_better,median_delta_e_prefit,median_delta_e_rel_reg
ETAEDGE_HM1,3.0,1.0,0.0001636699812559,0.0001700765082369,-6.406526981028726e-06,-6.064243095534512e-06,1.0,2.5843332352004644e-05,-1.040983164130255e-05
ETAEDGE_HM2A,13.0,1.0,9.916671813192668e-05,7.940976772369268e-05,1.0840319346172578e-05,5.865487746913568e-06,0.3076923076923077,4.706777782859106e-06,2.07323193901179e-05
ETAEDGE_HM2B,32.0,1.0,5.0594508982315656e-05,5.1346883058578374e-05,-4.52950553175846e-07,2.6581420164116515e-07,0.53125,-1.919384924331524e-06,-8.950790585030365e-07
ETAEDGE_LM,4.0,1.0,0.00019688565339426195,0.00019170967452419125,4.653808687637984e-06,4.914893778851237e-06,0.25,3.274949419485029e-05,5.150672411819055e-06
ETAEDGE_MM,1.0,1.0,5.593942141302044e-05,7.4842524440899e-05,-1.8903103027878565e-05,-1.8903103027878565e-05,1.0,-0.0002158889455535,-2.527028885962133e-05
HIGH_HIM,6.0,1.0,9.306325073103852e-05,9.77393470814755e-05,-4.470310686802148e-06,-3.895978281491981e-06,1.0,-2.264133494134235e-05,-1.7868497256768238e-05
HIGH_LOWM_COMPACTY,10.0,1.0,6.759993372892903e-05,7.360213204893329e-05,-2.5464818360909636e-06,-4.125547535865914e-06,0.6,-5.926211395029801e-06,-9.806607833833295e-06
HM1_HIGH,3.0,1.0,0.000370322448894,0.0003676314023938,1.1905684461910315e-06,1.6831096767237301e-06,0.0,1.0488287557480769e-05,6.114572040887636e-06
HM1_LOW,8.0,1.0,0.00037401392241735,0.00037323710411490003,1.9911771073632956e-07,1.4645705050803093e-07,0.5,1.8316135876939033e-05,6.040762975645896e-07
HM1_MID,5.0,1.0,0.0004878176248286,0.0004825112385332,1.3242371343924475e-06,1.5827542868718236e-06,0.2,2.766759171624056e-05,5.42808747608977e-06
HM1_NEUTRAL1,6.0,1.0,0.00022642922943775,0.0002257802317822,8.355451330821495e-09,1.4279120529268437e-07,0.5,4.870802458585566e-05,-5.960267131202741e-07
HM1_NEUTRAL2,4.0,1.0,0.00028526738061215,0.00028538468670945,2.7311524869108594e-07,1.0173595982147787e-07,0.5,2.4023433472575295e-05,1.22155837222436e-06
HM1_NEUTRAL3,12.0,1.0,0.0001499080665804,0.00014833083025045,1.3066299782904175e-06,1.655797365328858e-06,0.08333333333333333,1.3054747982649967e-05,2.613259956580835e-05
HM1_VLOW_EXTREME,1.0,1.0,6.866296605234634e-05,6.637788381869125e-05,2.285082233655089e-06,2.285082233655089e-06,0.0,-2.577563308570064e-06,4.156068267524601e-06
HM1_VLOW_MOD,10.0,1.0,0.00019596348996195,0.00022627321270535,-1.4864644227230439e-05,-1.680508633541966e-05,0.8,-2.219397530681122e-05,-3.056496970753283e-05
HM2_HIGH,6.0,1.0,0.00098014705185735,0.00098812764257715,-6.617130698771678e-06,-6.320186027475305e-06,0.8333333333333334,2.3630549103731413e-06,-3.168801123879828e-05
HM2_LOW,6.0,1.0,0.00085823183311595,0.0008635327206661,-3.3950419630335293e-06,-4.029145510185221e-06,0.8333333333333334,-2.1222685357674687e-05,-9.053092237755705e-06
HM2_MID,8.0,1.0,0.0012502559700386,0.00124936755737665,1.2155704825767e-06,1.2511606211594584e-06,0.375,2.594505330100194e-05,4.141719991496531e-06
