alpha,Mach,n_points,family,cand_cr,cand_ci,cand_omega_i,distance_to_shooting,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success,reference_high_cr,reference_high_ci,overlap_to_reference_high,peak_y,peak_amp,centroid_y,spread_y,phase_span
0.15,1.3,561,high,0.6090442423426146,0.00799230682943862,0.001198846024415793,0.3628808987271769,0.26794921875,0.0699130859375,0.010486962890624998,True,0.6090442423426146,0.00799230682943862,1.0,-7.105263157894739,1.0,-0.826181811240873,2.7262138746285967,3.0829835795873026
0.15,1.3,561,low,0.2693216958292711,0.006067638092370544,0.0009101457138555815,0.12769827146642865,0.26794921875,0.0699130859375,0.010486962890624998,True,0.6090442423426146,0.00799230682943862,0.07760096077665071,-7.105263157894739,1.0,-0.5763858885894957,2.35196533074269,0.03407824481357816
0.15,1.3,801,high,0.6057072909569022,0.005253227288948325,0.0007879840933422488,0.3616685010098692,0.26794921875,0.0699130859375,0.010486962890624998,True,0.6057072909569022,0.005253227288948325,0.9999999999999994,-7.105263157894739,1.0,-0.851055078508889,2.7269978459163595,3.1020080145958726
0.15,1.3,801,low,0.2701455002308916,0.0038948440608724657,0.0005842266091308698,0.13205474885162932,0.26794921875,0.0699130859375,0.010486962890624998,True,0.6057072909569022,0.005253227288948325,0.08263138930698832,-7.105263157894739,1.0,-0.5769948055596595,2.345083153531652,0.021954773812848195
0.15,1.35,561,high,0.7614289482941206,0.009090467681400625,0.0013635701522100936,0.018179089900763886,0.76150390625,1e-06,1.5e-07,True,0.6090442423426146,0.00799230682943862,0.840408747923839,-7.105263157894739,1.0,0.023778504273240485,2.191780912645199,3.117263610610145
0.15,1.35,561,low,0.7614289482941206,0.009090467681400625,0.0013635701522100936,0.018179089900763886,0.76150390625,1e-06,1.5e-07,True,0.6090442423426146,0.00799230682943862,0.840408747923839,-7.105263157894739,1.0,0.023778504273240485,2.191780912645199,3.117263610610145
0.15,1.35,801,high,0.7593919481858553,0.006293385780927751,0.0009440078671391625,0.012760753979635867,0.76150390625,1e-06,1.5e-07,True,0.6057072909569022,0.005253227288948325,0.8341254192665466,-7.105263157894739,1.0,0.02231770028081949,2.1882112991505527,3.124648523529601
0.15,1.35,801,low,0.7593919481858553,0.006293385780927751,0.0009440078671391625,0.012760753979635867,0.76150390625,1e-06,1.5e-07,True,0.6057072909569022,0.005253227288948325,0.8341254192665466,-7.105263157894739,1.0,0.02231770028081949,2.1882112991505527,3.124648523529601
0.15,1.4,561,high,0.7667155001745151,0.008119027232432987,0.001217854084864948,0.01700786775796188,0.7615039062499999,2.4170000241126547e-05,3.6255000361689818e-06,True,0.6090442423426146,0.00799230682943862,0.7969515366824858,-7.105263157894739,1.0,0.09619702812898265,2.1021281558804517,3.123929510284927
0.15,1.4,561,low,0.7667155001745151,0.008119027232432987,0.001217854084864948,0.01700786775796188,0.7615039062499999,2.4170000241126547e-05,3.6255000361689818e-06,True,0.6090442423426146,0.00799230682943862,0.7969515366824858,-7.105263157894739,1.0,0.09619702812898265,2.1021281558804517,3.123929510284927
0.15,1.4,801,high,0.7629874047101248,0.005340146648434489,0.0008010219972651733,0.010734952192615565,0.7615039062499999,2.4170000241126547e-05,3.6255000361689818e-06,True,0.6057072909569022,0.005253227288948325,0.7888774087434796,-7.105263157894739,0.9999999999999999,0.09565838317236727,2.09646632873476,3.129921477958921
0.15,1.4,801,low,0.7629874047101248,0.005340146648434489,0.0008010219972651733,0.010734952192615565,0.7615039062499999,2.4170000241126547e-05,3.6255000361689818e-06,True,0.6057072909569022,0.005253227288948325,0.7888774087434796,-7.105263157894739,0.9999999999999999,0.09565838317236727,2.09646632873476,3.129921477958921
0.15,1.45,561,high,0.7665352357617339,0.006930209585365338,0.0010395314378048007,0.014730408424150916,0.7615039062499999,7.951000072337961e-06,1.1926500108506942e-06,True,0.6090442423426146,0.00799230682943862,0.7613895172284824,-7.105263157894739,1.0,0.14029216101316414,2.033855502411659,3.1290950617609816
0.15,1.45,561,low,0.7665352357617339,0.006930209585365338,0.0010395314378048007,0.014730408424150916,0.7615039062499999,7.951000072337961e-06,1.1926500108506942e-06,True,0.6090442423426146,0.00799230682943862,0.7613895172284824,-7.105263157894739,1.0,0.14029216101316414,2.033855502411659,3.1290950617609816
0.15,1.45,801,high,0.7629124323318419,0.004528894600950188,0.0006793341901425282,0.009150938197392815,0.7615039062499999,7.951000072337961e-06,1.1926500108506942e-06,True,0.6057072909569022,0.005253227288948325,0.7526627475069849,-7.105263157894739,1.0,0.14004131087065771,2.028348237474062,3.133363445506439
0.15,1.45,801,low,0.7629124323318419,0.004528894600950188,0.0006793341901425282,0.009150938197392815,0.7615039062499999,7.951000072337961e-06,1.1926500108506942e-06,True,0.6057072909569022,0.005253227288948325,0.7526627475069849,-7.105263157894739,1.0,0.14004131087065771,2.028348237474062,3.133363445506439
0.15,1.5,561,high,0.766494271686498,0.006333110114848526,0.0009499665172272788,0.013599055059037747,0.7615039062499999,7.951000072337961e-06,1.1926500108506942e-06,True,0.6090442423426146,0.00799230682943862,0.7319935601279562,-7.105263157894739,1.0,0.16789624997064334,1.981845343783718,3.1321007216554237
0.15,1.5,561,low,0.766494271686498,0.006333110114848526,0.0009499665172272788,0.013599055059037747,0.7615039062499999,7.951000072337961e-06,1.1926500108506942e-06,True,0.6090442423426146,0.00799230682943862,0.7319935601279562,-7.105263157894739,1.0,0.16789624997064334,1.981845343783718,3.1321007216554237
0.15,1.5,801,high,0.7628971056149805,0.0041175768770324115,0.0006176365315548617,0.008336492299816619,0.7615039062499999,7.951000072337961e-06,1.1926500108506942e-06,True,0.6057072909569022,0.005253227288948325,0.7226073465663473,-7.105263157894739,1.0,0.16800931048822867,1.9761271046385867,3.1353735620541734
0.15,1.5,801,low,0.7628971056149805,0.0041175768770324115,0.0006176365315548617,0.008336492299816619,0.7615039062499999,7.951000072337961e-06,1.1926500108506942e-06,True,0.6057072909569022,0.005253227288948325,0.7226073465663473,-7.105263157894739,1.0,0.16800931048822867,1.9761271046385867,3.1353735620541734
