alpha,Mach,N,mapping_kind,mapping_scale,cubic_delta,xi_max,shooting_cr,shooting_ci,gep_cr,gep_ci,gep_omega_i,distance_to_shooting,selection_source,n_finite_modes,success
0.21,1.8,721,cubic,5.0,0.4,0.98,0.4845833333333332,0.00654379427083333,0.48486805272400696,0.0061281118111345435,0.001286903480338254,0.0008787677512463519,nearest_to_target,192,True
0.21,1.8,721,pin,1.5,0.2,0.9,0.4845833333333332,0.00654379427083333,0.4859704563339956,0.006182687900897659,0.0012983644591885082,0.0015638738633915288,nearest_to_target,194,True
0.21,1.8,641,pin,1.5,0.2,0.9,0.4845833333333332,0.00654379427083333,0.4865539346925534,0.007111585076210684,0.0014934328660042436,0.0022743824022456857,nearest_to_target,179,True
0.21,1.8,641,cubic,5.0,0.2,0.98,0.4845833333333332,0.00654379427083333,0.4838890987794484,0.007935141488569003,0.0016663797125994904,0.0028679870880132636,nearest_to_target,174,True
0.21,1.8,641,cubic,5.0,0.1,0.98,0.4845833333333332,0.00654379427083333,0.4859335991331163,0.007980670536040013,0.0016759408125684026,0.0031751647730662884,nearest_to_target,168,True
0.21,1.8,721,cubic,5.0,0.2,0.98,0.4845833333333332,0.00654379427083333,0.48157400190259253,0.007158747033626308,0.0015033368770615246,0.0032509603599414363,nearest_to_target,194,True
0.21,1.8,641,cubic,5.0,0.4,0.98,0.4845833333333332,0.00654379427083333,0.4816291301424819,0.0076010729967383025,0.0015962253293150435,0.0036329973451464433,nearest_to_target,171,True
0.21,1.8,721,pin,2.0,0.2,0.9,0.4845833333333332,0.00654379427083333,0.4852781659391167,0.008587381886564186,0.001803350196178479,0.004145816412087493,nearest_to_target,174,True
0.21,1.8,721,cubic,5.0,0.1,0.98,0.4845833333333332,0.00654379427083333,0.48072665719423313,0.007540394575674789,0.0015834828608917056,0.004341290074660315,nearest_to_target,188,True
0.21,1.8,561,pin,1.5,0.2,0.9,0.4845833333333332,0.00654379427083333,0.4873002394566808,0.008328081273394116,0.0017488970674127643,0.004485119765749066,nearest_to_target,156,True
0.21,1.8,561,cubic,5.0,0.2,0.98,0.4845833333333332,0.00654379427083333,0.4868897251224585,0.00892137308031609,0.001873488346866379,0.005284975597498097,nearest_to_target,160,True
0.21,1.8,561,cubic,5.0,0.4,0.98,0.4845833333333332,0.00654379427083333,0.49156763933200165,0.007614114670554656,0.0015989640808164777,0.007304989617738999,nearest_to_target,142,True
0.21,1.8,641,pin,2.0,0.2,0.9,0.4845833333333332,0.00654379427083333,0.48028773677728076,0.009748042178767805,0.002047088857541239,0.0077149833696761394,nearest_to_target,187,True
0.21,1.8,561,cubic,5.0,0.4,0.95,0.4845833333333332,0.00654379427083333,0.48272737640520336,0.0024165369990531743,0.0005074727698011666,0.00846059019625238,nearest_to_target,150,True
0.21,1.8,561,cubic,5.0,0.1,0.98,0.4845833333333332,0.00654379427083333,0.49293697776369644,0.00840702030209533,0.0017654742634400193,0.009147120871795023,nearest_to_target,158,True
0.21,1.8,721,pin,3.0,0.2,0.9,0.4845833333333332,0.00654379427083333,0.4894126144543959,0.010713867022456833,0.002249912074715935,0.009637426168930357,nearest_to_target,185,True
0.21,1.8,641,cubic,5.0,0.4,0.95,0.4845833333333332,0.00654379427083333,0.4831100297830408,0.00174622103763859,0.0003667064179041039,0.009707598006858892,nearest_to_target,178,True
0.21,1.8,561,pin,2.0,0.2,0.9,0.4845833333333332,0.00654379427083333,0.4857775549595326,0.011503483858405912,0.0024157316102652415,0.009991008383180646,nearest_to_target,165,True
0.21,1.8,721,pin,1.5,0.2,0.95,0.4845833333333332,0.00654379427083333,0.480887206289269,0.01123158209082641,0.002358632239073546,0.010077835765032319,nearest_to_target,205,True
0.21,1.8,641,cubic,5.0,0.2,0.95,0.4845833333333332,0.00654379427083333,0.48359747244530493,0.0014292489478968603,0.00030014227905834066,0.010276488560399859,nearest_to_target,173,True
0.21,1.8,561,cubic,5.0,0.1,0.95,0.4845833333333332,0.00654379427083333,0.48015177101780665,0.0018482851480609152,0.00038813988109279217,0.010384120966386655,nearest_to_target,151,True
0.21,1.8,641,cubic,5.0,0.1,0.95,0.4845833333333332,0.00654379427083333,0.4848152039261982,0.001233671126070762,0.00025907093647486003,0.010622777189699876,nearest_to_target,170,True
0.21,1.8,561,cubic,5.0,0.2,0.95,0.4845833333333332,0.00654379427083333,0.49136902863335097,0.0024289252322393343,0.0005100742987702602,0.010666501278479328,nearest_to_target,146,True
0.21,1.8,721,cubic,5.0,0.4,0.95,0.4845833333333332,0.00654379427083333,0.48340457398795594,0.001217600261800311,0.00025569605497806526,0.010717408459219566,nearest_to_target,191,True
0.21,1.8,641,pin,3.0,0.2,0.9,0.4845833333333332,0.00654379427083333,0.487233808835631,0.012262794844062631,0.0025751869172531525,0.0117410770636543,nearest_to_target,169,True
0.21,1.8,721,cubic,5.0,0.2,0.95,0.4845833333333332,0.00654379427083333,0.49027102663035266,0.001061784024129872,0.0002229746450672731,0.012351501949998102,nearest_to_target,191,True
0.21,1.8,721,cubic,5.0,0.1,0.95,0.4845833333333332,0.00654379427083333,0.4884392709390871,0.0006644425207694823,0.00013953292936159128,0.012374787384976866,nearest_to_target,178,True
0.21,1.8,721,cubic,1.5,0.4,0.98,0.4845833333333332,0.00654379427083333,0.484546134765015,7.668332350973085e-14,1.610349793704348e-14,0.013087641405747445,nearest_to_target,182,True
0.21,1.8,561,cubic,2.0,0.1,0.98,0.4845833333333332,0.00654379427083333,0.4845177049878244,3.7325310549862944e-14,7.838315215471217e-15,0.013087753088813398,nearest_to_target,143,True
0.21,1.8,561,cubic,3.0,0.2,0.95,0.4845833333333332,0.00654379427083333,0.4846852009782593,1.9246778367256425e-14,4.041823457123849e-15,0.013087984980585807,nearest_to_target,154,True
