alpha,Mach,rank,cand_cr,cand_ci,cand_omega_i,distance_to_previous,distance_to_shooting,peak_y,peak_amp,centroid_y,spread_y,phase_span,overlap_to_previous,overlap_to_reference,blumen_ci_target,blumen_ci_abs_err,cr_floor_term,score,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.2,1.3,1,0.766497361544398,0.00500183734569255,0.0010003674691385102,0.0,0.01113277323570164,-7.105263157894739,0.9999999999999999,0.15629807641996515,1.8390818595481089,3.136892957776151,1.0,1.0,0.020247231045348518,0.015245393699655968,0.0,0.12857159404790436,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,2,0.7575074975335041,0.005181224589096918,0.0010362449178193836,0.008997020288225955,0.011142424585651766,-7.105263157894739,1.0,0.1553552238981706,1.842952438958244,3.136594671081535,0.9999659312942987,0.9999659312942987,0.020247231045348518,0.015066006456251599,0.0,0.22829137445274642,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,3,0.7753914565025086,0.004824196553497808,0.0009648393106995616,0.008901188130137226,0.016823631089902893,-7.105263157894739,1.0,0.15714318551782167,1.8355037946238004,3.137289215233189,0.9999681200226698,0.9999681200226698,0.020247231045348518,0.01542303449185071,0.0,0.23568240164295853,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,4,0.7484272733489573,0.005362495121827104,0.001072499024365421,0.018084479077843208,0.016991644917712736,-7.105263157894739,1.0,0.15424910967099964,1.8471643776328324,3.136302696324491,0.9998590893700596,0.9998590893700596,0.020247231045348518,0.014884735923521413,0.0,0.3350852201497233,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,5,0.7841842500810048,0.0046481952030227565,0.0009296390406045513,0.017701024749054568,0.0244145339577795,-7.105263157894739,1.0,0.15786873684498037,1.8322288105419036,3.1376611510580155,0.9998766144297484,0.9998766144297484,0.020247231045348518,0.015599035842325762,0.0,0.3400955038770951,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,6,0.7928700944120914,0.004473753209893729,0.0008947506419787458,0.026393872969472473,0.03251670452378059,-7.105263157894739,1.0,0.15848213324460644,1.8292472711895884,3.138009967175425,0.9997313418907104,0.9997313418907104,0.020247231045348518,0.01577347783545479,0.0,0.4411155580967286,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,7,0.7392619678902997,0.005545819239770924,0.0011091638479541848,0.027257115267357874,0.024946512611111814,-7.105263157894739,1.0,0.15302777349549818,1.8516914006011858,3.135990462145516,0.9996721084461213,0.9996721084461213,0.020247231045348518,0.014701411805577594,0.0,0.4471428559692483,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,8,0.8014432354091343,0.004300815082165656,0.0008601630164331312,0.034973987891372994,0.04075283805779139,-7.105263157894739,1.0,0.15904160528355452,1.8265145069383137,3.1383367757213776,0.9995377308891532,0.9995377308891532,0.020247231045348518,0.015946415963182862,0.0,0.539360617053382,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,9,0.7300167249346539,0.0057314052590683165,0.0011462810518136632,0.03650980587202719,0.033606003110356074,-7.105263157894739,1.0,0.151635226990867,1.8565751691464556,3.135656451021953,0.9993970385481694,0.9993970385481694,0.020247231045348518,0.0145158257862802,0.0,0.5645137635918904,0.7616080729166668,1e-06,2e-07,True
0.2,1.3,10,0.8098978235422346,0.0041293480351578685,0.0008258696070315738,0.04343552753235135,0.04899054036726985,-7.105263157894739,1.0,0.15949772849644905,1.8240621613037107,3.1386425551122503,0.9993008115017368,0.9993008115017368,0.020247231045348518,0.01611788301019065,0.0,0.6340603387979951,0.7616080729166668,1e-06,2e-07,True
