alpha,Mach,n_points,n_finite_modes,nearest_cr,nearest_ci,nearest_distance_to_shooting,best_high_cr,best_high_ci,best_high_distance_to_shooting,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.15,1.3,561,149,0.2693216958292711,0.006067638092370544,0.12769827146642865,0.6090442423426146,0.00799230682943862,0.3628808987271769,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,801,211,0.2701455002308916,0.0038948440608724657,0.13205474885162932,,,,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.35,561,150,0.7614289482941206,0.009090467681400625,0.018179089900763886,0.7614289482941206,0.009090467681400625,0.018179089900763886,0.76150390625,1e-06,1.5e-07,True
0.15,1.35,801,209,0.7593919481858553,0.006293385780927751,0.012760753979635867,0.7593919481858553,0.006293385780927751,0.012760753979635867,0.76150390625,1e-06,1.5e-07,True
0.15,1.4,561,149,0.7667155001745151,0.008119027232432987,0.01700786775796188,0.7667155001745151,0.008119027232432987,0.01700786775796188,0.7615039062499999,2.4170000241126547e-05,3.6255000361689818e-06,True
0.15,1.4,801,210,0.7629874047101248,0.005340146648434489,0.010734952192615565,0.7629874047101248,0.005340146648434489,0.010734952192615565,0.7615039062499999,2.4170000241126547e-05,3.6255000361689818e-06,True
0.15,1.45,561,148,0.7665352357617339,0.006930209585365338,0.014730408424150916,0.7665352357617339,0.006930209585365338,0.014730408424150916,0.7615039062499999,7.951000072337961e-06,1.1926500108506942e-06,True
0.15,1.45,801,205,0.7629124323318419,0.004528894600950188,0.009150938197392815,0.7629124323318419,0.004528894600950188,0.009150938197392815,0.7615039062499999,7.951000072337961e-06,1.1926500108506942e-06,True
0.15,1.5,561,149,0.766494271686498,0.006333110114848526,0.013599055059037747,0.766494271686498,0.006333110114848526,0.013599055059037747,0.7615039062499999,7.951000072337961e-06,1.1926500108506942e-06,True
0.15,1.5,801,209,0.7628971056149805,0.0041175768770324115,0.008336492299816619,0.7628971056149805,0.0041175768770324115,0.008336492299816619,0.7615039062499999,7.951000072337961e-06,1.1926500108506942e-06,True
