alpha,Mach,rank,cand_cr,cand_ci,cand_omega_i,distance_to_shooting,peak_y,peak_amp,centroid_y,spread_y,phase_span,overlap_to_reference_high,overlap_to_previous,cr_floor_term,score,shooting_cr,shooting_ci
0.2,1.2,1,0.7575548454443385,0.006126526040807728,0.0012253052081615456,0.5302580611449659,-7.105263157894739,1.0,0.13046127717114128,1.9297400292672269,3.1313234667794463,0.9880030452617432,0.9880030452617432,0.0,0.31739105355056224,0.23985351562499993,0.06348274739583332
0.2,1.2,2,0.7484829188797051,0.006391438858160277,0.0012782877716320555,0.521288346212931,-7.105263157894739,1.0,0.1255886613964503,1.9377058634223483,3.1304733483489797,0.9861113704115636,0.9861113704115636,0.0,0.32329835352413255,0.23985351562499993,0.06348274739583332
0.2,1.2,3,0.7393282986661016,0.006669367388974467,0.0013338734777948935,0.5122363707168505,-7.105263157894739,1.0,0.12036575398885574,1.9461959280410717,3.129605480663767,0.9840032951171356,0.9840032951171356,0.0,0.33006049957638295,0.23985351562499993,0.06348274739583332
0.2,1.2,4,0.7300970936034182,0.006963161617457078,0.0013926323234914157,0.5031069668125442,-7.105263157894739,1.0,0.11473787227352741,1.9552473391880139,3.1287643510085346,0.9816603141511571,0.9816603141511571,0.0,0.3377528038672063,0.23985351562499993,0.06348274739583332
0.2,1.2,5,0.7207958058358349,0.007276690383437702,0.0014553380766875405,0.4939048186571636,-7.105263157894739,1.0,0.10866441444952243,1.9648923450436149,3.1278319438250626,0.9790622668335848,0.9790622668335848,0.0,0.346465697719378,0.23985351562499993,0.06348274739583332
0.2,1.2,6,0.7114317311759489,0.007615345256344387,0.0015230690512688773,0.4846345838562069,-7.105263157894739,1.0,0.10212322825967861,1.9751584504227038,3.1267885356792156,0.9761869699119725,0.9761869699119725,0.0,0.3562846643111146,0.23985351562499993,0.06348274739583332
0.2,1.2,7,0.7020137745104236,0.007986872651125847,0.0015973745302251695,0.47530124484137726,-7.105263157894739,1.0,0.09504373228614525,1.9860947962178583,3.1256059432394707,0.9730096227033282,0.9730096227033282,0.0,0.3673173246816703,0.23985351562499993,0.06348274739583332
0.2,1.2,8,0.6925542501020727,0.008402770490320148,0.0016805540980640297,0.4659111185835005,-7.105263157894739,1.0,0.08737045248424997,1.9977501515381781,3.124241351887672,0.9695018055013718,0.9695018055013718,0.0,0.37968295039668054,0.23985351562499993,0.06348274739583332
0.2,1.2,9,0.6830732689194093,0.008880525423872018,0.0017761050847744037,0.45647492843250276,-7.105263157894739,1.0,0.07904952903367553,2.0101798552899575,3.1226243393025346,0.9656301515237715,0.9656301515237715,0.0,0.39352293292227203,0.23985351562499993,0.06348274739583332
0.2,1.2,10,0.6736106410336452,0.009445925623019628,0.0018891851246039257,0.44701807152731377,-7.105263157894739,1.0,0.06997517269324516,2.0234515470833667,3.1206275175540235,0.9613584737037639,0.9613584737037639,0.0,0.40900936132990173,0.23985351562499993,0.06348274739583332
0.2,1.2,11,0.6642597736591163,0.01012404970137829,0.002024809940275658,0.4376177262601618,-7.105263157894739,0.9999999999999999,0.060157349457549136,2.0374484730548463,3.118010275204356,0.9566940452510839,0.9566940452510839,0.0,0.4261372992636674,0.23985351562499993,0.06348274739583332
0.2,1.2,12,0.6552265310381029,0.010838822046014763,0.0021677644092029527,0.4285093621361416,-7.105263157894739,1.0,0.05028479404909151,2.0506243633063903,3.114600373771029,0.9520852069737625,0.9520852069737625,0.0,0.44305218591818213,0.23985351562499993,0.06348274739583332
0.2,1.2,13,0.6465898458932108,0.011143298846931337,0.0022286597693862674,0.41999061163038365,-7.105263157894739,1.0,0.04268920486300781,2.0594386473687107,3.1124723537304018,0.948772273047976,0.948772273047976,0.0,0.4543846225961099,0.23985351562499993,0.06348274739583332
0.2,1.2,14,0.6377451425588571,0.010791715888028755,0.002158343177605751,0.41161040558943307,-7.105263157894739,1.0,0.033863089523438604,2.071064469946616,3.1135209745375434,0.9446420277824468,0.9446420277824468,0.0,0.4689011677940872,0.23985351562499993,0.06348274739583332
0.2,1.2,15,0.6283986476560927,0.010287583870267859,0.002057516774053572,0.40284764032460946,-7.105263157894739,0.9999999999999999,0.02162704064727924,2.0875899301265384,3.11453928133671,0.9387322440442198,0.9387322440442198,0.0,0.49071290496679243,0.23985351562499993,0.06348274739583332
0.2,1.2,16,0.6187681989175434,0.009882834280510577,0.0019765668561021153,0.3937869220258199,-7.105263157894739,1.0,0.007663746242682863,2.1057366295875664,3.1148456459039355,0.9320448873579068,0.9320448873579068,0.0,0.5156584602502051,0.23985351562499993,0.06348274739583332
0.2,1.2,17,0.6090012944588794,0.00957940912492088,0.001915881824984176,0.3845677601216468,-7.105263157894739,1.0,-0.007635583196290846,2.1248845663442952,3.114702680262705,0.9247958767391471,0.9247958767391471,0.0,0.542856849426195,0.23985351562499993,0.06348274739583332
0.2,1.2,18,0.5991579150456476,0.009348289819816981,0.0018696579639633963,0.3752623208253534,-7.105263157894739,1.0,-0.02434870420480295,2.145058128323584,3.1142653614714275,0.9169773841277165,0.9169773841277165,0.0008420849543523401,0.573535651964441,0.23985351562499993,0.06348274739583332
0.2,1.2,19,0.5892643849198655,0.00916767808423993,0.001833535616847986,0.3659077241582725,-7.105263157894739,1.0,-0.042630883004338364,2.166344825391992,3.1136060690528975,0.9085530175070852,0.9085530175070852,0.01073561508013443,0.6193518151147671,0.23985351562499993,0.06348274739583332
0.2,1.2,20,0.5793342672644561,0.009023228889191957,0.0018046457778383915,0.35652564754529376,-7.105263157894739,1.0,-0.06266916053445841,2.1888317856560486,3.112758625901102,0.8994842244178445,0.8994842244178445,0.02066573273554384,0.6678591819798042,0.23985351562499993,0.06348274739583332
0.2,1.2,21,0.5693756885320099,0.00890539984671933,0.001781079969343866,0.3471305372613371,-7.105263157894739,1.0,-0.084683673075149,2.212601531264861,3.1117372438572497,0.8897334851098838,0.8897334851098838,0.03062431146799005,0.719221404776247,0.23985351562499993,0.06348274739583332
0.2,1.2,22,0.5593941621478089,0.008807610903040056,0.0017615221806080114,0.33773318904460226,-7.105263157894739,1.0,-0.10892349795805216,2.2377332988960723,3.1105446185508554,0.8792645967472101,0.8792645967472101,0.04060583785219107,0.7736052029196413,0.23985351562499993,0.06348274739583332
