alpha,Mach,N,mapping_kind,mapping_scale,cubic_delta,xi_max,shooting_cr,shooting_ci,gep_cr,gep_ci,gep_omega_i,distance_to_shooting,selection_source,n_finite_modes,success
0.18,1.8,641,pin,1.5,0.2,0.95,0.47708333333333325,0.012988934895833332,0.47643566040751345,0.012651786271088586,0.0022773215287959455,0.0009349636353939505,nearest_to_target,191,True
0.18,1.8,721,pin,3.0,0.2,0.9,0.47708333333333325,0.012988934895833332,0.47554088022152824,0.010975847277827107,0.0019756525100088794,0.004311525093652692,nearest_to_target,211,True
0.18,1.8,721,pin,1.5,0.2,0.95,0.47708333333333325,0.012988934895833332,0.4799270044388068,0.011091814836336372,0.001996526670540547,0.004741595030861266,nearest_to_target,210,True
0.18,1.8,641,pin,3.0,0.2,0.9,0.47708333333333325,0.012988934895833332,0.4717556685585144,0.012637556023190558,0.0022747600841743006,0.005373814325170177,nearest_to_target,193,True
0.18,1.8,561,pin,1.5,0.2,0.95,0.47708333333333325,0.012988934895833332,0.4719675850072158,0.01467620418400252,0.0026417167531204533,0.0061284901516906465,nearest_to_target,172,True
0.18,1.8,561,pin,3.0,0.2,0.9,0.47708333333333325,0.012988934895833332,0.4825770245734791,0.014583377530437692,0.0026250079554787846,0.006352136073970066,nearest_to_target,169,True
0.18,1.8,721,pin,5.0,0.2,0.9,0.47708333333333325,0.012988934895833332,0.478041286177592,0.016751054532019166,0.00301518981576345,0.0075849752985572465,nearest_to_target,232,True
0.18,1.8,561,pin,2.0,0.2,0.9,0.47708333333333325,0.012988934895833332,0.4733074974681807,0.00957573560174784,0.001723632408314611,0.007801067501640736,nearest_to_target,163,True
0.18,1.8,561,pin,1.5,0.2,0.9,0.47708333333333325,0.012988934895833332,0.47681705761763665,0.00904735184451605,0.0016285233320128887,0.0078876619196373,nearest_to_target,155,True
0.18,1.8,721,pin,2.0,0.2,0.95,0.47708333333333325,0.012988934895833332,0.4797143909113073,0.017121744067118524,0.0030819139320813344,0.008674267148506014,nearest_to_target,221,True
0.18,1.8,641,pin,2.0,0.2,0.9,0.47708333333333325,0.012988934895833332,0.4797396793630498,0.008273556225552215,0.0014892401205993987,0.00979772209476056,nearest_to_target,181,True
0.18,1.8,721,pin,1.5,0.2,0.98,0.47708333333333325,0.012988934895833332,0.478795733601245,0.018155602662533698,0.0032680084792560656,0.01047426073397958,nearest_to_target,218,True
0.18,1.8,641,pin,1.5,0.2,0.9,0.47708333333333325,0.012988934895833332,0.4773552834311849,0.007746647833805828,0.0013943966100850489,0.010488100467602575,nearest_to_target,175,True
0.18,1.8,721,pin,2.0,0.2,0.9,0.47708333333333325,0.012988934895833332,0.475556343425512,0.007135100184084294,0.0012843180331351728,0.011806829443525459,nearest_to_target,201,True
0.18,1.8,721,pin,1.5,0.2,0.9,0.47708333333333325,0.012988934895833332,0.47777589541813226,0.006751296260980413,0.0012152333269764744,0.012494486191810381,nearest_to_target,195,True
0.18,1.8,641,pin,2.0,0.2,0.95,0.47708333333333325,0.012988934895833332,0.4816751345826975,0.019383755036585022,0.0034890759065853037,0.013588949085338316,nearest_to_target,199,True
0.18,1.8,721,pin,3.0,0.2,0.95,0.47708333333333325,0.012988934895833332,0.4727482666480151,0.01958911368725087,0.003526040463705156,0.013893964282409344,nearest_to_target,228,True
