mode_index,alpha,Mach,accepted,gep_cr,gep_ci,distance_to_shooting
0,0.01,1.4,False,0.13271695056528943,0.0029152303833254846,0.13286567276965222
1,0.02,1.4,False,0.3879170206149666,0.005378432599261261,0.3732993006874277
2,0.03,1.4,False,0.5361673429922095,0.006451942538502018,0.22613060318834216
3,0.04,1.4,False,0.42769805262191285,0.005888408807378013,0.26284601149700537
4,0.05,1.4,False,0.3680969816134473,0.0053576749886153924,0.20532499274515484
5,0.06,1.4,False,0.3383648060044926,0.005181212733767775,0.17669431972029143
6,0.07,1.4,False,0.32847860634691806,0.00521001175852214,0.16260949524131485
7,0.08,1.4,False,0.3186012959527806,0.005260764773066286,0.15035237308648436
8,0.09,1.4,False,0.3087333183436333,0.005333560734920731,0.13975811500402383
9,0.1,1.4,False,0.48804219038959784,0.007219599051858749,0.2738418184131244
10,0.11,1.4,False,0.5982095527058808,0.008277180846684915,0.16412645932791523
11,0.12,1.4,False,0.6579575566572083,0.008004996926030652,0.10477431693005754
12,0.13,1.4,False,0.6967680513693723,0.007691964998953831,0.06653821967550837
13,0.14,1.4,False,0.7250882887736003,0.008166398901784614,0.03990411363314902
14,0.15,1.4,False,0.7400051967042556,0.009830843364055642,0.029101166333851174
15,0.16,1.4,True,0.7484613295238756,0.007019751402115282,0.01915124505532728
16,0.17,1.4,True,0.7484204386126444,0.006138613487893275,0.017908735356593295
17,0.18,1.4,True,0.7484147623050578,0.005612017231890185,0.017233081197461496
18,0.19,1.4,True,0.7484199940647218,0.005269739941474381,0.0167705925388922
19,0.2,1.4,True,0.7484303373581124,0.005048824344791083,0.01650938581174091
20,0.21,1.4,True,0.7484437267188051,0.004919586581188977,0.01635048210951737
21,0.22,1.4,True,0.7484592509810668,0.004866717464499438,0.01624697186738752
22,0.23,1.4,True,0.748476452603218,0.0048826219079666,0.016271576886095936
23,0.24,1.4,True,0.7484950839150254,0.004964722277153943,0.01635566521166704
24,0.25,1.4,True,0.7485150082393659,0.005114489643295402,0.016531865498455048
25,0.26,1.4,True,0.7485361564221805,0.005337590915248405,0.016795217949873584
26,0.27,1.4,True,0.7485585080017974,0.005645287678585184,0.017145588109473905
27,0.28,1.4,True,0.7485820811746249,0.006058149513798755,0.017712419490533742
28,0.29,1.4,True,0.748606889550553,0.00661575607933965,0.01846578976399805
29,0.3,1.4,True,0.7486324930114178,0.007407488302803058,0.01958894676561582
