curve_stem,curve_label,curve_family,curve_level,point_index,alpha,Mach,ref_cr,ref_ci,ref_source,target_cr,target_ci,target_source,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success,gep_cr,gep_ci,gep_omega_i,distance_to_target,distance_to_shooting,selection_source,n_finite_modes,success,accepted,ci_abs_err,cr_abs_err
0.01,$c_i = 0.01$,ci_level,0.01,0,0.3096727142631082,0.0990182115901945,,0.01,curve_ci_level,0.5096874999999998,0.01,shooting_cr_plus_curve_ci,0.5096874999999998,0.06061621093749999,0.01877118656936073,False,-3.1994200702937826e-13,0.5518464939350176,0.17089180163343679,1.1975691377182616,1.1068017489107347,nearest_to_target,1,True,False,0.5418464939350176,
0.01,$c_i = 0.01$,ci_level,0.01,1,0.3194097573393327,0.1238278051834575,,0.01,curve_ci_level,-3.1994200702937826e-13,0.5518464939350176,curve_continuation,0.5096874999999998,0.06061621093749999,0.019361409226376677,False,-3.6164092337851455e-13,0.5386159042671391,0.17203917528107215,0.02646117933575698,1.0833818232504802,target_then_overlap,2,True,False,0.5286159042671391,
0.01,$c_i = 0.01$,ci_level,0.01,2,0.3332972128767706,0.151086709736011,,0.01,curve_ci_level,-3.6164092337851455e-13,0.5386159042671391,curve_continuation,0.5096874999999998,0.06061621093749999,0.020203214160619164,False,-1.7094239407794298e-13,0.5203347450753053,0.1734261202965442,0.036562318383667636,1.051259183158784,target_then_overlap,3,True,False,0.5103347450753053,
0.01,$c_i = 0.01$,ci_level,0.01,3,0.3416874789297336,0.1883630209085842,,0.01,curve_ci_level,-1.7094239407794298e-13,0.5203347450753053,curve_continuation,0.5096874999999998,0.06061621093749999,0.020711800297507316,False,-8.992218449926109e-14,0.5048452496064181,0.17249930058766907,0.030978990937774453,1.0242749156565274,target_then_overlap,3,True,False,0.49484524960641807,
0.01,$c_i = 0.01$,ci_level,0.01,4,0.345927332521483,0.2231900211218669,,0.01,curve_ci_level,-8.992218449926109e-14,0.5048452496064181,curve_continuation,0.5096874999999998,0.06061621093749999,0.020968804157168914,False,-2.9105522428811775e-15,0.49272111133992114,0.17044569972283954,0.024248276532993884,1.0033144708731145,target_then_overlap,4,True,False,0.4827211113399211,
0.01,$c_i = 0.01$,ci_level,0.01,5,0.3460442939998761,0.2655300763001644,,0.01,curve_ci_level,-2.9105522428811775e-15,0.49272111133992114,curve_continuation,0.5096874999999998,0.06061621093749999,0.02097589391881475,False,8.734166259921919e-14,0.48118569612617607,0.1665115644988215,0.02307083042749014,0.9835121326875602,target_then_overlap,4,True,False,0.47118569612617606,
0.01,$c_i = 0.01$,ci_level,0.01,6,0.3448075983680433,0.3178462575766957,,0.01,curve_ci_level,8.734166259921919e-14,0.48118569612617607,curve_continuation,0.5096874999999998,0.06061621093749999,0.02090093011553009,False,-7.736348778632556e-14,0.4657396399163249,0.16059056670434527,0.030892112419702356,0.9572258450786694,target_then_overlap,6,True,False,0.4557396399163249,
0.01,$c_i = 0.01$,ci_level,0.01,7,0.3393929699271397,0.3577507619696312,,0.01,curve_ci_level,-7.736348778632556e-14,0.4657396399163249,curve_continuation,0.5096874999999998,0.06061621093749999,0.02057271585580809,False,1.0735626558504566e-14,0.4560651939844069,0.15478532066676495,0.019348891863835926,0.9409043205488912,target_then_overlap,3,True,False,0.4460651939844069,
0.01,$c_i = 0.01$,ci_level,0.01,8,0.3353457587703907,0.3926603232264855,,0.01,curve_ci_level,1.0735626558504566e-14,0.4560651939844069,curve_continuation,0.5096874999999998,0.06061621093749999,0.02032738925062199,False,8.057451997317375e-14,0.44557028987613867,0.14942010694405666,0.02098980821653651,0.9233308828486949,target_then_overlap,6,True,False,0.43557028987613866,
0.01,$c_i = 0.01$,ci_level,0.01,9,0.3327072454195821,0.4375184902337165,,0.01,curve_ci_level,8.057451997317375e-14,0.44557028987613867,curve_continuation,0.5096874999999998,0.06061621093749999,0.020167452568787964,False,3.553276207706171e-14,0.42806377278185026,0.14241991870616327,0.03501303418857682,0.8943445591480076,target_then_overlap,7,True,False,0.41806377278185025,
0.01,$c_i = 0.01$,ci_level,0.01,10,0.3327829263761893,0.464914996525556,,0.01,curve_ci_level,3.553276207706171e-14,0.42806377278185026,curve_continuation,0.5096874999999998,0.06061621093749999,0.02017204006161762,False,1.7801058863131923e-13,0.41504056972323056,0.1381184153573375,0.026046406117239407,0.8730680683994654,target_then_overlap,5,True,False,0.40504056972323055,
0.01,$c_i = 0.01$,ci_level,0.01,11,0.3245921828451911,0.4998658383041961,,0.01,curve_ci_level,1.7801058863131923e-13,0.41504056972323056,curve_continuation,0.5096874999999998,0.06061621093749999,0.019675548224007668,False,-1.6533267466246552e-13,0.4037873807054923,0.13106622730853795,0.022506378035476504,0.8548959905720387,target_then_overlap,8,True,False,0.3937873807054923,
0.01,$c_i = 0.01$,ci_level,0.01,12,0.3205793721232636,0.547228356966432,,0.01,curve_ci_level,-1.6533267466246552e-13,0.4037873807054923,curve_continuation,0.5096874999999998,0.06061621093749999,0.01943230684283505,False,2.566653783356289e-13,0.38076054712738233,0.12206397712740655,0.046053667156219946,0.8183831203255783,target_then_overlap,7,True,False,0.3707605471273823,
0.01,$c_i = 0.01$,ci_level,0.01,13,0.3110487316559681,0.5971365078054587,,0.01,curve_ci_level,2.566653783356289e-13,0.38076054712738233,curve_continuation,0.5096874999999998,0.06061621093749999,0.018854595529899994,False,1.3156318939179134e-13,0.35719212467392203,0.11110415733732387,0.047136844906920605,0.7820552653684331,target_then_overlap,8,True,False,0.347192124673922,
0.01,$c_i = 0.01$,ci_level,0.01,14,0.3084170983921236,0.6444852662937659,,0.01,curve_ci_level,1.3156318939179134e-13,0.35719212467392203,curve_continuation,0.5096874999999998,0.02094954427083333,0.006461197656647752,False,3.6042380874447616e-14,0.3271824906158175,0.10090867440043864,0.06001926811620906,0.7968034998446812,target_then_overlap,127,True,False,0.3171824906158175,
0.01,$c_i = 0.01$,ci_level,0.01,15,0.297505280466745,0.6944071773067211,,0.01,curve_ci_level,3.6042380874447616e-14,0.3271824906158175,curve_continuation,0.5096874999999998,0.02094954427083333,0.006232600043944761,False,2.90061052781127e-14,0.29625535788607593,0.08813753333767294,0.06185426545948314,0.7503029466139814,target_then_overlap,121,True,False,0.2862553578860759,
0.01,$c_i = 0.01$,ci_level,0.01,16,0.2921388126345916,0.7517458220671909,,0.01,curve_ci_level,2.90061052781127e-14,0.29625535788607593,curve_continuation,0.5484716000357119,0.0032207032335069435,0.0009408924184851084,False,2.3196318938593603e-13,0.2490393928262952,0.07275407251951352,0.09443193011956147,0.7365652779339669,target_then_overlap,151,True,False,0.2390393928262952,
0.01,$c_i = 0.01$,ci_level,0.01,17,0.2881466421735569,0.8065801151726555,,0.01,curve_ci_level,2.3196318938593603e-13,0.2490393928262952,curve_continuation,0.019670583351017297,0.1793837890625,0.051688836478728996,False,1.8848504825218487e-13,0.19185148712723732,0.05528136181171681,0.11437581139811576,0.03176012955728807,target_then_overlap,155,True,False,0.1818514871272373,
0.01,$c_i = 0.01$,ci_level,0.01,18,0.2813577163615347,0.848988971220596,,0.01,curve_ci_level,1.8848504825218487e-13,0.19185148712723732,curve_continuation,0.00724345263757988,0.1793837890625,0.05047101324290425,True,1.6443802312655675e-13,0.1351430796402393,0.03802354826964275,0.11341681497399603,0.08877741315700803,target_then_overlap,153,True,False,0.1251430796402393,
0.01,$c_i = 0.01$,ci_level,0.01,19,0.2772967450308571,0.8789173495152975,,0.01,curve_ci_level,1.6443802312655675e-13,0.1351430796402393,curve_continuation,0.0015726921898318836,0.1793837890625,0.04974254081833311,True,1.7170576839415809e-13,0.08086208428674137,0.0224227927691242,0.10856199070699588,0.1970496856338786,target_then_overlap,150,True,False,0.07086208428674137,
0.01,$c_i = 0.01$,ci_level,0.01,20,0.2691610421955733,0.9337929231425484,,0.01,curve_ci_level,1.7170576839415809e-13,0.08086208428674137,curve_continuation,0.0,0.13258951822916662,0.03568793291077145,True,0.0066773600028947,0.0013061490102415025,0.0003515644288593193,0.15925192145616487,0.2626516310067362,target_then_overlap,153,True,False,0.008693850989758497,
0.01,$c_i = 0.01$,ci_level,0.01,21,0.2651138310388242,0.9687024843994028,,0.01,curve_ci_level,0.0066773600028947,0.0013061490102415025,curve_continuation,0.07469183634725934,0.04752311197916665,0.012599034279683908,True,0.007985968231498433,6.175146075319549e-15,1.637116633252325e-15,0.0029217385994856383,0.11611829110787236,target_then_overlap,151,True,False,0.009999999999993825,
0.01,$c_i = 0.01$,ci_level,0.01,22,0.2583524255746591,1.0210737063716484,,0.01,curve_ci_level,0.007985968231498433,6.175146075319549e-15,curve_continuation,0.14090515263956685,0.05805957031249999,0.01499983081805684,True,0.005570412380745751,8.138739984006304e-15,2.102663215989491e-15,0.0024155558507526816,0.17832315256412248,target_then_overlap,154,True,False,0.009999999999991861,
0.01,$c_i = 0.01$,ci_level,0.01,23,0.254325854678803,1.0634550420717317,,0.01,curve_ci_level,0.005570412380745751,8.138739984006304e-15,curve_continuation,0.1755205798316916,0.055657877604166656,0.014155237291287892,True,0.0055777167888111,3.625280230761537e-15,9.220024931385959e-16,7.304408065348517e-06,0.2031545570663164,target_then_overlap,153,True,False,0.009999999999996375,
0.01,$c_i = 0.01$,ci_level,0.01,24,0.2489112262378995,1.1033595464646673,,0.01,curve_ci_level,0.0055777167888111,3.625280230761537e-15,curve_continuation,0.20236489903346966,0.05302376302083332,0.013198209873263412,True,0.005641607753375796,3.271609873781524e-12,8.143404254549787e-13,6.389096456469629e-05,0.2234863107893699,target_then_overlap,152,True,False,0.00999999999672839,
0.01,$c_i = 0.01$,ci_level,0.01,25,0.2421635809476631,1.1607119513990656,,0.01,curve_ci_level,0.005641607753375796,3.271609873781524e-12,curve_continuation,0.23620433855148507,0.04798795572916665,0.011620935201732921,True,0.0080762060126921,1.620980531151844e-12,3.925424500701755e-13,0.002434598259316304,0.2474950917397608,target_then_overlap,123,True,False,0.009999999998379019,
