rank_by_ci,alpha,Mach,n_points,mapping_kind,mapping_L,xi_max,target_source,target_cr,target_ci,cr,ci,omega_i,abs_cr,distance_to_target
1,0.2,1.2,1201,finite_box,3.0,1.0,shooting_mstab17,0.23988444010416662,0.06349243164062499,0.24505778775758622,0.07320574327146202,0.014641148654292405,0.24505778775758622,0.01100508740450961
2,0.2,1.2,1201,finite_box,3.0,1.0,shooting_mstab17,0.23988444010416662,0.06349243164062499,0.041067798230961246,0.03893414559407457,0.007786829118814915,0.041067798230961246,0.20032764786539725
3,0.2,1.2,1201,finite_box,3.0,1.0,shooting_mstab17,0.23988444010416662,0.06349243164062499,2.3558987938418143,0.02646659733466778,0.005293319466933556,2.3558987938418143,2.1163382663529493
4,0.2,1.2,1201,finite_box,3.0,1.0,shooting_mstab17,0.23988444010416662,0.06349243164062499,3.2902389508672876,0.02502761675360961,0.005005523350721922,3.2902389508672876,3.0505970208005535
5,0.2,1.2,1201,finite_box,3.0,1.0,shooting_mstab17,0.23988444010416662,0.06349243164062499,3.5583679606280874,0.024882166417642192,0.004976433283528439,3.5583679606280874,3.3187081264506264
